                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
2000  143  84602867       7.68       1.20       4.42       4.45      601.3        5.5    3.83457      0.149    0.00000
2000  144   1771283       7.46      -3.57       2.58       5.28      532.6        4.5    2.49052      0.015    0.00000
2000  144   5441249       6.76      -6.19       0.89       1.57      541.0        4.5    2.56116      0.021    0.00000
2000  144  55812570       6.59      -4.63       1.64       3.66      530.3        8.1    4.40744      0.009    0.00000
2000  144  59378625       7.61      -5.37       2.20       4.78      520.5        5.5    2.88472      0.013    0.00000
2000  144  66606515      18.47      -3.48       6.83      16.19      608.0        9.6    6.87748      0.064    0.00000
2000  144  70179640      12.42      -2.83       3.76      -4.31      611.6       20.9   15.17044     14.452    2.63566
2000  144  77436406      12.39      -2.35      -9.70       1.33      586.1       11.1    7.41118      3.345    0.00000
2000  144  80990109      12.93      -4.95     -11.11      -2.19      568.5       12.7    7.96465      6.744    1.24342
2000  145   1825823      26.67     -10.12     -17.19      13.50      658.2        9.5    8.00245      3.410    0.00000
2000  145   5401951      31.13       6.91      18.30       0.99      637.3       23.3   18.39243     27.554    0.00000
2000  145   8989787      30.13       7.17      13.96     -21.35      621.8       26.9   20.19660     94.911   13.27721
2000  145  12637183      17.40      -4.17      -7.88      -2.60      643.9       30.6   24.60400     16.761    1.67709
2000  145  16200120      21.42      -8.40     -10.96       5.27      616.1       25.2   18.54524      4.520    0.00000
2000  145  19763699      20.05     -13.24      -7.78      10.89      600.9       11.2    7.85505      0.418    0.00000
2000  145  23438974      16.06       0.55       6.41      -2.14      597.8        6.3    4.34383     13.331    1.28076
2000  145  27011330      16.20       1.46     -10.81      -9.20      613.3        7.9    5.73674     21.782    5.64004
2000  145  30588939      17.49       6.94     -13.15      -7.99      651.2        5.0    4.08685     22.897    5.20091
2000  145  34227679      15.71       4.46      -0.75      -3.49      696.2        2.2    2.07123     33.508    2.43057
2000  145  37754167      13.55       8.24      -0.18      -0.10      696.3        5.3    4.99416     13.782    0.06627
2000  145  41393953      12.01       8.61      -1.97      -0.96      681.5        8.6    7.73328     10.109    0.65089
2000  145  48578472      10.06       8.87       1.37       3.76      691.7        3.1    2.87321      0.013    0.00000
2000  145  52205714       8.30       6.05      -0.76       4.80      682.0        4.2    3.74862      0.000    0.00000
2000  145  59421582       9.32       8.10       2.32      -3.70      640.7        1.4    1.09301      9.463    2.37338
2000  145  62989761       6.76       3.45       1.02      -5.21      669.3        2.2    1.93132      5.979    3.48747
2000  145  66585976       5.07       2.32       2.26      -3.64      658.4        4.3    3.58794      2.888    2.39724
2000  145  70225789       4.60       3.42       1.98      -2.15      640.1        3.7    2.97720      2.033    1.37495
2000  145  73798773       5.07       4.35       2.21      -1.30      626.8        4.3    3.29035      1.824    0.81607
2000  145  77365429       5.32       4.67       2.08      -1.29      615.9        3.5    2.59945      2.024    0.79537
2000  145  81032249       5.22       4.56       2.22      -0.84      605.0        5.7    4.06678      1.507    0.50777
2000  145  84601312       5.44       3.94       2.71      -1.74      591.5        5.1    3.45820      2.068    1.03111
2000  146   1776674       5.05      -1.93       2.09      -3.66      591.1        2.3    1.55246      2.617    2.16409
2000  146   5367427       5.23      -2.51       2.38      -3.81      574.2        1.5    0.98209      2.670    2.18964
2000  146   9035780       5.69      -4.26       1.65      -3.04      591.3        1.7    1.16941      3.371    1.79949
2000  146  12603256       6.16      -4.67       1.60      -3.40      582.1        3.0    1.97601      3.991    1.97835
2000  146  16170184       6.35      -4.52      -0.86      -3.51      568.8        2.9    1.81541      4.438    1.99712
2000  146  19842240       5.86      -4.54      -1.68      -3.06      572.0        1.4    0.85869      3.446    1.75236
2000  146  23409167       5.71      -4.19      -1.31      -3.56      557.1        2.2    1.33555      3.406    1.98233
2000  146  26979775       5.62      -3.73      -1.37      -3.88      551.1        1.6    0.93513      3.274    2.13698
2000  146  30643398       6.72      -3.22      -0.60      -5.56      551.9        1.3    0.75216      4.942    3.06842
2000  146  34216488       9.34      -3.22       0.65      -8.23      601.1        0.5    0.33198     10.428    4.94464
2000  146  37780039       4.97      -3.40      -1.48      -3.28      556.0        2.1    1.25422      2.496    1.82431
2000  146  41445339      12.14      -1.91      -5.05      -8.92      532.1        0.7    0.37596     13.671    4.74454
2000  146  48566839       9.63      -2.37      -3.44      -4.83      652.2        6.8    5.59996      9.930    3.15175
2000  146  55818207      18.97       1.91      -6.33     -17.41      663.2        3.5    2.94662     44.739   11.54629
2000  146  59373492      21.62       1.58      -6.27     -14.68      501.9        0.6    0.28135     43.072    7.36954
2000  147   1773209     138.79    -102.24       3.92      90.32      782.2        0.1    0.10578      0.001    0.00000
2000  147  30562535      15.07       1.08       1.00      -0.38      612.7        0.9    0.69081     12.789    0.23441
2000  147  37814730      12.33      -1.98      -1.97     -11.84      369.8       12.3    3.25580     11.051    4.37791
2000  147  52182925      15.12      -7.99      -4.24     -11.87      474.5        4.6    2.02042     20.367    5.63036
2000  147  59434195      13.63      -7.65      -0.71      -9.35      620.6        8.6    6.40572     22.904    5.80252
2000  147  62994187       2.91      -0.59      -0.84      -0.60      421.9       12.1    4.18907      0.448    0.25491
2000  147  66571921       3.67       0.98       1.17       2.40      407.1        4.7    1.50579      0.003    0.00000
2000  147  70238601       4.24       3.14      -0.23       2.48      390.2        5.2    1.53657      0.000    0.00000
2000  147  73802945       4.77       3.21       0.19       2.79      390.3        6.2    1.83490      0.000    0.00000
2000  147  77372937       5.46       2.15      -0.99       4.85      399.6        5.7    1.75828      0.000    0.00000
2000  147  81040453       5.71       1.26      -0.76       5.44      411.0        6.1    2.01075      0.000    0.00000
2000  147  84608765       6.14       0.44      -1.03       5.99      405.0        6.1    1.93767      0.000    0.00000
2000  148   1778455       7.10       3.77      -3.32       3.25      390.3        2.5    0.74371      0.089    0.00000
2000  148   5445942       6.89       4.22      -3.32       2.21      390.5        2.6    0.75567      0.183    0.00000
2000  148   9012886       6.34       3.11      -2.60       4.61      385.5        7.7    2.21005      0.013    0.00000
2000  148  12586514       6.87       4.83      -4.32       0.10      383.4        3.6    1.01864      0.860    0.00000
2000  148  19812197       6.72       4.69      -4.29      -1.30      377.5        5.4    1.50296      1.412    0.48948
