                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
2000  332  84639796       8.11       2.28       7.64       1.15      561.8        6.7    4.12232      1.335    0.00000
2000  333   1789651       8.38       2.50       7.91       0.97      552.9        7.4    4.36248      1.493    0.00000
2000  333   5430169       8.06       2.03       7.71       0.34      544.0        9.3    5.36760      1.607    0.00000
2000  333   8998460       7.70       2.46       7.12      -0.49      531.0       11.0    6.01251      1.790    0.25821
2000  333  12622250       7.17       5.51       1.41      -2.93      515.3        5.3    2.71469      4.767    1.51212
2000  333  16174027       7.16       5.52       1.75      -3.74      522.5        4.7    2.51582      4.840    1.95388
2000  333  23368474      12.20       6.25       3.59      -7.93      564.8       11.7    7.22413     15.297    4.48166
2000  333  27010531      11.84       8.06       3.92      -7.15      542.5       13.1    7.48127     13.348    3.87920
2000  333  30558984       9.08       5.93       2.80      -5.24      538.3       12.1    6.78845      7.839    2.82270
2000  333  34204828       7.60       4.29       2.41      -5.06      554.3       10.7    6.38110      5.775    2.80535
2000  333  41403523       6.43       1.85      -2.34       0.67      569.4        9.1    5.72659      0.614    0.00000
2000  333  48591710       9.06      -5.53       5.98      -3.20      611.0       12.7    9.16762      5.405    1.95307
2000  333  52236015       9.06      -6.02       5.22      -4.08      595.5        7.0    4.80622      6.362    2.42904
2000  333  55784437       8.75      -7.71       0.68      -1.46      606.6        6.6    4.70141      8.423    0.88750
2000  333  59430246       7.82      -6.80      -2.60       1.53      594.6        6.4    4.36286      0.439    0.00000
2000  333  62986246       7.70      -5.37      -3.19       2.23      555.9        5.9    3.54007      0.299    0.00000
2000  333  66630585       7.65      -5.52       1.79      -0.63      580.3        4.8    3.14699      2.999    0.36394
2000  333  70171187       6.29      -4.78       0.24      -2.26      596.2        3.6    2.48540      4.677    1.34924
2000  333  73836250       6.03      -2.02      -1.32      -5.09      548.9        4.7    2.72492      3.855    2.79370
2000  333  77369367       5.56      -0.81      -3.02      -3.18      537.8        7.9    4.42471      2.466    1.70789
2000  333  81011406       6.91      -2.95      -3.22      -4.99      549.1        6.8    4.00600      4.420    2.74151
2000  333  84555078       7.91      -2.94      -0.75      -6.93      550.2        7.6    4.48986      6.818    3.81134
2000  334   1801710       8.81      -2.58       0.41      -8.19      547.7        9.5    5.51588      8.457    4.48376
2000  334   5445276       8.39      -3.44      -0.15      -7.58      548.1        9.2    5.38421      7.697    4.15440
2000  334   9011850       8.00      -2.24      -2.21      -7.14      535.1        6.3    3.50855      6.529    3.81949
2000  334  12640075       9.51      -0.37      -3.41      -8.53      576.4        5.9    3.79604      9.658    4.91563
2000  334  16184671      10.78       2.40      -4.80      -9.21      539.0        7.4    4.18128     11.107    4.96141
2000  334  23383414      15.34      -1.81     -11.86      -8.44      580.1       19.2   12.56577     16.969    4.89605
2000  334  27030083      13.60      -1.12      -8.44      -9.38      566.8       18.3   11.39177     15.881    5.31835
2000  334  30576865      12.48       1.41      -6.01      -8.87      536.2       24.0   13.39696     13.892    4.75415
2000  334  34218890      10.43      -1.41      -8.21      -4.98      554.3       13.6    8.11622      6.921    2.75783
2000  334  37764308      10.62       2.97      -6.23      -6.90      530.6       11.1    6.03946      9.055    3.66368
2000  334  41413914      10.51       5.63      -3.28      -7.54      516.0        9.5    4.89005     10.440    3.89216
