                           Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V         Vth         Np        Beta   
                           nT         nT         nT         nT        deg        deg        km/s       km/s       cm^3              
2011  252  54634796      19.87       1.09      15.33     -12.54     -39.21      85.94      478.0      112.3        4.7      0.314
2011  252  54728175      19.80       1.69      16.07     -11.39     -35.20      83.99      467.2      121.2        5.4      0.428
2011  252  54833855      19.78       3.72      17.14      -8.84     -26.75      77.76      498.0       99.2        4.4      0.232
2011  252  54943667      20.00       4.86      17.97      -7.28     -21.37      74.87      478.6      101.7        5.1      0.276
2011  252  55030339      19.79       5.24      16.36      -9.52     -29.00      72.26      499.6       88.8        5.3      0.223
2011  252  55121437      19.64       3.75      16.83      -9.03     -27.64      77.44      488.1       95.7        5.9      0.294
2011  252  55216562      19.21       1.46      14.45     -12.54     -40.80      84.25      479.7       83.2        7.2      0.284
2011  252  55327761      17.69       1.45       4.86     -13.11     -68.86      73.39      488.0      101.9        8.0      0.561
2011  252  55419679      14.16      -2.53      -8.17      -6.87     -38.76     252.78      515.7       87.4       10.0      0.800
2011  252  55519363      13.94       2.63       7.32     -11.41     -55.72      70.21      485.5       99.7       11.3      1.218
2011  252  55620445      16.39       2.38       7.39     -14.12     -61.19      72.14      495.1       93.7       10.3      0.708
2011  252  55715636      18.78       0.11       5.00     -17.84     -74.34      88.70      480.5       98.5        5.9      0.341
2011  252  55830660      21.31       5.20      12.88     -16.03     -49.09      68.02      508.6      105.0        5.5      0.279
2011  252  55924105      20.48       0.91       6.45     -18.40     -70.51      81.95      485.4      104.7        6.7      0.370
2011  252  56011460      19.32      -1.30       2.05     -19.16     -82.79     122.46      488.5      117.6        9.0      0.698
2011  252  56101914      20.22      -0.77       3.60     -19.85     -79.50     102.07      482.2      114.3        8.3      0.558
2011  252  56199996      19.15      -0.40       4.19     -18.65     -77.28      95.45      482.1      101.1        8.3      0.488
2011  252  56299683      20.08       0.53       5.22     -19.37     -74.84      84.24      478.8      100.4        7.8      0.412
2011  252  56397128      21.18       2.17       8.73     -18.98     -64.66      76.06      477.0       98.1        6.6      0.296
2011  252  56506652      21.75       2.39      11.09     -18.29     -58.20      77.83      488.9      101.0        4.8      0.217
2011  252  56606449      21.02       2.84      13.05     -16.18     -50.45      77.74      500.2       92.8        5.6      0.230
2011  252  56695367      21.54       2.22      12.46     -17.32     -53.84      79.88      493.4       91.5        5.7      0.218
2011  252  56793523      22.19       1.87      10.46     -19.47     -61.36      79.87      484.3       98.5        4.7      0.194
2011  252  56906972      22.31       0.76       8.45     -20.61     -67.63      84.84      492.6      106.2        4.9      0.233
2011  252  56991292      22.11       0.29       6.68     -20.99     -72.32      87.49      505.0       92.9        4.3      0.158
2011  252  57192097      19.49      -2.42       4.26     -18.65     -75.29     119.62      531.9       88.0        8.3      0.355
2011  252  57286289      18.58      -2.17       5.71     -17.34     -70.59     110.84      509.7      117.1        9.1      0.761
2011  252  57377605      18.04       4.84      11.91     -11.21     -41.09      67.90      495.7       96.1       10.1      0.599
2011  252  57587535      17.93       6.02      14.02      -9.31     -31.38      66.75      472.0      100.3       12.0      0.790
2011  252  57679519      17.58       5.18      14.19      -8.93     -30.59      69.94      489.2      102.0       11.7      0.829
2011  252  57774539      18.04       8.58      13.13      -8.38     -28.12      56.83      479.9       78.8       10.0      0.402
2011  252  57889519      17.73       8.94      13.75      -5.72     -19.21      56.97      479.8       92.6       11.7      0.673
2011  252  57976910      17.62       7.43      14.34      -6.44     -21.73      62.60      502.7       99.5       12.7      0.849
2011  252  58068894      18.40       8.68      13.93      -6.88     -22.75      58.07      482.0       85.3       13.2      0.595
2011  252  58173113      19.36       5.30      14.28     -11.64     -37.40      69.62      514.1       76.3       10.2      0.332
2011  252  58265921      19.40       5.26      16.76      -8.02     -24.53      72.57      530.7       76.4        9.8      0.319
2011  252  58357121      19.23       6.70      16.19      -7.75     -23.87      67.52      503.4       88.2        9.1      0.401
2011  252  58467644      18.98       8.63      16.27      -4.42     -13.51      62.07      504.0       83.4        9.3      0.379
2011  252  58568656      18.49       5.81      15.44      -7.75     -25.17      69.36      504.5       79.0       10.8      0.412
2011  252  58666949      17.87       5.99      13.35      -9.91     -34.10      65.83      497.4       85.9       10.9      0.529
2011  252  58765070      18.02       7.29      12.21     -10.96     -37.64      59.15      503.0       77.2        9.3      0.360
2011  252  58878554      18.16       4.30      16.67      -5.42     -17.48      75.54      510.2       96.7        8.9      0.532
2011  252  58962874      19.07       2.71      18.58      -2.30      -6.98      81.69      480.2      113.6        8.7      0.646
2011  252  59054792      18.53       2.05      17.86      -2.52      -7.98      83.45      486.6       94.7        7.4      0.404
2011  252  59154304      18.06       5.49      14.28      -9.30     -31.28      68.97      483.2       87.3        9.0      0.441
2011  252  59250890      17.88       5.37      12.24     -11.66     -41.12      66.32      483.2       88.8       10.4      0.541
2011  252  59350578      17.60       4.95      13.97      -9.45     -32.53      70.51      487.4       89.0       10.4      0.556
2011  252  59451042      16.56       5.63      14.05      -6.63     -23.66      68.18      471.3      118.3       12.4      1.333
2011  252  59549882      16.47       5.78      13.98      -6.49     -23.21      67.55      490.9       96.5        9.8      0.709
2011  252  59647964      16.65       5.21      14.29      -6.74     -23.91      69.97      489.3       94.9        9.1      0.621
2011  252  59746085      17.59       4.83      15.47      -6.80     -22.74      72.65      485.8       93.6        9.4      0.560
2011  252  59858035      18.50       6.34      16.02      -6.67     -21.16      68.41      479.8       92.8        7.9      0.420
2011  252  59942359      18.74       6.60      16.77      -4.91     -15.23      68.53      490.1       95.5        8.8      0.481
2011  252  60040441      18.01       8.54      15.53       2.04       6.58      61.18      498.8       82.5        8.7      0.385
2011  252  60138562      19.66       6.27      18.27      -2.44      -7.20      71.06      492.4       85.8        7.5      0.300
2011  252  60229015      20.44       3.26      19.54      -4.90     -13.89      80.52      478.6       75.4        7.0      0.200
2011  252  60318757      20.77       6.48      19.29      -4.15     -11.53      71.44      457.4       73.7        6.0      0.158
2011  252  60432917      20.56       8.07      18.51      -3.61     -10.13      66.43      476.5       74.5        6.4      0.176
2011  252  60517277      18.66      10.02      15.61      -0.10      -0.31      57.31      448.3       77.6       11.8      0.428
2011  252  60636109      19.87      11.66      15.29      -4.79     -13.98      52.66      454.8       75.9        9.0      0.277
2011  252  60724386      19.85      10.44      15.60      -6.12     -18.06      56.21      469.3       60.9        7.3      0.143
2011  252  60828496      20.44       9.07      17.63      -4.69     -13.31      62.77      481.6       71.0        7.4      0.187
2011  252  60912785      21.14       8.75      18.69      -4.48     -12.26      64.92      476.6       69.3        6.3      0.141
2011  252  61017855      21.08       9.09      18.48      -4.37     -11.97      63.80      485.5       75.7        6.9      0.188
2011  252  61113761      21.28       8.77      18.56      -5.37     -14.67      64.72      480.2       66.2        6.5      0.132
2011  252  61219437      19.17       9.15      12.57     -10.98     -35.23      53.96      474.5       74.9        7.7      0.248
2011  252  61305296      17.61       8.00       8.72     -12.84     -47.33      47.46      457.4       84.3        9.7      0.469
2011  252  61408187      18.23       7.01       9.46     -13.81     -49.56      53.47      463.7       88.2        8.6      0.424
2011  252  61505386      17.91       7.31      11.76     -10.85     -38.09      58.14      456.9       77.0        8.7      0.340
2011  252  61616515      18.48       6.56      15.96      -6.49     -20.62      67.65      449.1       88.7        9.2      0.444
2011  252  61701695      18.53       6.12      15.70      -7.58     -24.21      68.71      453.7       85.0        9.5      0.421
2011  252  61800488      17.78       5.68      15.39      -6.47     -21.53      69.72      472.4       79.8        9.6      0.408
2011  252  61893976      17.26       7.28      15.61      -0.41      -1.38      64.99      472.4       75.2       10.4      0.415
2011  252  61989062      16.84       7.08      14.50      -1.01      -3.59      63.99      478.4       83.8        8.9      0.466
2011  252  62088855      19.26       7.39      16.90      -5.18     -15.68      66.37      469.0       67.5        6.1      0.158
2011  252  62189898      19.76       7.14      16.05      -9.04     -27.22      66.02      464.6       62.2        4.5      0.093
2011  252  62290339      19.69       5.26      17.06      -7.82     -23.65      72.88      476.6       70.8        4.4      0.120
2011  252  62385417      18.97       6.92      13.17     -11.50     -37.70      62.29      449.7       78.1        5.6      0.199
2011  252  62482726      18.22       7.93      12.84     -10.12     -33.85      58.29      461.9       58.8        6.2      0.136
2011  252  62593964      18.58       6.36      15.75      -7.44     -23.64      68.02      459.4       71.2        5.8      0.178
2011  252  62680636      18.38       5.38      16.13      -6.80     -21.79      71.56      463.3       56.9        5.3      0.107
2011  252  62793910      18.49      -1.82      15.17      -9.55     -32.01      96.83      529.3       48.0        5.8      0.082
2011  252  62888964      18.96      -0.93      15.98      -9.86     -31.64      93.34      487.7       50.5        4.9      0.073
2011  252  63076179      18.63      -4.23      17.71      -3.74     -11.61     103.42      519.5       60.8        5.3      0.119
2011  252  63166492      18.31      -1.74      17.14      -5.75     -18.46      95.78      509.1       57.0        4.5      0.092
2011  252  63266250      17.98       0.70      17.39      -4.22     -13.62      87.69      480.0       70.8        5.9      0.191
2011  252  63555972      17.81       5.35      14.04      -9.39     -32.02      69.14      470.4       66.1        5.4      0.155
2011  252  63669457      18.45       5.87      13.95     -10.51     -34.79      67.17      483.7       65.7        4.9      0.132
2011  252  63759910      18.38       5.42      15.08      -8.86     -28.93      70.25      479.7       72.5        5.9      0.194
2011  252  63864199      17.73       4.49      15.14      -7.80     -26.28      73.49      486.2       81.3        6.9      0.305
2011  252  63968484      17.77       3.26      16.87      -4.07     -13.33      79.05      500.6       85.1        6.4      0.307
2011  252  64060472      16.61       1.89      16.32      -2.09      -7.27      83.40      512.5       80.3        7.0      0.345
2011  252  64154699      16.73       3.68      14.49      -5.05     -18.66      75.75      504.4       59.4        6.1      0.163
2011  252  64250578      15.65       6.64       9.39     -10.34     -41.96      54.71      506.8       77.7        8.7      0.451
2011  252  64345628      15.71       7.37       8.63     -10.76     -43.48      49.52      492.9       76.7        8.4      0.421
2011  252  64452738      14.55       1.00       5.27     -12.51     -66.80      79.25      533.2       82.8        7.8      0.529
2011  252  64535664      14.74       1.93       7.71     -12.00     -56.47      75.95      533.3       74.1        5.1      0.272
2011  252  64639953      14.59       5.20       8.65     -10.47     -46.05      58.99      482.8      100.6        6.5      0.647
2011  252  64747988      14.25       5.71       8.52      -9.72     -43.44      56.17      514.2       74.9        5.0      0.293
2011  252  64836226      12.58       1.23      10.09      -2.08     -11.56      83.04      559.5       70.5        9.0      0.592
2011  252  64954273      11.08       0.65      10.95       1.19       6.18      86.58      556.9       77.8       10.1      1.042
2011  252  65133648      10.52      -0.88      10.29       1.51       8.35      94.88      565.3       70.9        8.0      0.767
2011  252  65233300       9.14      -0.32       8.96       1.58      10.01      92.02      577.6       64.5        7.0      0.732
2011  252  65331417       8.69      -0.47       8.46       1.55      10.34      93.19      576.2       66.0        7.2      0.872
2011  252  65428007       8.46      -1.44       8.05       2.08      14.25     100.14      571.3       69.6        7.3      1.043
2011  252  65526125       8.22      -0.59       7.82       2.30      16.37      94.32      570.4       67.3        7.8      1.104
2011  252  65625781       8.50      -1.11       7.69       2.78      19.68      98.18      589.4       66.4        7.2      0.925
2011  252  65722359      10.35      -3.55       9.59       1.50       8.32     110.29      577.1       62.9        5.6      0.431
2011  252  65820476       9.62      -3.00       8.83       2.21      13.33     108.74      582.4       66.9        6.1      0.619
2011  252  65935468       8.67      -2.76       3.16       5.65      53.41     131.19      561.3       71.1        5.2      0.731
2011  252  66013585       8.99      -3.14      -2.09       8.11      65.07     213.63      546.5       71.4        5.6      0.741
2011  252  66114804       8.63      -2.68       1.21       7.93      69.63     155.79      554.0       71.0        6.2      0.880
2011  252  66215843       8.38      -2.88       1.54       7.39      66.18     151.89      559.8       72.0        6.7      1.037
2011  252  66311046       8.32      -3.00       3.64       6.75      55.03     129.56      557.5       69.5        6.4      0.935
2011  252  66412265       8.24      -3.44       5.99       4.28      31.77     119.87      558.0       71.4        6.4      1.006
2011  252  66504210       8.25      -3.65       3.68       6.28      50.47     134.78      567.4       69.5        6.5      0.975
2011  252  66602328       8.65      -3.57       3.55       6.96      54.11     135.16      569.0       69.7        5.7      0.781
2011  252  66700453       8.83      -3.34       2.72       7.67      60.72     140.84      567.7       78.6        5.6      0.939
2011  252  66798570       9.10      -3.23       3.10       7.88      60.39     136.12      559.4       80.9        5.8      0.965
2011  252  66914945       8.94      -3.92       2.44       7.64      58.84     148.06      558.7       77.4        5.6      0.877
2011  252  67004039       8.96      -4.26       2.87       7.31      54.89     146.08      569.6       75.3        5.7      0.845
2011  252  67092968       8.93      -4.08       1.71       7.60      59.77     157.24      559.2       79.9        5.8      0.970
2011  252  67191046       8.79      -4.20       1.20       7.44      59.63     164.06      567.7       71.4        5.4      0.754
2011  252  67289164       7.75      -3.51       4.01       5.38      45.29     131.23      568.0       79.4        6.3      1.382
2011  252  67387281       5.54      -2.79       3.99       0.68       7.97     124.95      566.0       78.6        6.2      2.612
2011  252  67485406       4.23      -0.99       2.18      -0.01      -0.29     114.51      541.6       85.8        6.6      5.747
2011  252  67587984       4.84      -4.00       2.25       0.83      10.31     150.61      567.8       81.1        6.2      3.633
2011  252  67680789       5.29      -4.39       1.04      -2.47     -28.71     166.71      558.0      130.4        9.1     11.576
2011  252  67779624       7.58      -4.69       2.95      -4.36     -38.18     147.82      560.1       57.2        5.1      0.613
2011  252  67897851       9.42      -2.93       8.27      -2.40     -15.27     109.47      565.0       62.9        5.3      0.493
2011  252  67979101       9.62      -3.29       8.75      -1.90     -11.48     110.59      562.8       61.1        4.9      0.411
2011  252  68074156       9.65      -3.72       8.72      -1.79     -10.72     113.08      548.9       65.6        4.5      0.440
2011  252  68172273       9.90      -3.52       8.98      -2.20     -12.84     111.41      539.6       60.8        4.4      0.344
2011  252  68270398       9.95      -3.31       9.04      -2.38     -13.88     110.14      541.3       63.0        4.5      0.375
2011  252  68368515       9.86      -3.34       9.01      -2.15     -12.64     110.35      547.3       68.6        4.9      0.494
2011  252  68466632       9.50      -3.17       8.74      -1.65     -10.09     109.90      548.7       62.0        4.7      0.421
2011  252  68564750       8.96      -3.26       8.23      -1.25      -8.05     111.58      553.5       67.1        5.1      0.606
2011  252  68662875       9.18      -2.80       8.40      -2.34     -14.79     108.45      553.8       62.2        4.9      0.472
2011  252  68760992       9.23      -2.42       8.59      -2.11     -13.30     105.73      551.2       74.7        5.5      0.762
2011  252  68877507       9.06      -1.39       8.73      -0.01      -0.10      99.02      560.2       71.5        5.6      0.729
2011  252  68960289       7.97      -4.22       1.42      -4.66     -46.30     161.39      549.2       85.6        5.5      1.331
2011  252  69055351       7.02      -1.44       6.52       0.03       0.22     102.45      550.3       62.1        6.9      1.133
2011  252  69153468       8.55      -2.38       8.19      -0.08      -0.54     106.19      554.9       60.1        6.6      0.688
2011  252  69251585       8.66      -2.25       8.30      -0.62      -4.14     105.19      553.7       60.2        6.1      0.619
2011  252  69349703       9.08      -2.64       8.51      -1.54      -9.78     107.24      547.2       56.5        5.7      0.466
2011  252  69447828       9.51      -3.06       8.94      -0.80      -4.84     108.88      551.4       56.2        6.1      0.450
2011  252  69545945       8.43      -2.63       7.98       0.23       1.58     108.28      555.0       62.0        7.7      0.874
2011  252  69644062       9.00      -2.79       8.47       1.03       6.59     108.24      547.4       61.4        5.9      0.579
2011  252  69742179       9.06      -2.73       8.55       0.94       5.97     107.69      552.0       63.1        6.0      0.613
2011  252  69857171       7.85      -2.41       6.25       3.92      30.32     111.08      542.4       69.9        6.5      1.078
2011  252  69947617       7.64      -1.92       7.04       1.95      14.98     105.27      544.2       69.8        6.4      1.126
2011  252  70036539       7.74      -2.22       7.21       1.71      12.78     107.10      547.2       64.0        7.0      1.010
2011  252  70131515       5.63      -2.43       3.82       2.79      31.67     122.43      524.3       87.5        8.7      4.435
2011  252  70238875       6.31      -3.26       4.75       2.49      23.33     124.46      545.9       66.5        7.0      1.625
2011  252  70330828       6.51      -3.54       4.80       2.42      22.08     126.39      543.8       68.9        6.9      1.620
2011  252  70425914       7.47      -2.98       6.74       0.82       6.33     113.84      541.1       65.4        7.3      1.179
2011  252  70533226       8.15      -3.57       7.21       0.90       6.35     116.36      549.7       54.2        6.6      0.613
2011  252  70625257       7.96      -2.72       7.41       0.19       1.41     110.17      546.9       64.7        7.4      1.028
2011  252  70723374       7.27      -2.70       6.71       0.45       3.55     111.92      538.7       63.5        7.3      1.177
2011  252  70836789       7.17      -2.24       6.68       0.54       4.38     108.52      525.1       65.5        7.4      1.298
2011  252  70925601       7.15      -2.37       6.43       0.16       1.37     110.21      529.0       62.9        7.3      1.192
2011  252  71006968       8.34       1.84       5.10      -5.86     -47.22      70.17      490.8       78.5        6.0      1.113
2011  252  71131148       8.62       1.84       5.50      -6.29     -47.30      71.49      506.3       76.5        5.9      0.979
2011  252  71214648       7.85       1.53       5.05      -5.59     -46.62      73.10      494.8       81.8        7.1      1.607
2011  252  71312046       8.22      -0.65       7.06      -4.13     -30.25      95.23      513.2       73.8        5.9      1.007
2011  252  71413960       7.45      -1.44       6.10      -3.87     -31.71     103.31      521.7       70.4        7.3      1.369
2011  252  71505945       7.38      -2.47       5.65      -3.97     -32.77     113.63      531.8       63.5        7.1      1.101
2011  252  71604062       7.23      -3.19       5.37      -3.53     -29.51     120.72      535.5       71.3        7.7      1.569
2011  252  71702187       7.30      -3.07       5.49      -3.65     -30.08     119.21      534.5       63.9        7.1      1.141
2011  252  71799445       8.14      -2.78       6.46      -4.08     -30.10     113.25      527.2       68.4        6.4      0.952
2011  252  71904554       8.29      -3.04       6.70      -3.80     -27.35     114.43      535.2       72.1        7.0      1.105
2011  252  71992750       8.09      -3.41       6.50      -2.73     -20.41     117.68      520.2       72.5        6.0      1.021
2011  252  72114515       8.41      -5.28       6.39      -1.26      -8.67     129.55      531.1       62.4        5.8      0.674
2011  252  72195093       7.99      -4.85       6.17       1.14       8.24     128.15      532.5       65.5        5.9      0.834
2011  252  72299343       7.93      -0.64       5.09      -4.35     -40.31      97.19      543.3       76.5        6.2      1.219
2011  252  72388257       8.29       2.72       2.54      -7.40     -63.29      43.03      516.4       89.3        5.1      1.235
2011  252  72495585       7.82       2.45       2.76      -6.89     -61.82      48.37      525.0       96.4        4.9      1.561
2011  252  72590632       8.05       2.57       2.72      -7.12     -62.29      46.60      524.3       85.8        4.7      1.119
2011  252  72688750       8.03       2.19       3.30      -6.97     -60.42      56.47      514.1       95.9        4.9      1.479
2011  252  72789937       5.32       0.95       2.05      -4.77     -64.66      65.11      530.0       99.7        5.4      3.978
2011  252  72878859       5.46       0.61       2.35      -4.85     -63.38      75.52      521.8      100.7        5.6      3.992
2011  252  72973914       4.21       0.56       1.22      -2.95     -65.45      65.35      522.2      104.6        5.8      7.531
2011  252  73088898       4.91       1.17      -2.03      -4.29     -61.35     299.86      515.8      115.4        5.3      6.189
2011  252  73176281       5.19       1.81      -1.19      -4.63     -64.97     326.66      513.2      124.9        5.8      7.064
2011  252  73274406       4.58       0.58       2.20      -3.85     -59.45      75.18      530.6      114.9        5.0      6.646
2011  252  73366390       4.07       1.54       1.68      -3.31     -55.41      47.49      526.8      117.0        5.3      9.150
2011  252  73464507       4.41       1.45       1.47      -3.85     -61.79      45.50      529.5      116.5        5.2      7.664
2011  252  73562624       3.73       0.63       2.01      -2.98     -54.80      72.70      530.4      116.4        5.2     10.700
2011  252  73660750       4.06       2.11       1.38      -3.08     -50.73      33.06      524.3      121.5        5.4     10.168
2011  252  73755804       4.39       1.91       1.81      -3.46     -52.70      43.42      523.2      120.3        5.4      8.531
2011  252  73863117       5.15       3.94      -0.94      -2.98     -36.33     346.58      516.3      124.5        5.2      6.435
2011  252  73958132       4.81       2.78      -1.80      -3.40     -45.81     327.11      514.4      124.1        5.3      7.495
2011  252  74068382       6.07       4.66      -1.75      -3.46     -34.79     339.42      494.9      129.5        5.9      5.638
2011  252  74153421       5.35       4.37       0.14      -2.58     -30.57       1.84      499.7      110.0        4.9      4.374
2011  252  74248468       4.54       2.30       2.56      -2.51     -36.13      48.10      497.8      121.6        5.7      8.665
2011  252  74353710       5.27       0.08       4.91      -1.74     -19.54      89.12      528.4       95.1        4.6      3.171
2011  252  74442640       5.84       0.97       5.34      -1.99     -20.15      79.72      515.5       92.9        4.7      2.485
2011  252  74540750       5.99       1.72       3.47      -4.49     -49.20      63.72      492.5      110.3        5.7      4.047
2011  252  74645000       6.48       0.93       5.29      -3.55     -33.50      80.05      509.8       93.9        5.0      2.220
2011  252  74736984       6.77       0.27       5.86      -3.37     -29.83      87.35      516.7       90.7        4.7      1.779
2011  252  74834937       6.89      -0.72      -0.48      -5.65     -81.32     213.46      516.4       94.9        5.0      1.974
2011  252  74933054       8.03       0.44      -0.28      -7.91     -86.21     327.79      522.5       85.6        5.5      1.310
2011  252  75043578       8.81       0.39      -1.87      -8.56     -77.41     281.92      509.0       87.3        5.2      1.074
2011  252  75129429       6.60       0.67      -3.17      -5.57     -59.86     281.98      510.4       81.4        6.3      2.017
2011  252  75224484       7.30       0.62      -1.03      -7.12     -80.41     300.85      505.5       83.6        4.8      1.319
2011  252  75322601       5.02       0.70      -0.52      -4.78     -79.62     323.38      507.8       96.0        5.7      4.396
2011  252  75420718       2.98       2.37      -0.13      -1.79     -36.95     356.84      499.9       96.3        6.9     15.192
2011  252  75514312       4.44       3.63      -0.83      -2.38     -32.53     347.15      495.3      104.3        6.9      8.044
2011  252  75616960       1.79       1.47      -0.10      -1.00     -34.08     356.15      499.7       95.5        6.9     41.700
2011  252  75715117       4.48       3.88      -0.32      -2.15     -28.98     355.23      492.5       99.2        6.7      6.867
2011  252  75808632       5.56       4.45       0.13      -3.28     -36.37       1.67      490.1      102.0        6.7      4.741
2011  252  75917445       5.35       3.10      -0.66      -4.09     -52.25     347.93      501.2       96.2        6.7      4.526
2011  252  76024804       6.04       2.52       1.16      -5.26     -62.17      24.72      484.1      105.3        6.6      4.217
2011  252  76110656       5.43       2.21       1.40      -4.73     -61.07      32.32      498.3       93.5        6.3      3.922
2011  252  76199445       7.28       3.62       2.49      -5.44     -51.09      34.52      493.5       81.6        5.7      1.501
2011  252  76295992       8.27      -0.12      -0.73      -8.12     -84.79     260.51      498.3       83.1        6.4      1.362
2011  252  76401773       7.05      -4.55      -4.37      -2.93     -24.95     223.82      523.8       65.5        7.5      1.369
2011  252  76493765       7.58      -4.56      -4.35      -4.02     -32.53     223.60      519.3       70.2        9.3      1.684
2011  252  76598007       7.26      -4.78      -4.01      -3.48     -29.18     220.00      522.6       65.5        8.9      1.524
2011  252  76686929       7.42      -4.08      -5.24      -2.90     -23.57     232.09      513.2       70.2       10.0      1.885
2011  252  76792046       7.81      -4.73      -5.19      -2.95     -22.81     227.61      516.0       57.2        9.7      1.097
2011  252  76888585       7.88      -3.55      -4.61      -5.12     -41.36     232.39      507.2       60.5        9.5      1.181
2011  252  77005820       8.27      -4.96      -3.80      -5.21     -39.80     217.51      519.6       53.9        8.2      0.732
2011  252  77088617       8.48      -6.75      -3.42      -3.59     -25.36     206.87      534.9       55.6        8.7      0.783
2011  252  77180601       8.61      -6.51      -4.88      -2.51     -17.17     216.85      524.9       62.5        9.1      1.010
2011  252  77288703       8.33      -7.42      -3.62      -0.47      -3.28     206.04      536.8       59.1        8.2      0.871
2011  252  77378328       8.70      -7.47      -4.37      -0.49      -3.22     210.35      531.8       58.3        8.0      0.754
2011  252  77484148       9.58      -8.74      -2.56       2.91      17.73     196.31      541.6       48.2        7.2      0.382
2011  252  77582273       9.68      -8.67      -2.97       2.91      17.63     198.92      540.2       49.5        7.7      0.422
2011  252  77680390       9.74      -8.72      -2.76       3.25      19.54     197.59      545.4       46.7        7.7      0.372
2011  252  77775445       9.77      -8.10      -1.55       5.10      31.74     190.86      536.5       56.1        8.3      0.575
2011  252  77873562       9.74      -8.11      -1.46       5.18      32.13     190.21      536.6       53.4        8.2      0.518
2011  252  77989406       9.18      -7.75      -1.68       3.78      25.48     192.20      539.5       70.6        8.6      1.073
2011  252  78070585       8.61      -8.32      -1.81       0.37       2.46     192.30      542.8       60.8        9.0      0.944
2011  252  78164851       9.44      -9.23      -0.36       0.18       1.14     182.22      533.3       48.7        8.3      0.463
2011  252  78462414       9.54      -8.12      -3.45       3.52      21.74     203.05      519.8       52.0        7.4      0.460
2011  252  78560359       8.16      -6.07      -3.89      -0.62      -4.93     212.65      524.6       64.7        7.8      1.025
2011  252  78655453       7.70      -5.79      -2.69      -3.91     -31.48     204.91      535.8       64.4        8.1      1.191
2011  252  78753539       7.64      -5.30      -4.00      -3.72     -29.27     217.06      527.8       62.7        8.5      1.207
2011  252  78848625       8.17      -5.90      -3.80      -4.00     -29.69     212.79      523.9       62.5        7.7      0.946
2011  252  78968164       8.49      -6.39      -3.66      -4.18     -29.61     209.79      523.2       66.1        7.9      1.012
2011  252  79047929       8.01      -5.80      -3.48      -4.25     -32.13     210.99      526.8       64.5        8.6      1.178
2011  252  79142945       7.69      -4.14      -4.82      -4.25     -33.76     229.33      517.2       66.3        8.6      1.336
2011  252  79247234       8.09      -4.71      -4.96      -4.24     -31.82     226.46      522.7       65.0        8.2      1.112
2011  252  79336117       7.65      -3.78      -6.04      -2.64     -20.30     237.97      519.2       65.9        7.9      1.230
2011  252  79442046       7.64      -3.57      -5.01      -4.08     -33.56     234.50      520.5       53.2        9.0      0.917
2011  252  79535492       7.83      -0.50       6.66      -3.16     -25.29      94.31      503.2       60.6        9.5      1.201
2011  252  79639742       8.27       0.44       7.29      -2.49     -18.81      86.58      497.9       48.0        8.4      0.592
2011  252  79739468       8.48      -0.87      -1.38      -6.15     -75.15     237.81      506.8       39.9        7.4      0.345
2011  252  79835914       8.28      -1.56      -5.67      -5.80     -44.62     254.60      511.1       66.6        7.7      1.048
2011  252  79952421       7.66      -0.11      -5.78      -5.02     -41.00     268.93      511.5       71.3        7.6      1.387
2011  252  80038281       8.34      -0.84      -6.73      -4.83     -35.48     262.89      510.5       67.2        7.4      1.015
2011  252  80129585       9.16      -1.69      -7.04      -5.55     -37.45     256.51      511.1       67.1        6.7      0.752
2011  252  80231453       9.93      -1.71      -8.08      -5.45     -33.43     258.08      511.2       68.8        6.6      0.663
2011  252  80329570      10.30      -1.53      -8.44      -5.62     -33.21     259.73      511.9       64.3        6.8      0.558
2011  252  80427695      10.45      -1.84      -8.56      -5.65     -32.82     257.88      515.2       59.9        6.7      0.460
2011  252  80525812      10.68      -1.59      -9.09      -5.33     -30.04     260.08      509.9       66.0        7.0      0.562
2011  252  80621007      11.10      -1.13      -9.66      -5.34     -28.78     263.32      504.0       57.8        6.4      0.367
2011  252  80722187       9.24      -0.24      -3.51       5.83      58.85     266.10      511.1       66.0       10.1      1.085
2011  252  80817929       7.84      -1.85      -3.51       5.65      54.88     242.19      517.3       79.1        9.5      2.041
2011  252  80932976       7.68      -1.57      -2.95       5.85      60.21     241.96      492.9       62.7        8.8      1.227
2011  252  81019648       7.83      -4.17      -1.51       6.23      54.54     199.91      527.1       72.8        9.7      1.756
2011  252  81116953       7.90      -3.58      -2.24       6.21      55.79     212.00      527.7       63.5        9.7      1.324
2011  252  81215781       5.87      -3.14       0.99       4.78      55.45     162.44      527.4       69.0       11.2      3.260
2011  252  81310937       7.23      -2.73      -1.23       6.31      64.64     204.30      523.0       61.0        9.5      1.422
2011  252  81409054       7.95      -1.91      -2.12       7.24      68.50     228.01      516.4       62.1       10.1      1.300
2011  252  81504007       9.20       0.33      -2.75       8.62      72.20     276.78      491.3       64.8        8.5      0.884
2011  252  81611429       9.36      -1.88      -5.50       7.00      50.31     251.15      507.7       63.7        8.2      0.796
2011  252  81700312      10.58      -2.07      -9.67       0.41       2.39     257.89      503.5       64.1        6.2      0.479
2011  252  81804421      10.03      -1.70      -9.16      -1.33      -8.12     259.50      519.3       63.3        7.5      0.624
