                           Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V         Vth         Np        Beta   
                           nT         nT         nT         nT        deg        deg        km/s       km/s       cm^3              
2011  252  30390146       2.02      -1.77      -0.78      -0.14      -4.22     203.89      312.1       15.4        7.9      0.974
2011  252  30480599       2.17      -2.06      -0.63       0.08       2.10     196.98      311.4       16.8        7.9      0.997
2011  252  30589451       2.18      -2.15      -0.23       0.25       6.64     186.03      311.0       16.3        8.5      0.989
2011  252  30684503       2.11      -2.01      -0.32       0.53      14.49     188.91      313.5       17.1        8.6      1.195
2011  252  30782623       2.13      -2.08      -0.34       0.19       5.13     189.29      312.1       15.4        8.2      0.901
2011  252  30880742       2.16      -2.05      -0.36       0.48      12.97     190.10      312.9       16.3        8.4      0.996
2011  252  30978861       2.26      -1.90      -0.61       1.04      27.45     197.85      313.4       16.4        8.3      0.924
2011  252  31076980       2.36      -1.68      -1.17       1.03      26.84     214.79      310.5       15.6        7.3      0.669
2011  252  31175099       2.50      -2.20      -0.28       1.05      25.24     187.15      312.2       17.5        7.7      0.799
2011  252  31273216       2.31      -2.02       0.02       1.10      28.69     179.34      311.0       16.5        8.6      0.932
2011  252  31371335       2.21      -1.99      -0.02       0.91      24.52     180.54      311.8       16.4        8.8      1.027
2011  252  31461789       2.18      -2.07      -0.35       0.58      15.57     189.59      313.3       17.2        8.8      1.152
2011  252  31570640       2.08      -1.99      -0.31       0.48      13.40     188.87      313.0       16.3        8.8      1.147
2011  252  31665693       1.86      -1.83      -0.24       0.17       5.41     187.42      313.1       16.9        8.3      1.440
2011  252  31763812       1.92      -1.86      -0.38       0.14       4.19     191.58      313.9       16.5        8.0      1.248
2011  252  31863464       2.02      -1.76      -0.62       0.30       9.03     199.29      314.6       16.1        7.7      1.024
2011  252  31960050       2.07      -1.60      -0.25      -0.24      -8.48     188.87      314.3       14.2        7.2      0.719
2011  252  32058169       1.90      -1.79      -0.33       0.02       0.71     190.31      312.7       16.0        7.4      1.110
2011  252  32156289       1.30      -1.13      -0.53      -0.30     -13.41     205.22      313.2       15.0        6.8      1.894
2011  252  32254408       1.15      -0.97      -0.56      -0.24     -12.04     209.82      313.8       15.6        7.0      2.736
2011  252  32352527       1.55      -1.32      -0.79      -0.06      -2.36     210.96      313.9       15.0        7.1      1.403
2011  252  32442980       1.82      -1.55      -0.93      -0.09      -2.98     210.91      312.9       15.6        6.1      0.943
2011  252  32551832       1.87      -1.46      -1.10      -0.36     -11.10     217.10      312.4       14.7        6.3      0.818
2011  252  32646884       1.81      -1.48      -1.00       0.04       1.42     213.93      312.1       14.6        6.4      0.864
2011  252  32745003       1.87      -1.49      -1.13      -0.06      -1.97     217.16      312.0       14.1        6.2      0.746
2011  252  32843121       1.61      -1.25      -0.99      -0.14      -5.08     218.19      311.7       14.8        6.4      1.138
2011  252  32941242       1.53      -1.17      -0.98      -0.10      -3.82     220.03      311.6       15.5        7.1      1.526
2011  252  33039359       1.68      -1.22      -1.16      -0.01      -0.31     223.47      313.2       14.9        7.1      1.176
2011  252  33137480       1.41      -1.01      -0.76      -0.60     -25.32     216.87      312.2       15.8        7.5      1.995
2011  252  33235597       1.12      -0.82      -0.41      -0.64     -35.07     206.68      311.2       15.6        7.7      3.134
2011  252  33333718       1.42      -1.00      -0.70      -0.69     -29.23     215.10      313.0       14.9        6.9      1.614
2011  252  33726195       1.47      -1.15      -0.53      -0.67     -27.82     204.87      315.0       15.4        8.5      1.981
2011  252  33824312       1.59      -1.23      -0.48      -0.84     -32.63     201.41      314.5       15.4        9.0      1.752
2011  252  33922433       1.90      -1.35      -0.44      -1.25     -41.24     197.91      314.7       15.3        8.8      1.213
2011  252  34020550       1.92      -1.38      -0.25      -1.31     -42.92     190.07      316.2       15.2        9.2      1.208
2011  252  34118671       2.00      -1.49      -0.18      -1.32     -41.36     186.98      315.6       15.7        9.2      1.191
2011  252  34216789       1.91      -1.50      -0.55      -1.04     -33.13     200.19      314.7       15.7        9.2      1.300
2011  252  34314910       1.93      -1.48      -0.67      -1.02     -32.13     204.41      314.7       16.2        9.8      1.456
2011  252  34405363       1.99      -1.39      -1.16      -0.82     -24.28     219.94      314.7       17.1       10.0      1.553
2011  252  34514214       1.95      -1.33      -1.16      -0.82     -24.86     220.95      315.8       15.8        9.3      1.276
2011  252  34609265       1.93      -1.31      -1.03      -0.93     -29.30     218.20      315.8       16.0        9.3      1.342
2011  252  34707382       2.02      -1.47      -0.84      -1.09     -32.81     209.62      316.5       15.8        9.4      1.214
2011  252  34805503       2.07      -1.59      -0.57      -1.14     -33.98     199.69      316.3       16.7       10.2      1.380
2011  252  34903625       2.03      -1.64      -0.65      -0.99     -29.38     201.77      316.7       16.6       10.3      1.439
2011  252  35004808       2.50      -2.05      -1.42      -0.13      -2.89     214.75      315.5       17.1       11.6      1.138
2011  252  35102925       2.47      -1.99      -1.43      -0.28      -6.60     215.70      315.7       17.2       11.7      1.189
