             Wind MFI and SWE Data, 1 minute resolution, GSM coordinates
Year  DOY  millisecs      Vth         Np        Psw         Pb        Pth        Beta       Mms    
                          km/s       cm^3       nPa        nPa        nPa                          
2011  252   7738447       15.7        8.1    1.66451    0.00097    0.00167      1.716      14.35
2011  252   7833359       15.9        7.9    1.61469    0.00082    0.00166      2.026      14.51
2011  252   7922279       16.8        7.0    1.40471    0.00142    0.00165      1.159      12.47
2011  252   8031271       14.9        6.9    1.39097    0.00182    0.00127      0.702      12.68
2011  252   8129249       15.1        7.7    1.59229    0.00125    0.00146      1.168      14.11
2011  252   8225835       15.1        7.7    1.58912    0.00121    0.00146      1.212      14.19
2011  252   8325488       14.3        8.9    1.83087    0.00078    0.00151      1.947      16.08
2011  252   8415940       13.8        8.3    1.71205    0.00079    0.00133      1.682      16.28
2011  252   8520333       13.9        8.7    1.79926    0.00066    0.00140      2.129      16.77
2011  252   8618451       13.9        8.9    1.82320    0.00057    0.00144      2.519      16.94
2011  252   8716571       14.0        9.1    1.87456    0.00050    0.00149      3.001      17.20
2011  252   8814549       13.7        8.5    1.74380    0.00071    0.00132      1.856      16.70
2011  252   8903469       15.8        9.5    1.96689    0.00043    0.00198      4.640      15.78
2011  252   9009254       13.8        9.3    1.91588    0.00045    0.00148      3.308      17.58
2011  252   9110438       13.8        9.1    1.88590    0.00056    0.00144      2.574      17.26
2011  252   9208558       13.6        9.0    1.85824    0.00068    0.00138      2.016      17.06
2011  252   9305144       13.6        9.0    1.86563    0.00066    0.00138      2.101      17.15
2011  252   9401730       15.4        8.7    1.80381    0.00044    0.00173      3.960      16.00
2011  252   9496783       15.0        8.5    1.77355    0.00060    0.00161      2.672      15.89
2011  252   9594900       15.3        8.5    1.77308    0.00064    0.00168      2.627      15.55
2011  252   9693020       15.2        8.8    1.82960    0.00076    0.00170      2.223      15.44
2011  252   9785006       14.7        8.5    1.76413    0.00082    0.00152      1.862      15.64
2011  252   9878526       16.8        8.7    1.79486    0.00088    0.00203      2.299      14.02
2011  252   9984311       15.4        8.6    1.79210    0.00091    0.00171      1.894      14.90
2011  252  10085497       15.0        8.5    1.76878    0.00096    0.00160      1.669      15.06
2011  252  10177483       15.2        8.9    1.83768    0.00103    0.00170      1.650      14.86
2011  252  10275601       15.6        8.6    1.78454    0.00127    0.00176      1.388      14.04
2011  252  10373720       15.9        8.5    1.74183    0.00137    0.00179      1.306      13.62
2011  252  10471839       15.3        7.9    1.64259    0.00162    0.00155      0.953      13.39
2011  252  10569958       15.1        8.8    1.82159    0.00138    0.00168      1.215      14.19
2011  252  10668078       15.2        8.5    1.76058    0.00130    0.00165      1.270      14.20
2011  252  10772330       15.5        8.6    1.79300    0.00135    0.00174      1.285      13.96
2011  252  10859716       17.3        8.5    1.76117    0.00132    0.00214      1.624      12.95
2011  252  10965500       15.7        8.0    1.66008    0.00138    0.00164      1.192      13.64
2011  252  11063620       14.4        8.7    1.81425    0.00142    0.00149      1.051      14.62
2011  252  11155607       14.6        8.7    1.82241    0.00131    0.00156      1.186      14.66
2011  252  11253725       15.0        9.3    1.94712    0.00125    0.00173      1.389      14.77
2011  252  11351985       14.9        9.0    1.91156    0.00107    0.00167      1.557      15.19
2011  252  11449963       14.5        8.9    1.85615    0.00134    0.00157      1.174      14.71
2011  252  11837840       16.1        9.1    1.88189    0.00131    0.00196      1.498      13.80
2011  252  11943624       14.9        9.1    1.89779    0.00110    0.00169      1.540      14.98
2011  252  12038677       15.1        9.0    1.90658    0.00088    0.00171      1.951      15.44
2011  252  12136796       14.7        8.9    1.87677    0.00067    0.00161      2.394      16.17
2011  252  12234916       15.3        9.3    1.96043    0.00043    0.00182      4.208      16.34
2011  252  12333035       15.5        8.9    1.87947    0.00055    0.00180      3.290      15.80
2011  252  12431154       14.6        9.0    1.88915    0.00087    0.00161      1.858      15.75
2011  252  12529273       15.1        8.9    1.87606    0.00062    0.00170      2.736      15.96
2011  252  12627391       15.4        8.9    1.86609    0.00045    0.00176      3.929      16.13
2011  252  12725510       14.8        9.0    1.89766    0.00080    0.00165      2.073      15.80
2011  252  12819170       17.3        9.5    2.01952    0.00066    0.00240      3.637      14.30
2011  252  12928023       14.7        8.7    1.82986    0.00069    0.00156      2.252      16.11
2011  252  13219172       15.1        9.0    1.87733    0.00086    0.00172      1.985      15.33
2011  252  13317291       15.6        9.2    1.93654    0.00079    0.00187      2.368      15.24
2011  252  13415411       15.7        9.1    1.92177    0.00072    0.00188      2.603      15.29
2011  252  13513670       15.4        9.0    1.89667    0.00086    0.00178      2.075      15.22
2011  252  13611649       15.4        8.8    1.86223    0.00058    0.00175      3.018      15.83
2011  252  13709767       15.6        8.9    1.88114    0.00048    0.00181      3.795      15.96
2011  252  13803427       17.3        9.2    1.93016    0.00062    0.00229      3.694      14.32
2011  252  13909072       15.4        8.9    1.87174    0.00078    0.00177      2.281      15.32
2011  252  14004265       15.6        9.1    1.92622    0.00055    0.00185      3.377      15.82
2011  252  14102244       15.5        9.0    1.88773    0.00078    0.00181      2.304      15.26
2011  252  14197296       15.2        9.0    1.87866    0.00083    0.00174      2.083      15.35
2011  252  14295416       15.4        9.1    1.90172    0.00098    0.00180      1.834      14.90
2011  252  14396600       15.3        9.0    1.89109    0.00099    0.00176      1.774      14.96
2011  252  14494860       15.5        8.8    1.87952    0.00108    0.00177      1.646      14.73
2011  252  14592979       15.0        8.8    1.84688    0.00121    0.00166      1.374      14.68
2011  252  14690958       15.1        8.6    1.75739    0.00090    0.00163      1.823      15.04
2011  252  14784478       17.2        9.1    1.91418    0.00091    0.00227      2.487      13.83
2011  252  14890262       15.4        8.7    1.82082    0.00119    0.00173      1.448      14.39
2011  252  14985315       14.0        8.5    1.78355    0.00171    0.00140      0.817      14.21
2011  252  15083433       14.7        8.7    1.81005    0.00150    0.00156      1.039      14.24
2011  252  15181552       15.2        9.1    1.89549    0.00140    0.00175      1.249      14.23
2011  252  15279671       15.0        8.7    1.81375    0.00134    0.00163      1.212      14.36
2011  252  15377791       14.5        9.1    1.87281    0.00091    0.00159      1.754      15.67
2011  252  15482041       17.1        9.3    1.94704    0.00085    0.00228      2.676      14.00
2011  252  15571103       15.5        9.0    1.81120    0.00086    0.00180      2.103      14.81
2011  252  15675355       16.1        9.0    1.80923    0.00072    0.00196      2.720      14.61
2011  252  15762602       18.1        9.3    1.86165    0.00073    0.00255      3.479      13.27
2011  252  15866993       16.7        9.0    1.80455    0.00079    0.00210      2.667      14.05
2011  252  15971246       16.3        8.9    1.76936    0.00080    0.00196      2.467      14.27
2011  252  16070898       15.2        8.8    1.77757    0.00089    0.00172      1.940      14.87
2011  252  16169016       15.3        8.9    1.79826    0.00089    0.00173      1.938      14.92
