                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
1997  325  84584171       6.81      -1.49       5.82      -1.51      345.3       20.3    4.70307      1.247    0.51996
1997  326   1809898       7.96      -2.14       5.61      -1.44      343.6       20.3    4.65178      1.690    0.49370
1997  326   5438840       9.06      -1.62       1.18      -8.21      354.4       13.1    3.18498      5.739    2.90980
1997  326   8980530       8.46      -1.47       2.25      -7.25      354.0       19.6    4.77239      4.823    2.56580
1997  326  12607621       8.94      -1.15       3.24      -8.09      366.1       13.4    3.48956      5.421    2.96091
1997  326  16229670       9.12      -1.77       4.75      -7.26      360.1       11.1    2.80208      5.035    2.61513
1997  326  19770464       8.97      -1.46       6.98      -5.22      346.0       10.8    2.51125      3.544    1.80614
1997  326  23399228       7.81      -1.34       6.86      -2.27      338.9       12.0    2.66588      1.780    0.77005
1997  326  27024988       6.47      -1.77       4.97       0.97      344.4       14.5    3.33384      0.470    0.00000
1997  326  30554597       6.32      -0.55       5.86      -0.70      349.7       12.1    2.85862      0.872    0.24623
1997  326  34171316      15.67      -2.90      12.87      -2.10      440.0       28.8   10.83301      7.249    0.92189
1997  326  37781996      22.91      -4.55      20.32      -2.96      477.4       29.6   13.07687     16.348    1.41252
1997  326  41414578      27.16      -2.77      13.27      -7.00      497.0       53.1   25.43546     39.286    3.47771
1997  326  45024503      17.42       0.07       9.59      10.17      485.6       34.5   15.77777      0.545    0.00000
1997  326  48622496      24.52       3.43      18.76      -8.87      521.1       18.9    9.97655     31.810    4.62085
1997  326  52195015      26.70       0.97      21.55      -1.46      484.0        9.9    4.48024     19.590    0.70506
1997  326  55763492      24.90      -0.99      21.04      11.24      452.2        8.4    3.33400      3.909    0.00000
1997  326  59411937      25.33      -4.20      22.32       9.93      461.1        8.3    3.40464      5.194    0.00000
1997  326  62994882      25.60      -3.81      20.24      12.53      502.4        9.1    4.44551      3.685    0.00000
1997  326  66628710      27.50       2.05      17.42      20.05      453.8        3.9    1.56983      1.028    0.00000
1997  326  70169859      25.46     -12.85      21.13       4.97      522.1       22.8   12.04241     10.022    0.00000
1997  326  73783499      24.16     -14.53      18.32       0.13      523.3       21.2   11.28045     15.012    0.00000
1997  326  77417398      21.52     -15.39      11.78      -8.40      523.9       15.3    8.13465     30.192    4.39841
1997  326  81017734      19.07     -14.13       3.03     -12.32      515.4       14.9    7.69860     36.292    6.34740
1997  326  84632796      17.91     -13.14       2.73     -11.80      520.3        7.3    3.85030     32.420    6.13736
1997  327   1756609      17.33     -11.49       0.79     -12.81      507.1        9.0    4.48074     30.290    6.49525
1997  327   5364186      17.45     -11.09      -1.11     -13.33      502.5        7.3    3.55317     30.384    6.70033
1997  327   9003562      15.38      -9.29      -3.74     -11.63      516.6        7.0    3.60622     23.218    6.00918
1997  327  12630790      13.97      -6.92      -4.25     -11.20      514.1        9.2    4.69498     18.735    5.76004
1997  327  16155969      14.19      -7.85      -6.48      -9.80      517.2        8.8    4.58810     17.449    5.06887
1997  327  23386414      12.77      -7.50      -8.56      -5.70      500.2        8.9    4.31932      9.815    2.84895
1997  327  27013500      12.84      -7.15     -10.00      -3.15      490.1        8.1    3.77300      6.806    1.54499
1997  327  30631861      13.49      -7.40      -9.47      -5.68      501.0        6.9    3.37163     10.420    2.84804
1997  327  34167542      15.20      -9.80      -8.02      -7.64      518.8        5.5    2.89813     17.050    3.96490
1997  327  37787265      15.99     -11.10      -3.97     -10.38      506.7        4.5    2.24721     24.138    5.25696
1997  327  41412812      15.38     -11.44      -4.63      -8.79      501.3        3.8    1.86171     20.980    4.40623
1997  327  48586191      13.82       6.16      -9.90       5.90      457.8        1.6    0.63385      1.038    0.00000
1997  327  55822015      11.08       4.54      -8.69       2.59      464.5        1.5    0.60978      1.451    0.00000
1997  327  59421410       9.95      -0.40      -9.50      -0.03      478.2        2.0    0.88007      2.378    0.01544
1997  327  62964523       9.09      -1.78      -8.51      -0.01      486.0        2.7    1.24502      2.001    0.00257
1997  327  66594749       8.48      -0.17      -5.82      -1.09      552.8        2.7    1.60070      2.778    0.60271
