                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
1997  282  84584531       4.92      -3.87      -1.42       0.18      400.7        6.2    1.93292      0.367    0.00000
1997  283   1795233       4.77      -1.27      -2.55      -2.25      420.4        5.6    1.90559      1.318    0.94453
1997  283   5399721       4.67      -1.74       3.27      -0.22      423.1        6.1    2.12738      0.525    0.09408
1997  283   8997815       4.75      -3.06      -0.62      -2.15      413.6        5.9    1.96542      1.788    0.88778
1997  283  12609124       7.93      -1.00       3.90      -5.16      456.1        8.1    3.25711      4.623    2.35526
1997  283  16211507       7.39      -1.97       4.43      -4.88      442.6        9.1    3.47600      3.647    2.15902
1997  283  19815248       8.33      -2.01       5.32      -5.22      446.7        9.7    3.76241      4.466    2.32964
1997  283  23416269       9.38      -2.39       7.22      -5.04      433.0        7.3    2.65217      4.694    2.18108
1997  283  27021654       8.51      -5.01       5.38      -0.61      415.4        7.7    2.59271      1.855    0.25249
1997  283  30622535       7.36      -5.51       3.46      -2.97      396.5        9.2    2.80113      2.917    1.17689
1997  283  34222671       7.92      -4.76       5.47      -2.35      411.8        5.5    1.79499      2.508    0.96917
1997  283  37824984       7.54      -5.85       3.52      -2.27      406.2        6.9    2.20319      2.739    0.92235
1997  283  41423539       7.62      -6.26       0.98      -3.98      401.0        6.2    1.92148      4.508    1.59398
1997  283  45025921       7.67      -0.07       3.41       0.10      415.6        9.0    3.03035      1.145    0.00000
1997  283  48634304       8.46       4.93       6.09       2.99      410.8        9.4    3.07197      0.457    0.00000
1997  283  52163199       8.88       3.71       7.67       2.10      410.0       13.3    4.32460      0.872    0.00000
1997  283  55764082       9.07       0.03       8.71      -1.27      426.6        9.6    3.39503      2.289    0.54166
1997  283  59371101      14.48       3.71      13.81       0.02      437.7       26.2    9.73495      4.564    0.00000
1997  283  62977843      13.20      -1.70      10.07      -7.55      452.3       29.0   11.51060     10.055    3.41293
1997  283  66580226      12.87      -0.31      10.11      -5.14      443.0       28.5   10.86451      7.714    2.27490
1997  283  70181249      13.86       0.11      12.91      -3.24      445.6       13.6    5.24246      6.598    1.44358
1997  283  73789484      13.13      -0.70      11.60      -4.26      437.1       21.2    7.84267      6.790    1.86396
