                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
1996  295  84585375       5.94      -4.87       0.81       2.35      431.6        8.3    2.98379      0.002    0.00000
1996  296   1826003       4.53      -0.10      -1.16      -3.10      429.1        7.2    2.55463      1.644    1.32886
1996  296   5369626       5.18      -4.78       1.59       0.15      417.2        8.9    3.01206      0.460    0.00000
1996  296   9012550       5.91       0.30       0.96      -4.43      453.0        7.0    2.76738      3.081    2.00527
1996  296  12587791       6.12      -1.44       2.39      -3.81      443.6        8.2    3.14317      2.826    1.69216
1996  296  19813107       6.01      -1.98      -0.39      -1.14      463.0        8.3    3.46849      3.151    0.52861
1996  296  23394771       6.48       2.20      -3.63      -0.99      491.8        7.2    3.39806      1.644    0.48718
1996  296  26978658       8.16      -5.43       4.67      -3.65      487.4        6.3    2.89213      4.227    1.78077
1996  296  30642480       8.81      -5.96       4.28      -4.52      474.4        4.7    2.05973      5.463    2.14290
1996  296  34225664       9.11      -6.60       5.47      -2.86      481.1        5.0    2.22775      4.257    1.37537
1996  296  41430125       8.64      -4.86       4.99      -4.88      491.0        7.4    3.45184      5.271    2.39648
1996  296  45004500       7.90      -4.76       3.07      -4.77      489.2        8.2    3.79864      5.157    2.33438
1996  296  48590882       6.31      -4.99       1.10      -2.38      456.5        9.9    4.00554      3.298    1.08444
1996  296  52217667       6.80      -3.68       2.56      -3.38      453.2        9.2    3.68314      3.377    1.53197
1996  296  55773691       8.56      -5.45       0.92       0.28      441.9       12.3    4.64109      0.820    0.00000
1996  296  59418957       9.36      -1.08      -7.88       0.70      479.8       11.4    5.10391      1.739    0.00000
1996  296  62963414       7.56       1.09      -3.21      -4.57      480.2       12.7    5.68695      4.518    2.19616
1996  296  66619281       7.48      -4.34       4.03      -1.59      481.7       13.6    6.10122      2.511    0.76542
1996  296  70180742      10.87      -6.96       7.12       3.09      488.0       11.4    5.26764      1.042    0.00000
1996  296  73811468       9.24      -4.97       3.58       2.13      528.5       12.4    6.72027      0.537    0.00000
1996  296  77390867      12.83      -6.71       5.45      -6.19      567.8        8.1    5.04761     14.281    3.51663
1996  296  84607320      13.86      -5.85       4.39      -9.79      584.9        7.4    4.88204     20.487    5.72531
1996  297   1789626      13.00      -7.76       6.77      -6.39      569.6        7.8    4.88972     13.645    3.64064
1996  297   5425214      12.93      -7.68       4.11      -8.11      596.8        5.8    3.99001     17.793    4.83708
1996  297   8986740      12.74      -7.92       0.15      -9.63      637.6        5.6    4.43874     20.622    6.14154
1996  297  12607824      11.58      -6.59      -1.28      -7.52      595.8        4.7    3.21199     15.710    4.48068
1996  297  16169490       7.27      -0.96      -0.33       1.39      604.9        5.7    4.04059      0.001    0.00000
1996  297  19801667       5.90       0.78       2.89       0.98      701.9        3.1    2.93428      0.560    0.00000
1996  297  27024554       5.49      -3.59       1.86       1.04      645.1        4.3    3.45586      0.254    0.00000
1996  297  30589251       5.68      -4.53       2.18       0.73      657.6        3.9    3.27529      0.494    0.00000
1996  297  34214476       5.52      -4.70       1.65      -1.03      627.0        4.3    3.25953      2.223    0.64413
1996  297  37800882       5.38      -5.10       0.13      -0.98      622.3        3.9    2.93783      3.552    0.61138
1996  297  41384898       5.50      -3.84      -0.32       2.40      612.4        3.5    2.55143      0.000    0.00000
1996  297  48591703       5.56      -2.86      -0.14       3.30      598.7        3.7    2.56511      0.000    0.00000
1996  297  52222468       5.61      -0.47       1.33       2.06      630.4        4.4    3.41738      0.025    0.00000
1996  297  55773652       5.34      -2.50       0.57       1.19      575.6        4.6    2.97639      0.008    0.00000
1996  297  59406742       4.78      -2.09      -0.11       1.74      625.7        4.7    3.55378      0.000    0.00000
1996  297  62979523       5.19      -3.92       0.48       0.54      586.2        4.5    3.00436      0.051    0.00000
1996  297  66566804       5.20      -3.05      -0.68       2.45      593.1        4.1    2.76777      0.001    0.00000
1996  297  70228390       4.95      -3.96      -0.46       0.41      579.4        4.1    2.65078      0.076    0.00000
1996  297  73768851       5.05      -2.01       4.22       0.36      566.3        3.5    2.15132      0.600    0.00000
1996  298  23435744       4.71       2.01       3.55      -1.12      562.8        3.0    1.86965      1.053    0.62977
1996  298  26968914       4.36       0.47       3.13      -2.07      548.1        2.1    1.22636      1.252    1.13695
1996  298  30589439       4.15       0.95       2.23      -1.05      541.5        2.5    1.42749      0.941    0.56649
1996  298  34207371       4.02      -2.22       1.75      -1.59      507.3        3.5    1.74491      1.143    0.80520
1996  298  37825515       3.92      -3.33       1.71       0.70      505.0        3.6    1.75916      0.149    0.00000
1996  298  44979914       4.44      -2.10       2.98      -0.61      508.6        4.3    2.15145      0.719    0.31004
1996  298  48597160       4.96      -0.20       3.20      -1.68      518.4        3.8    2.00188      1.364    0.87110
1996  298  52226007       5.19       0.21       3.65      -3.25      498.4        4.2    2.03516      1.857    1.61803
1996  298  59385886       4.39       2.68       1.98      -2.37      510.4        2.9    1.48914      1.529    1.20742
1996  298  63014554       3.92      -1.50       1.95      -1.25      476.4        4.0    1.76925      0.867    0.59607
1996  298  66626585       4.70      -4.36      -0.09       1.69      467.8        4.3    1.82231      0.000    0.00000
1996  298  70165226       4.73      -4.48      -1.19       0.54      463.9        4.7    1.98147      0.178    0.00000
1996  298  73795445       4.76      -4.45      -1.24       0.77      460.1        4.5    1.84231      0.117    0.00000
1996  298  77417460       4.48      -4.01       1.25      -0.23      471.3        4.2    1.82010      0.660    0.10978
1996  298  81033187       4.72      -4.29      -1.07       0.08      453.8        4.3    1.72694      0.431    0.00000
1996  298  84562484       4.62      -3.93      -1.08      -0.73      469.1        4.2    1.81066      1.208    0.34022
1996  299   1769857       4.21      -3.23      -0.14      -1.20      465.4        3.8    1.60244      1.636    0.55779
