                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
1999   47  84605492       6.15      -1.83       0.89       5.65      461.3        4.8    1.98032      0.000    0.00000
1999   48   1806245       6.68      -1.25       4.32       3.63      463.9        2.8    1.15173      0.131    0.00000
1999   48   8989867       6.63      -0.34       6.37       0.66      464.5        3.9    1.65114      0.819    0.00000
1999   48  12586679       6.10       1.09       5.42      -1.87      456.6        3.0    1.20240      1.491    0.85550
1999   48  16186538       5.44       0.87       4.63      -0.48      433.5        6.0    2.17655      0.780    0.21006
1999   48  19783347       5.72       2.06       4.79      -2.00      461.1        5.5    2.27414      1.441    0.92203
1999   48  23390828       6.56       1.07       6.08      -1.08      463.4        4.4    1.82813      1.373    0.50090
1999   48  26978457      10.99       0.53      10.71      -0.68      504.6       10.6    5.22191      3.430    0.34079
1999   48  30581398      13.14       2.47      12.16      -3.44      498.3       10.5    5.04982      6.942    1.71640
1999   48  34181218      12.69       1.45       7.42      -9.64      493.9        9.6    4.52615     12.741    4.76222
1999   48  37766679      10.87      -1.09       9.01      -2.52      499.3        9.8    4.73992      4.736    1.26072
1999   48  41376531      10.54      -1.07       6.57      -6.62      495.3        7.8    3.71603      8.006    3.27757
1999   48  44961031       8.33      -1.40       2.90      -7.20      499.5        7.2    3.47353      6.419    3.59758
1999   48  48554738       7.87      -2.49       6.41      -1.38      463.8        6.0    2.52381      2.098    0.63857
1999   48  52174359       8.17      -1.05       7.04       2.84      463.3        6.0    2.49388      0.605    0.00000
1999   48  59354406       7.90      -2.28       7.02       0.09      444.0        6.9    2.63958      1.347    0.00000
1999   48  66554812       7.45      -3.90       5.80      -0.46      424.2        6.6    2.31847      1.366    0.19586
1999   48  70233101       8.32      -3.34       6.20       4.04      423.9        5.3    1.85820      0.301    0.00000
1999   48  73834484       8.62      -4.58       6.16      -0.68      407.9        2.5    0.81169      1.860    0.27700
1999   48  77434382       7.78      -4.97       5.02       2.51      400.3        3.8    1.17642      0.369    0.00000
1999   48  81022851       7.68      -6.23       3.03       2.48      373.2        3.1    0.83317      0.148    0.00000
1999   48  84613640       7.48      -6.59       1.69       2.74      367.6        2.9    0.75327      0.023    0.00000
