             Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz        Psw         Pb        Pth    
                           nT         nT         nT         nT        nPa        nPa        nPa    
2011  252   8415940       1.41      -0.57      -0.01      -1.29    1.71205    0.00079    0.00133
2011  252   8520333       1.29      -0.51       0.01      -1.18    1.79926    0.00066    0.00140
2011  252   8618451       1.20      -0.55       0.06      -1.06    1.82320    0.00057    0.00144
2011  252   8716571       1.12      -0.39       0.21      -1.02    1.87456    0.00050    0.00149
2011  252   8814549       1.34      -0.26       0.13      -1.30    1.74380    0.00071    0.00132
2011  252   8903469       1.04      -0.26       0.34      -0.91    1.96689    0.00043    0.00198
2011  252   9009254       1.06      -0.07       0.68      -0.78    1.91588    0.00045    0.00148
2011  252   9110438       1.19      -0.08       0.56      -1.03    1.88590    0.00056    0.00144
2011  252   9208558       1.31      -0.00       0.51      -1.20    1.85824    0.00068    0.00138
2011  252   9305144       1.29       0.11       0.47      -1.15    1.86563    0.00066    0.00138
2011  252   9401730       1.05       0.51       0.67      -0.62    1.80381    0.00044    0.00173
2011  252   9496783       1.23       0.74       0.21      -0.95    1.77355    0.00060    0.00161
2011  252   9594900       1.27       0.85      -0.11      -0.92    1.77308    0.00064    0.00168
2011  252   9693020       1.38       0.98      -0.34      -0.90    1.82960    0.00076    0.00170
2011  252   9785006       1.43       1.10      -0.55      -0.72    1.76413    0.00082    0.00152
2011  252   9878526       1.49       1.23      -0.68      -0.49    1.79486    0.00088    0.00203
2011  252   9984311       1.51       1.12      -0.80      -0.61    1.79210    0.00091    0.00171
2011  252  10085497       1.55       1.18      -0.83      -0.01    1.76878    0.00096    0.00160
2011  252  10177483       1.61       1.20      -1.03       0.22    1.83768    0.00103    0.00170
2011  252  10275601       1.78       1.29      -0.85       0.86    1.78454    0.00127    0.00176
2011  252  10373720       1.85       1.41      -0.70       0.97    1.74183    0.00137    0.00179
2011  252  10471839       2.02       1.62      -0.73       0.95    1.64259    0.00162    0.00155
2011  252  10569958       1.86       1.15      -1.16       0.82    1.82159    0.00138    0.00168
2011  252  10668078       1.80       1.20      -1.09       0.76    1.76058    0.00130    0.00165
2011  252  10772330       1.85       1.28      -1.12       0.70    1.79300    0.00135    0.00174
2011  252  10859716       1.82       1.34      -1.17       0.25    1.76117    0.00132    0.00214
2011  252  10965500       1.86       1.37      -1.23       0.00    1.66008    0.00138    0.00164
2011  252  11063620       1.89       1.29      -1.24       0.59    1.81425    0.00142    0.00149
2011  252  11155607       1.82       1.27      -1.21       0.46    1.82241    0.00131    0.00156
2011  252  11253725       1.77       1.32      -1.15       0.18    1.94712    0.00125    0.00173
2011  252  11351985       1.64       1.11      -1.15      -0.29    1.91156    0.00107    0.00167
2011  252  11449963       1.83       1.31      -1.03       0.68    1.85615    0.00134    0.00157
2011  252  11837840       1.82       1.25      -0.79       1.05    1.88189    0.00131    0.00196
2011  252  11943624       1.66       1.20      -0.79       0.78    1.89779    0.00110    0.00169
2011  252  12038677       1.49       1.09      -0.94      -0.37    1.90658    0.00088    0.00171
2011  252  12136796       1.30       0.91      -0.81      -0.42    1.87677    0.00067    0.00161
2011  252  12234916       1.04       0.71      -0.57      -0.47    1.96043    0.00043    0.00182
2011  252  12333035       1.17       0.72      -0.82      -0.43    1.87947    0.00055    0.00180
2011  252  12431154       1.48       0.88      -0.91      -0.73    1.88915    0.00087    0.00161
2011  252  12529273       1.25       0.82      -0.80      -0.41    1.87606    0.00062    0.00170
2011  252  12627391       1.06       0.69      -0.80       0.02    1.86609    0.00045    0.00176
2011  252  12725510       1.42       1.00      -0.70      -0.61    1.89766    0.00080    0.00165
2011  252  12819170       1.29       1.11      -0.47      -0.44    2.01952    0.00066    0.00240
2011  252  12928023       1.32       0.96      -0.70      -0.56    1.82986    0.00069    0.00156
2011  252  13219172       1.47       0.90      -0.51      -1.01    1.87733    0.00086    0.00172
2011  252  13317291       1.41       0.94      -0.60      -0.83    1.93654    0.00079    0.00187
2011  252  13415411       1.35       1.01      -0.61      -0.60    1.92177    0.00072    0.00188
2011  252  13513670       1.47       1.15      -0.89      -0.08    1.89667    0.00086    0.00178
2011  252  13611649       1.21       0.95      -0.71      -0.05    1.86223    0.00058    0.00175
2011  252  13709767       1.09       0.85      -0.68       0.10    1.88114    0.00048    0.00181
2011  252  13803427       1.25       1.04      -0.63      -0.19    1.93016    0.00062    0.00229
2011  252  13909072       1.40       0.95      -0.55      -0.79    1.87174    0.00078    0.00177
2011  252  14004265       1.17       0.53      -0.40      -0.95    1.92622    0.00055    0.00185
2011  252  14102244       1.40       0.85      -0.32      -1.06    1.88773    0.00078    0.00181
2011  252  14197296       1.45       0.79      -0.29      -1.18    1.87866    0.00083    0.00174
2011  252  14295416       1.57       0.97      -0.35      -1.17    1.90172    0.00098    0.00180
2011  252  14396600       1.58       1.01      -0.50      -1.10    1.89109    0.00099    0.00176
2011  252  14494860       1.64       1.16      -0.58      -1.01    1.87952    0.00108    0.00177
2011  252  14592979       1.74       0.88      -0.67      -1.31    1.84688    0.00121    0.00166
2011  252  14690958       1.50       0.16      -0.26      -1.36    1.75739    0.00090    0.00163
2011  252  14784478       1.51       0.48      -0.38      -1.36    1.91418    0.00091    0.00227
2011  252  14890262       1.73       0.47      -0.54      -1.56    1.82082    0.00119    0.00173
2011  252  14985315       2.07       0.68      -0.74      -1.81    1.78355    0.00171    0.00140
2011  252  15083433       1.94       0.69      -0.66      -1.69    1.81005    0.00150    0.00156
2011  252  15181552       1.88       0.72      -0.55      -1.62    1.89549    0.00140    0.00175
2011  252  15279671       1.84       0.67      -0.75      -1.53    1.81375    0.00134    0.00163
2011  252  15377791       1.51       0.21      -0.86      -1.15    1.87281    0.00091    0.00159
2011  252  15482041       1.46       0.34      -0.78      -1.05    1.94704    0.00085    0.00228
2011  252  15571103       1.47      -0.97      -0.66      -0.86    1.81120    0.00086    0.00180
2011  252  15675355       1.34      -1.12      -0.45      -0.58    1.80923    0.00072    0.00196
2011  252  15762602       1.36      -1.21      -0.21      -0.54    1.86165    0.00073    0.00255
2011  252  15866993       1.41      -1.35       0.06      -0.33    1.80455    0.00079    0.00210
2011  252  15971246       1.41      -1.19      -0.10      -0.75    1.76936    0.00080    0.00196
2011  252  16070898       1.49      -0.90      -0.19      -1.11    1.77757    0.00089    0.00172
