                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
1998  175  84572351      12.67      -9.36       7.91       2.68      483.4        8.7    3.92188      1.781    0.00000
1998  176   1810759      13.93     -11.00       6.40       5.43      477.0        5.4    2.37927      0.574    0.00000
1998  176   5357019      14.09     -11.57       4.52       6.62      475.8        4.8    2.09527      0.143    0.00000
1998  176   8995499      13.89     -11.72       4.74       5.65      474.5        4.3    1.85927      0.249    0.00000
1998  176  16183996      12.99      -9.17       6.14       6.71      459.3       12.5    5.11968      0.266    0.00000
1998  176  19821515      13.42      -8.64       7.66       6.62      457.7       13.5    5.47541      0.493    0.00000
1998  176  23362298      13.25      -8.67       7.60       6.33      449.7       13.6    5.34364      0.509    0.00000
1998  176  27009998      12.23      -7.67       7.01       6.31      446.0       17.7    6.82829      0.364    0.00000
1998  176  30558527      12.17      -7.80       5.83       7.13      437.7       18.8    6.99050      0.165    0.00000
1998  176  34197078      12.03      -4.70       7.22       8.32      438.6       19.7    7.35956      0.190    0.00000
1998  176  37837035      12.18      -5.07       6.59       8.88      428.7       15.4    5.47793      0.123    0.00000
1998  176  41396417      12.36      -5.50       6.51       8.91      428.4       12.1    4.32154      0.121    0.00000
1998  176  45028632      12.41      -6.93       4.46       8.88      422.5       14.6    5.07025      0.037    0.00000
1998  176  48580300      11.68      -4.21       3.63      10.15      411.0       12.5    4.08291      0.010    0.00000
1998  176  52229378      11.22      -4.97       1.28       9.93      407.2       15.0    4.83322      0.000    0.00000
1998  176  55762558      10.82      -3.72      -0.87      10.05      400.9       14.0    4.35335      0.000    0.00000
1998  176  59405441      15.44      -4.99      -2.40      13.77      436.1       21.4    7.88518      0.001    0.00000
1998  176  62955699      17.41      -1.25      -6.82      15.86      459.6       18.2    7.45563      0.046    0.00000
1998  176  66601679      16.92      -1.44      -5.39      15.38      462.3       11.4    4.71123      0.021    0.00000
1998  176  73795656      16.54       3.43     -11.03      11.65      451.0        8.5    3.35767      0.462    0.00000
1998  176  77433398      16.14       4.79     -12.81       8.38      492.1        6.7    3.14466      1.309    0.00000
1998  176  80967984      14.23       5.46     -12.84       1.19      474.9       18.5    8.11656      3.953    0.00000
1998  176  84623445      13.59      -0.00       1.71      -6.48      468.6       14.3    6.09678     16.677    3.03832
1998  177   1764228      14.15       3.86       0.84     -13.21      464.9       13.7    5.73961     18.506    6.14058
1998  177   5405739      14.17      -1.50       3.05     -13.24      460.7        9.6    3.93489     17.958    6.09994
1998  177   8961876      13.99      -2.69       4.59     -12.62      468.5        7.7    3.26288     17.185    5.91279
1998  177  12590976      14.09      -4.11       7.14     -11.07      464.3        5.3    2.21946     15.561    5.13790
1998  177  16227073      12.92      -5.64       9.78      -6.19      476.8        6.1    2.68401      9.338    2.94940
1998  177  19781160      11.45      -5.31       9.38      -3.25      476.2        9.4    4.12138      5.478    1.54709
1998  177  23407033      11.45      -4.42      10.13       0.43      483.6       12.3    5.57552      2.897    0.00000
1998  177  30614128      11.97       2.75       8.34       7.97      510.2       13.0    6.54075      0.349    0.00000
1998  177  34233949      12.77       0.07      11.35       5.03      487.2       13.0    5.98016      1.399    0.00000
1998  177  37771777      10.35      -2.06       9.89       1.28      473.7       17.0    7.41889      1.918    0.00000
1998  177  41434839       9.98      -1.59       9.68       0.50      474.5       25.2   11.03138      2.116    0.00000
1998  177  44957035      10.87       0.71      10.63      -0.34      466.9       15.6    6.57918      2.928    0.15724
1998  177  48598546      10.78       0.70      10.61      -1.00      472.5       16.9    7.33326      3.273    0.47429
1998  177  55794792       9.36       3.28       8.33      -2.24      469.5       15.4    6.60169      3.254    1.04962
1998  177  59433171       9.50       3.49       8.38      -2.63      467.4        8.6    3.62581      3.548    1.22853
1998  177  62986499       9.20       2.99       8.42      -2.12      466.1        9.2    3.87076      3.041    0.98759
1998  177  66630968       8.75       3.44       7.75      -2.05      462.3       12.3    5.08196      2.779    0.94544
1998  177  70170234       8.40      -0.93       6.17       0.63      477.4       14.8    6.53442      1.353    0.00000
1998  177  73813312       7.54      -5.36       0.62       4.69      443.2        5.6    2.11579      0.000    0.00000
1998  177  77361101       7.18      -0.41       5.74       1.26      474.6        6.7    2.92738      0.752    0.00000
1998  177  80990898       6.84       0.11       6.03       2.17      455.3        8.0    3.20880      0.463    0.00000
1998  178   1790248       6.79      -1.62       3.98       3.35      441.5       10.3    3.89480      0.129    0.00000
1998  178   5428662       7.14      -3.56       0.04       5.03      427.4       10.5    3.70419      0.000    0.00000
1998  178   8981849       8.55      -2.36       5.74       3.16      447.9        6.1    2.38955      0.436    0.00000
1998  178  12612447       8.80      -1.95       8.17       1.72      433.9        3.6    1.33291      1.054    0.00000
1998  178  23436328       6.98       2.59       5.97       1.05      471.4        7.5    3.21198      0.782    0.00000
1998  178  26991052       6.75       2.11       5.26      -0.65      471.4        8.3    3.57946      1.346    0.30409
1998  178  30631009       5.68      -1.76       4.28       0.97      449.6        9.6    3.77342      0.438    0.00000
1998  178  34174898       6.07       3.27       4.39      -0.43      471.8        9.8    4.23809      1.044    0.20264
1998  178  37822609       6.50       4.45       4.48       0.32      471.4        7.8    3.35671      0.856    0.00000
1998  178  41361851       6.29       3.47       4.99       0.84      470.4        7.1    3.06719      0.645    0.00000
1998  178  45001957       5.39       3.09       3.71       1.48      453.3        9.0    3.58336      0.260    0.00000
1998  178  52199582       5.91       4.22       2.71       0.36      471.3        7.2    3.11092      0.618    0.00000
1998  178  55762101       6.37       4.60       3.30       2.36      462.6        8.6    3.56662      0.164    0.00000
1998  178  59388050       6.39       3.20       4.35       2.58      455.0        8.6    3.43563      0.222    0.00000
1998  178  63018070       6.60       2.38       5.28       2.31      453.6        7.7    3.06879      0.353    0.00000
1998  178  66579828       6.38       1.37       5.78       1.59      445.8        8.3    3.21068      0.489    0.00000
1998  178  70210492       6.38       2.04       5.51       1.83      431.3        8.4    3.03194      0.411    0.00000
1998  178  73754226       6.32       3.07       4.30       2.85      448.1        8.3    3.24625      0.179    0.00000
1998  178  77409664       6.18       4.60       3.23       1.54      435.5        7.9    2.92429      0.268    0.00000
1998  178  84590554       6.44       5.35       3.14       1.64      428.4        5.3    1.90461      0.254    0.00000
1998  179   1836537       5.89       4.28       3.86       0.99      417.9        5.5    1.87916      0.409    0.00000
