Wind SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs      Vth         Np    
                          km/s       cm^3   
2000  196  18289806       38.9        2.3
2000  196  18362431       35.7        2.3
2000  196  18458181       36.9        2.4
2000  196  18555289       34.2        2.2
2000  196  18646689       32.8        2.6
2000  196  18741554       37.6        2.5
2000  196  18841007       36.3        3.0
2000  196  18933125       39.6        2.4
2000  196  19035675       31.4        2.6
2000  196  19127617       35.0        2.6
2000  196  19247304       42.0        2.9
2000  196  19322103       40.7        3.5
2000  196  19414867       37.8        2.6
2000  196  19513601       41.0        3.4
2000  196  19606361       42.2        3.4
2000  196  19702107       41.7        3.4
2000  196  19797859       39.9        3.8
2000  196  19894431       38.2        2.9
2000  196  19992349       41.0        3.4
2000  196  20088925       45.5        3.2
2000  196  20207798       51.1        2.8
2000  196  20280425       42.3        3.1
2000  196  20376175       40.6        3.3
2000  196  20471925       41.1        3.3
2000  196  20564507       40.6        2.8
2000  196  20663425       39.3        2.8
2000  196  20759175       40.3        3.2
2000  196  20851757       41.4        2.9
2000  196  20949003       39.5        2.8
2000  196  21046425       38.8        2.9
2000  196  21161482       36.5        2.3
2000  196  21232621       51.7        4.0
2000  196  21329859       44.4        3.1
2000  196  21425609       42.0        3.2
2000  196  21521367       39.6        2.3
2000  196  21617046       36.9        2.4
2000  196  21712796       34.1        2.4
2000  196  21807121       34.0        2.3
2000  196  21902871       34.8        2.4
2000  196  21998621       34.1        2.3
2000  196  22119804       40.4        2.4
2000  196  22191617       36.2        2.2
2000  196  22287367       36.9        2.2
2000  196  22381621       35.1        2.2
2000  196  22477371       38.9        2.2
2000  196  22576113       33.2        2.3
2000  196  22671181       32.8        2.3
2000  196  22962921       38.3        2.5
2000  196  23082468       43.6        2.3
2000  196  23155103       35.1        2.4
2000  196  23249357       32.9        2.3
2000  196  23346595       43.6        2.7
2000  196  23441671       45.0        2.2
2000  196  23538103       34.6        2.2
2000  196  23632357       34.2        2.3
2000  196  23728107       40.0        2.4
2000  196  23823857       38.3        2.5
2000  196  23921093       46.6        2.6
2000  196  24040791       52.3        2.6
2000  196  24109611       48.9        2.8
2000  196  24206857       35.2        2.3
2000  196  24304095       45.1        2.9
2000  196  24401349       43.1        2.9
2000  196  24497099       45.7        2.6
2000  196  24592849       41.4        3.0
2000  196  24690087       48.7        2.7
2000  196  24787341       45.0        2.4
2000  196  24884580       44.0        2.9
2000  196  25004275       40.7        2.4
2000  196  25074591       33.6        2.2
2000  196  25170341       33.6        2.3
2000  196  25266091       32.8        2.2
2000  196  25361841       37.4        2.4
2000  196  25457591       33.7        2.2
2000  196  25553341       33.6        2.3
2000  196  25649021       30.9        1.9
2000  196  25744160       32.3        2.1
2000  196  25838414       33.8        2.4
2000  196  25961775       38.6        2.3
2000  196  26031410       32.7        2.1
2000  196  26125664       44.1        2.6
2000  196  26221414       44.0        3.1
2000  196  26317164       34.9        2.0
2000  196  26412914       35.0        2.1
2000  196  26510160       33.9        2.1
2000  196  26608902       34.2        2.1
2000  196  26703156       39.8        2.4
2000  196  26798871       43.2        2.2
2000  196  26921445       45.0        2.4
2000  196  26990406       45.9        2.8
2000  196  27086156       45.0        2.7
2000  196  27181906       45.8        2.6
2000  196  27277480       45.4        2.6
2000  196  27376222       45.6        2.7
2000  196  27469156       46.8        2.5
2000  196  27567898       45.7        2.7
2000  196  27660656       41.1        2.4
2000  196  27756406       45.4        2.6
2000  196  27878945       43.6        2.7
2000  196  27955386       33.2        2.2
2000  196  28047322       48.1        2.8
2000  196  28139406       48.9        2.6
2000  196  28234271       50.0        2.5
2000  196  28333013       52.1        2.5
2000  196  28429437       53.4        2.6
2000  196  28522230       54.2        2.4
2000  196  28621148       48.6        2.7
2000  196  28716863       31.4        2.2
2000  196  28836445       49.2        2.8
2000  196  28906691       33.5        2.1
2000  196  29004148       31.0        1.8
2000  196  29099898       34.1        2.1
2000  196  29194152       35.0        2.2
2000  196  29289902       36.5        2.0
2000  196  29385652       35.5        2.0
2000  196  29484357       37.9        2.1
2000  196  29580142       32.6        1.7
2000  196  29678070       33.6        2.1
2000  196  29797757       39.9        2.4
2000  196  29869570       33.1        2.2
2000  196  29963753       34.2        2.2
2000  196  30060999       36.1        2.3
2000  196  30155253       37.9        2.4
2000  196  30252500       35.4        2.3
2000  196  30348249       30.9        2.2
2000  196  30442574       31.2        2.3
2000  196  30538324       31.8        2.3
2000  196  30634003       33.9        2.3
2000  196  30755257       38.3        2.5
2000  196  30831488       32.2        2.4
2000  196  30918263       32.4        2.3
2000  196  31014083       33.8        2.4
2000  196  31109763       33.1        2.1
2000  196  31205513       32.5        2.4
2000  196  31302757       39.2        2.3
2000  196  31401500       34.2        2.1
2000  196  31497249       33.6        2.2
2000  196  31593884       30.8        2.3
2000  196  31714927       37.6        2.5
2000  196  31789873       32.1        2.3
2000  196  31883304       49.3        2.9
2000  196  31978380       38.4        2.3
2000  196  32072494       46.5        2.5
2000  196  32169880       34.0        2.0
2000  196  32264134       33.3        2.0
2000  196  32358388       33.6        2.0
2000  196  32454103       34.8        2.0
2000  196  32549853       32.5        2.1
2000  196  32670187       57.3        2.4
2000  196  32746558       49.0        2.7
2000  196  32839316       34.6        2.2
2000  196  32936554       44.4        2.7
2000  196  33030816       43.8        2.9
2000  196  33125882       46.0        2.7
2000  196  33222316       43.9        2.8
2000  196  33317246       41.5        2.2
2000  196  33413132       43.0        2.5
2000  196  33511738       49.4        2.7
2000  196  33630070       42.6        2.0
2000  196  33706980       40.8        3.1
2000  196  33799125       50.1        3.0
2000  196  33902968       43.0        2.5
2000  196  33990417       53.3        2.4
2000  196  34095351       33.1        2.5
2000  196  34182124       31.6        2.2
2000  196  34276992       33.9        2.4
2000  196  34378726       33.4        2.5
2000  196  34470664       33.3        2.3
2000  196  34589031       39.6        2.5
2000  196  34664550       34.8        2.4
2000  196  34761117       35.3        2.2
2000  196  34851562       30.9        1.9
2000  196  34945066       62.3        2.5
2000  196  35049648       51.9        2.9
2000  196  35146292       35.3        2.4
2000  196  35236058       35.9        2.4
2000  196  35331808       33.1        2.4
2000  196  35430550       32.1        2.4
2000  196  35544859       60.5        2.8
2000  196  35621160       55.2        3.0
2000  196  35721570       39.3        2.4
2000  196  35824015       41.2        3.2
2000  196  35910726       42.8        3.0
2000  196  36012460       33.3        2.6
2000  196  36102289       42.0        3.3
2000  196  36198046       33.2        2.6
2000  196  36291042       49.1        2.6
2000  196  36389863       50.8        2.6
2000  196  36508410       60.9        2.7
2000  196  36584714       51.4        3.0
2000  196  36683593       37.2        2.4
2000  196  36774042       44.0        2.8
2000  196  36871218       38.0        2.8
2000  196  36966148       43.4        3.4
2000  196  37064890       33.9        2.7
2000  196  37160640       32.3        2.5
2000  196  37254218       33.3        2.6
2000  196  37349968       34.8        2.5
2000  196  37469656       35.9        2.5
2000  196  37541468       32.3        2.5
2000  196  37636394       34.7        2.3
2000  196  37827898       32.8        2.4
2000  196  37923644       34.2        2.8
2000  196  38016406       35.3        2.6
2000  196  38115968       34.7        2.5
2000  196  38213214       34.0        2.5
2000  196  38313453       31.3        2.4
2000  196  38428007       37.0        2.6
2000  196  38506449       35.6        2.8
2000  196  38599207       32.4        2.4
2000  196  38696453       34.8        2.3
2000  196  38794441       34.0        2.4
2000  196  38884347       34.9        2.5
2000  196  38982953       40.2        2.4
2000  196  39078667       51.8        3.6
2000  196  39171457       37.8        2.5
2000  196  39267210       36.1        2.4
2000  196  39387648       42.8        2.6
2000  196  39465445       35.7        2.5
2000  196  39553785       31.6        2.5
2000  196  39646472       33.8        2.5
2000  196  39743718       34.7        2.4
2000  196  39836476       34.7        2.4
2000  196  39938210       36.7        2.5
2000  196  40030968       35.6        2.6
2000  196  40126718       36.0        2.4
2000  196  40225460       36.3        2.6
2000  196  40339980       41.3        2.8
2000  196  40421449       33.6        2.6
2000  196  40513527       31.6        2.4
