                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
2000  310  84622093       6.48      -4.61       3.19      -2.80      484.0        2.1    0.97689      2.785    1.35357
2000  311   1755040       5.89      -3.67       2.88      -2.86      475.2        1.9    0.84762      2.387    1.35730
2000  311   5381467       5.50      -1.99       2.56      -4.09      499.0        2.4    1.16736      2.564    2.03893
2000  311   9016324       5.41      -1.15       3.69      -3.29      492.6        2.1    0.97195      1.995    1.62201
2000  311  16184089       5.36      -2.58       2.34      -3.69      487.2        1.8    0.84734      2.376    1.79964
2000  311  19827333       5.26      -3.27       1.78      -3.57      463.9        1.7    0.70226      2.293    1.65766
2000  311  23364712       5.16      -2.03       2.73      -3.08      490.3        2.4    1.12402      1.990    1.50809
2000  311  26985035       5.19      -2.70       0.54      -3.13      491.9        2.2    1.05169      2.605    1.53985
2000  311  30628384       4.96      -3.44       0.85      -2.30      457.5        2.0    0.79883      2.105    1.05259
2000  311  34162906       7.22      -1.06       1.73      -4.05      456.8        1.7    0.70446      4.371    1.84842
2000  311  37780117       9.46      -2.60       5.59      -4.68      540.4        5.4    3.04036      6.502    2.53172
2000  311  41410402       9.51      -3.13       4.04      -2.41      588.4        7.4    4.96020      6.066    1.41744
2000  311  48585800      12.40      -0.35       3.69     -10.07      611.3        5.6    4.04826     17.603    6.15692
2000  311  52218347      12.70       1.64       4.99     -11.45      619.3        5.5    4.07327     18.279    7.09003
2000  311  59379003      14.12       2.46       9.26     -10.29      616.4        6.2    4.53549     18.617    6.34402
2000  311  63010929      13.05       2.46       8.70      -8.07      609.1        6.2    4.49515     14.598    4.91687
2000  311  66645789      12.33       3.58       6.53      -8.98      595.2       44.8   30.78734     14.757    5.34311
2000  311  70175492      11.92       3.11       4.68     -10.42      589.3       16.9   11.41657     15.243    6.13945
2000  311  73809624       9.73       1.62       7.99      -3.93      580.6       29.5   19.30873      5.691    2.28172
2000  311  77437632       9.75      -1.11       6.76       6.28      570.9       15.9   10.05404      0.276    0.00000
2000  311  80976687      11.19       0.05       4.79      -3.78      599.4       10.6    7.41776      9.811    2.26768
2000  311  84603937      15.16       0.26       8.70     -12.32      549.5        1.4    0.84907     20.790    6.77230
2000  312   1830369      16.38       1.66      11.08     -11.64      563.3        1.4    0.89200     22.394    6.55745
2000  312   5371532      17.01      -1.16      11.32     -11.90      616.4        2.3    1.72757     26.422    7.33667
2000  312   9005708      17.63       0.25      12.26     -12.24      593.9        2.1    1.44662     26.796    7.26882
2000  312  12639990      18.07       1.77      13.68     -11.53      591.9        2.0    1.39227     26.052    6.82469
2000  312  16166483      18.18      -1.52      15.34      -9.42      576.1        2.1    1.33731     22.014    5.42572
