Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs      Psw         Pb        Pth    
                          nPa        nPa        nPa    
2011  252  14396600    1.89109    0.00099    0.00176
2011  252  14494860    1.87952    0.00108    0.00177
2011  252  14592979    1.84688    0.00121    0.00166
2011  252  14690958    1.75739    0.00090    0.00163
2011  252  14784478    1.91418    0.00091    0.00227
2011  252  14890262    1.82082    0.00119    0.00173
2011  252  14985315    1.78355    0.00171    0.00140
2011  252  15083433    1.81005    0.00150    0.00156
2011  252  15181552    1.89549    0.00140    0.00175
2011  252  15279671    1.81375    0.00134    0.00163
2011  252  15377791    1.87281    0.00091    0.00159
2011  252  15482041    1.94704    0.00085    0.00228
2011  252  15571103    1.81120    0.00086    0.00180
2011  252  15675355    1.80923    0.00072    0.00196
2011  252  15762602    1.86165    0.00073    0.00255
2011  252  15866993    1.80455    0.00079    0.00210
2011  252  15971246    1.76936    0.00080    0.00196
2011  252  16070898    1.77757    0.00089    0.00172
2011  252  16169016    1.79826    0.00089    0.00173
2011  252  16267135    1.78451    0.00090    0.00166
2011  252  16564417    1.82386    0.00109    0.00185
2011  252  16661003    1.79104    0.00128    0.00155
2011  252  16749923    1.77282    0.00170    0.00177
2011  252  16854316    1.73272    0.00160    0.00133
2011  252  16956894    1.74777    0.00154    0.00144
2011  252  17055414    1.76086    0.00163    0.00138
2011  252  17152732    1.80413    0.00164    0.00144
2011  252  17251251    1.75235    0.00163    0.00135
2011  252  17349371    1.78421    0.00171    0.00146
2011  252  17447490    1.76926    0.00169    0.00140
2011  252  17545609    1.75726    0.00169    0.00144
2011  252  17643728    1.80471    0.00164    0.00150
2011  252  17731115    1.78226    0.00168    0.00185
2011  252  17836900    1.76856    0.00156    0.00146
2011  252  17938083    1.76003    0.00162    0.00140
2011  252  18036203    1.76998    0.00166    0.00142
2011  252  18134322    1.83475    0.00154    0.00162
2011  252  18232441    1.82258    0.00147    0.00149
2011  252  18324427    1.87308    0.00139    0.00158
2011  252  18422546    1.86307    0.00136    0.00156
2011  252  18520666    1.83535    0.00144    0.00156
2011  252  18618785    1.82781    0.00141    0.00154
2011  252  18818089    1.83114    0.00144    0.00152
2011  252  18919275    1.75291    0.00147    0.00135
2011  252  19011261    1.85072    0.00156    0.00152
2011  252  19115513    1.78192    0.00159    0.00144
2011  252  19213632    1.82710    0.00163    0.00154
2011  252  19311751    1.84741    0.00168    0.00151
2011  252  19409871    1.80655    0.00169    0.00146
2011  252  19505064    1.77064    0.00160    0.00139
2011  252  19606109    1.79063    0.00174    0.00142
2011  252  19693496    1.84444    0.00169    0.00194
2011  252  19799281    1.79229    0.00163    0.00138
2011  252  19899074    1.79861    0.00162    0.00149
2011  252  19997191    1.75561    0.00174    0.00141
2011  252  20095169    1.77690    0.00122    0.00170
2011  252  20193289    1.77585    0.00119    0.00172
2011  252  20290015    1.73260    0.00145    0.00146
2011  252  20388134    1.70938    0.00168    0.00144
2011  252  20487646    1.72004    0.00145    0.00158
2011  252  20584373    1.75717    0.00128    0.00167
2011  252  20674685    1.79109    0.00126    0.00211
2011  252  20783677    1.70050    0.00149    0.00155
2011  252  20878730    1.74486    0.00149    0.00165
2011  252  20976849    1.72698    0.00163    0.00159
2011  252  21074968    1.67871    0.00183    0.00164
