                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
1998   68  84613359       3.54      -1.89       2.79       0.06      275.7       27.8    4.10619      0.165    0.00000
1998   69   1818432       3.86      -0.31       1.83       2.82      273.4       29.6    4.28783      0.005    0.00000
1998   69   5422901       5.04      -1.55       2.40       1.39      279.5       29.9    4.53539      0.088    0.00000
1998   69   9025047       4.65      -0.16      -0.47      -1.89      294.8       41.4    6.97745      1.231    0.55851
1998   69  12633122       5.09       1.50      -3.27      -2.43      305.6       37.2    6.74222      1.006    0.74342
1998   69  16161009       6.26       0.17      -2.32      -4.69      312.5       41.4    7.84058      2.191    1.46589
1998   69  19766121      11.71      -2.09       8.63      -3.79      318.4       25.8    5.06920      4.276    1.20754
1998   69  23362261      13.70      -3.39      10.70      -2.57      322.8       20.2    4.07546      4.593    0.82912
1998   69  26967406      15.37      -4.42      12.10      -6.00      325.1       19.0    3.90323      7.986    1.95068
1998   69  30580054      20.16      -9.16      17.37       4.02      368.8       34.7    9.14502      4.483    0.00000
1998   69  34195027      20.19      -1.03      -0.09      -5.15      376.1       38.3   10.49965     30.555    1.93514
1998   69  37809992      21.39       9.81     -18.08       1.71      401.0       38.9   12.14955      7.505    0.00000
1998   69  48604441      22.03       4.85     -20.71      -3.26      429.4       12.1    4.32008     13.867    1.39807
1998   69  52218480      18.03       5.79     -10.19      -3.84      432.2       16.5    5.97941     12.817    1.66149
1998   69  55819117      17.39       5.01      -1.00     -15.56      551.9        9.1    5.36680     33.210    8.58810
1998   69  59365757      17.52       7.12      -6.64     -13.80      507.8       10.7    5.33437     28.074    7.00684
1998   69  62977003      16.03       7.22      -4.76     -10.95      516.8        8.9    4.61498     24.316    5.66002
1998   69  66572999      13.80       6.48      -6.22      -7.40      562.7        5.8    3.57394     16.652    4.16610
1998   69  70178960      11.96       4.88      -4.72      -7.32      554.0        7.4    4.42720     13.367    4.05364
1998   69  81036148      13.76       9.42      -4.82      -8.24      491.3        7.5    3.49209     16.085    4.04738
1998   70   1782969       8.88       7.11      -4.55      -1.34      534.0        5.4    2.97887      3.459    0.71740
1998   70   5444996       6.42       3.19      -3.61       0.60      527.6        3.9    2.12533      0.760    0.00000
1998   70   8984717       4.55      -2.42       0.21       0.11      539.2        8.2    4.65002      0.157    0.00000
1998   70  12583017       5.94      -5.33       1.80      -1.56      551.7        6.3    3.74844      2.660    0.85920
1998   70  16229854       5.78      -1.67      -0.03      -2.22      541.0        6.3    3.60354      3.600    1.20160
1998   70  19834843       6.37       5.27      -2.72       0.53      513.5        5.0    2.54856      0.679    0.00000
1998   70  23365546       6.13       4.84       0.22      -1.59      498.3        7.8    3.75224      3.692    0.79435
1998   70  26972718       5.42      -1.08       3.15      -3.71      536.4        5.7    3.20709      2.435    1.99127
1998   70  30574017       5.43       0.62      -3.13      -0.20      527.7        3.4    1.84548      0.880    0.10808
1998   70  34164652       5.38       1.34      -2.77      -2.21      524.7        5.0    2.64762      1.992    1.16039
1998   70  37792171       5.97       3.82      -3.61       1.95      514.2        4.6    2.33445      0.252    0.00000
1998   70  41398660       5.23       3.61      -2.97      -0.90      530.8        5.0    2.72631      1.202    0.47781
1998   70  44976605       4.33       1.08      -1.07      -1.62      542.8        4.6    2.64244      1.706    0.88020
