                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
1999  264  80966789      11.17      -7.98       2.56      -6.70      360.6       13.6    3.43815      8.389    2.41414
1999  264  84602703      11.10      -4.76       7.01      -7.07      354.7       17.5    4.27689      6.374    2.50929
1999  265   5399144      12.41      -8.68       8.73      -1.04      356.4       11.1    2.73974      3.422    0.37132
1999  265   9034367      12.02      -5.02      10.23       0.78      353.7       14.3    3.46345      2.176    0.00000
1999  265  12580277      12.15      -3.92      11.18       2.02      363.9       12.1    3.10490      1.811    0.00000
1999  265  16221700      12.70      -4.42      10.92       4.06      359.7       12.2    3.05502      1.227    0.00000
1999  265  19765789      11.16      -5.30       7.15       6.22      356.1       13.7    3.36350      0.262    0.00000
1999  265  26960691      11.51      -4.05      10.59      -1.54      354.6       12.3    3.01165      3.061    0.54598
1999  265  30594369      11.05      -2.72      10.19       0.85      355.6       12.5    3.07288      1.820    0.00000
1999  265  34243464      11.23      -2.78      10.57      -0.32      360.7       14.0    3.53606      2.405    0.11511
1999  265  37795421      10.84      -3.85       9.88      -0.89      355.8       14.9    3.66545      2.475    0.31687
1999  265  41426000      11.77      -3.95       3.56      -2.14      350.2       17.7    4.21331      5.557    0.75120
1999  265  44975054      13.09       4.22      -2.18       4.04      466.3       51.4   21.67402      0.058    0.00000
1999  265  48619523      24.64       5.19     -18.94      10.30      491.9       46.9   22.02934      4.055    0.00000
1999  265  52163789      17.59      11.86      -8.58       6.12      450.0       25.5   10.03296      1.220    0.00000
1999  265  55803457      19.83       9.24     -12.71       8.90      456.8       34.2   13.83309      1.628    0.00000
1999  265  59443308      20.32       7.66     -13.67       9.79      477.1       33.9   14.95556      1.713    0.00000
1999  265  62990792      24.83      11.48     -20.60       5.71      478.9       30.0   13.36548      7.901    0.00000
1999  265  66635234      29.58      13.90     -17.61      14.98      498.7       18.7    9.01446      2.695    0.00000
1999  265  70177203      25.59       7.68      -8.12      12.95      566.5       45.3   28.20998      0.432    0.00000
1999  265  73822421      24.27       6.85     -15.20     -17.32      596.2       23.5   16.18232     53.698   10.32476
1999  265  77365101      21.73      -1.04     -12.36     -15.13      610.9       43.3   31.31821     45.250    9.24253
1999  265  81011257      17.89       5.22      -6.65     -14.05      600.3       18.7   13.03984     34.716    8.43567
1999  266   1795223      16.41      15.75      -3.84       0.89      586.4        8.4    5.58790      4.715    0.00000
1999  266   5441233      16.72      15.50      -4.22       3.88      576.4        8.7    5.60405      0.840    0.00000
1999  266   9002628      15.63      12.39      -7.15       3.22      550.9       25.8   15.19823      2.326    0.00000
1999  266  12631680      16.62       6.32     -11.15      -8.14      576.0        6.9    4.42091     20.023    4.68866
1999  266  16174398      16.34      10.70     -11.46       0.82      557.2        6.1    3.66920      6.394    0.00000
1999  266  19834109      15.05      10.84      -6.75       6.17      541.2        2.6    1.45164      0.647    0.00000
1999  266  23364669      14.67       9.32      -5.00       9.74      520.2        2.8    1.48873      0.068    0.00000
1999  266  27002970      13.11       9.34      -5.46       6.52      518.6        4.5    2.33812      0.242    0.00000
1999  266  34194710       9.05       6.86      -3.47       4.62      548.1        2.3    1.31720      0.090    0.00000
1999  266  37829917       7.57       5.55      -2.76       4.24      549.6        2.2    1.30243      0.041    0.00000
1999  266  41378820       7.45       5.84      -0.92       4.24      534.6        2.3    1.30266      0.001    0.00000
1999  266  45021554       7.54       5.32      -1.47       4.56      536.1        2.1    1.16430      0.004    0.00000
1999  266  48569035       7.48       4.71      -1.39       4.47      566.2        1.8    1.11833      0.003    0.00000
1999  266  52205656       7.17       5.16      -0.56       4.28      522.9        2.1    1.08985      0.000    0.00000
1999  266  59396753       6.83       5.19      -2.22       2.95      518.3        1.7    0.86844      0.049    0.00000
1999  266  63032656       6.87       3.45      -5.30       1.32      531.2        1.9    1.04052      0.718    0.00000
1999  266  66581546       6.80       4.27      -4.14       1.97      505.4        1.9    0.92554      0.379    0.00000
1999  266  70231492       6.99       1.12      -3.32       5.45      561.5        2.4    1.44870      0.029    0.00000
1999  266  73770273       6.93       0.81      -4.17       5.18      529.0        2.8    1.50766      0.062    0.00000
1999  266  77414742       6.93       3.03      -4.25       1.74      507.2        2.1    1.04633      0.469    0.00000
1999  266  80957492       6.96       3.08      -4.04       3.68      491.6        2.3    1.09206      0.127    0.00000
1999  266  84598843       6.67       4.30      -2.62       3.17      514.1        2.3    1.16701      0.060    0.00000
1999  267   1840407       6.75       5.57      -1.11       3.23      466.6        2.3    0.96503      0.003    0.00000
1999  267   5389080       6.76       4.08      -3.08       3.67      499.2        5.1    2.48972      0.062    0.00000
1999  267   9032216       6.25       4.91      -1.92       1.84      467.2        2.6    1.10451      0.087    0.00000
1999  267  12584007       5.89       3.70      -1.98       2.47      528.8        2.9    1.58850      0.044    0.00000
1999  267  16208502       5.88       3.76      -0.18       0.82      481.2        4.8    2.13632      0.000    0.00000
1999  267  19778898       6.26       0.54      -3.46       0.31      501.3        4.0    1.95658      0.814    0.00000
1999  267  23400240       6.51      -2.12      -4.56       3.64      520.4        3.5    1.86453      0.156    0.00000
1999  267  30606816       6.40      -1.03      -5.41       1.75      506.4        3.2    1.60390      0.494    0.00000
1999  267  34233425       6.16       1.50      -4.52       2.97      477.6        3.2    1.41011      0.184    0.00000
1999  267  37783851       6.24       2.49      -3.61       3.99      483.8        3.3    1.49696      0.063    0.00000
1999  267  41431468       5.95       3.67      -1.15       3.41      463.7        3.9    1.61159      0.002    0.00000
1999  267  44972749       5.97       3.27      -2.83       2.31      497.9        2.9    1.39618      0.120    0.00000
1999  267  48606281       6.03       2.48      -4.14       2.74      455.2        4.5    1.81900      0.166    0.00000
1999  267  55795140       5.92      -1.35      -5.37       0.24      495.6        4.4    2.11577      0.792    0.00000
1999  267  59440316       6.08      -0.17      -5.86       0.61      470.3        4.7    2.00120      0.697    0.00000
1999  267  62985203       5.87       1.44      -5.15       1.31      476.3        5.4    2.39364      0.465    0.00000
1999  267  66625195       4.87       2.73      -0.36       3.60      451.0        5.5    2.16975      0.000    0.00000
1999  267  70166359       4.79       0.76      -2.13       3.39      469.5        4.6    1.98602      0.012    0.00000
1999  267  73809281       4.78       1.69      -3.43       2.20      458.2        4.7    1.92490      0.110    0.00000
1999  267  77358031       4.84       1.66      -3.53       1.15      443.8        5.4    2.04507      0.247    0.00000
1999  267  81002632       4.87       2.72      -2.85       1.32      435.7        5.6    2.05186      0.172    0.00000
1999  267  84639398       4.89       2.60      -3.81      -0.12      438.9        3.6    1.36174      0.556    0.05082
1999  268   1786738       4.97       3.30      -2.88       1.89      418.1        5.1    1.73917      0.105    0.00000
