                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
2000  285  84575499       6.85      -4.76       4.24      -2.47      353.8        3.3    0.80204      1.869    0.87408
2000  286   1805917       6.75      -4.87       4.32      -1.67      355.2        3.3    0.80138      1.494    0.59233
2000  286   5440760       6.05      -4.18       4.31       0.05      356.9        4.6    1.13307      0.636    0.00000
2000  286   8968238       5.98      -4.84       3.19      -1.09      357.2        4.5    1.10865      1.116    0.39089
2000  286  12605458       6.21      -4.91       3.67      -0.84      359.9        3.3    0.83411      1.035    0.30357
2000  286  16241983       5.84      -4.59       3.49      -0.71      350.8        3.3    0.78146      0.857    0.24813
2000  286  19767105       5.94      -4.58       3.30      -1.56      352.2        3.4    0.81021      1.259    0.54875
2000  286  23403949       5.68      -4.07       3.41      -1.77      340.3        4.2    0.94860      1.169    0.60231
2000  286  27033865       5.44      -3.78       3.69      -0.80      347.9        3.9    0.90791      0.755    0.27963
2000  286  30560550       5.82      -4.64       2.50      -2.22      346.5        3.5    0.80900      1.617    0.76827
2000  286  34197785       5.89      -4.39       3.26      -2.00      350.0        3.3    0.78229      1.404    0.69926
2000  286  37833484       5.51      -2.81       1.54      -2.92      344.9        3.9    0.89862      1.851    1.00748
2000  286  41358597       5.37      -2.87       2.17      -2.92      327.2        5.4    1.11444      1.532    0.95695
2000  286  44997253       5.45      -2.89       2.95      -1.29      327.2        5.4    1.13194      0.950    0.42087
2000  286  48637664       5.51      -4.17       2.27      -1.69      316.2        5.3    1.03246      1.220    0.53402
2000  286  52164347       5.59      -2.72       3.64      -0.45      340.0        4.9    1.09089      0.667    0.15242
2000  286  55796117       5.52      -2.00       3.74      -2.21      327.0        6.0    1.25027      1.134    0.72417
2000  286  59437316       5.49      -4.34       2.05      -0.39      305.6        4.7    0.85936      0.647    0.11898
2000  286  62960929       5.61      -3.66       3.31      -0.32      322.1        5.8    1.16743      0.607    0.10314
2000  286  66605015       5.33      -2.60       1.96      -2.43      325.6        9.3    1.90490      1.459    0.79277
2000  286  70236078       5.73      -2.98       3.46      -1.14      330.8        6.1    1.30000      0.933    0.37646
2000  286  73757445       6.25      -1.90       5.52       1.25      337.6        5.7    1.26355      0.400    0.00000
2000  286  77390789       6.14      -1.21       5.08       2.27      334.3        5.3    1.15352      0.220    0.00000
2000  286  81029554      10.84      -1.64       8.98       4.88      338.5        5.1    1.12929      0.541    0.00000
2000  287   1791185      19.54      -4.91      13.05     -10.92      461.9       10.7    4.42855     23.691    5.04226
2000  287   5426882      18.53      -3.59      12.56      -9.65      464.1       15.1    6.29304     20.572    4.47788
2000  287   8971140      16.23      -1.34      12.93       0.54      474.7       22.0    9.63599      5.719    0.00000
2000  287  12595407      17.08      -3.41       1.16     -14.55      450.7       23.1    9.12146     26.121    6.55829
2000  287  16240386      13.59      -3.78      -3.38     -10.41      463.1       20.7    8.61746     16.222    4.82254
2000  287  19780857       9.59      -2.62       6.61      -2.03      475.1       26.4   11.57362      3.641    0.96248
2000  287  23391882      15.11       1.30       6.99      12.18      486.6       16.0    7.34817      0.098    0.00000
2000  287  27024474      16.69       0.32       8.48      13.72      468.0       25.8   10.96711      0.145    0.00000
