                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
1998   47  84595960       5.55       5.09      -1.80       0.26      372.6        4.6    1.22897      0.419    0.00000
1998   48   1819893       5.44       4.99      -1.98      -0.36      368.3        4.7    1.23704      0.751    0.13120
1998   48   8986175       5.27       4.74      -1.88       0.97      370.5        4.8    1.28121      0.150    0.00000
1998   48  12619797       5.12       4.65      -0.99       0.79      362.6        5.8    1.47197      0.067    0.00000
1998   48  16154496       5.80       3.15      -2.70       3.44      369.6        4.5    1.19450      0.028    0.00000
1998   48  19788257       6.11       2.09      -2.74       4.70      384.9        6.3    1.81821      0.013    0.00000
1998   48  23419085       5.98       0.08      -4.94       1.83      404.1        7.7    2.42936      0.307    0.00000
1998   48  30572535       6.69       1.55      -6.21       1.12      400.7       11.5    3.57025      0.604    0.00000
1998   48  34201652       6.47       0.26       0.27       5.00      405.8       14.3    4.56430      0.000    0.00000
1998   48  37830906       8.81      -1.86       6.84       3.93      405.8        7.6    2.42248      0.395    0.00000
1998   48  41361101      10.78      -2.87      10.32      -0.63      412.6        8.3    2.73699      2.693    0.26111
1998   48  44990359      12.22      -4.19       9.92      -4.90      406.4        8.1    2.58891      6.292    1.98976
1998   48  48616609      12.35      -4.71       8.69      -7.32      408.9        9.4    3.04657      8.401    2.99418
1998   48  52241359      12.14      -7.37       5.72      -6.71      402.9        9.6    3.02309      9.175    2.70160
1998   48  55774554      12.27      -6.42       3.19      -9.25      401.9       13.4    4.19780     11.406    3.71629
1998   48  59397875      12.76      -3.73       7.84      -9.15      394.9       12.0    3.64490      9.914    3.61493
1998   48  63027238      13.22      -3.34       9.72      -8.12      392.3       10.7    3.19479      9.197    3.18716
1998   48  66557460      13.53      -2.86       8.42     -10.17      399.5        9.8    3.04082     11.418    4.06340
1998   48  70186578      13.56      -2.28       8.41     -10.32      395.4        9.5    2.89236     11.409    4.08069
1998   48  73814328      12.23      -0.83       6.66      -9.87      401.3       21.5    6.71290     10.012    3.95892
1998   48  77439210      10.51       0.84       3.05      -9.81      398.1       18.0    5.52712      8.376    3.90426
1998   48  80972226      14.10       2.98       1.44     -13.53      417.5       21.1    7.12836     16.462    5.65085
1998   48  84599250      16.44       4.96      -0.24     -15.31      400.8       19.7    6.13676     21.580    6.13786
1998   49   1830825      17.07       5.19      -6.06     -14.40      406.4       18.9    6.04661     21.784    5.85419
1998   49   5442111      16.52       5.52      -7.12     -12.94      403.0       21.0    6.62012     19.287    5.21700
1998   49   8982039      16.01       6.00     -10.65      -9.56      399.4       14.8    4.59311     14.198    3.81611
1998   49  12594788      15.77       8.76     -10.49      -5.28      129.0       20.6    0.66418      3.360    0.68143
1998   49  16158798      16.10       9.97     -12.09      -3.35      372.8       11.5    3.09071      7.732    1.24974
1998   49  19774376      15.41       9.34     -11.67      -2.71      367.6       13.3    3.48303      6.543    0.99583
1998   49  23405140      15.46       7.42     -13.06      -3.27      383.0       13.1    3.71940      7.050    1.25159
