                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
2000  301  84609187       3.79       0.18       3.15      -1.54      337.3        3.9    0.85660      0.500    0.51838
2000  302   1837854       3.95      -0.26       3.57       0.00      328.0        4.1    0.85429      0.255    0.00000
2000  302   5372298       3.97      -1.60       3.01      -1.36      323.2        3.6    0.72111      0.506    0.43820
2000  302   8995757       3.81      -1.95       3.10      -0.32      313.4        4.1    0.77199      0.276    0.10011
2000  302  12629041       3.86      -2.20       2.95       0.06      317.7        4.6    0.90379      0.226    0.00000
2000  302  16159451       3.82      -2.30       2.55       0.32      308.9        4.4    0.82165      0.171    0.00000
2000  302  19794445       4.06      -2.95       2.50      -0.71      309.9        4.9    0.91639      0.413    0.22083
2000  302  30594730       7.35      -5.03       4.19       0.19      349.5        9.7    2.30474      0.859    0.00000
2000  302  37761707      12.73      -4.27       7.92      -8.52      413.2       24.0    7.94707     10.015    3.51899
2000  302  41395734       6.59      -3.42       4.58      -2.34      404.8       46.3   14.72942      1.852    0.94548
2000  302  45031511       7.56       2.98       2.97       2.70      403.1       43.2   13.62516      0.123    0.00000
2000  302  48570488       7.55      -2.26       6.35      -1.60      381.5       50.0   14.11195      1.677    0.60866
2000  302  52196945       9.07      -3.65       7.18      -2.15      377.6       37.0   10.24730      2.566    0.81366
2000  302  55836402      10.21       6.10      -1.17       4.67      381.1       39.5   11.11543      0.002    0.00000
2000  302  59370023      11.18       8.77      -3.97       4.84      357.3       33.3    8.25320      0.115    0.00000
2000  302  62999554       9.66       7.35      -1.62       5.38      352.3       33.8    8.13924      0.003    0.00000
2000  302  66632140       8.62       6.30      -3.95       1.40      336.7       30.7    6.74198      0.554    0.00000
2000  302  70166312       8.92       4.35      -6.04      -0.73      356.6       39.6    9.75967      1.774    0.26203
2000  302  73805179       9.60       1.91      -3.01       2.77      386.7       49.2   14.26420      0.187    0.00000
2000  302  77434593      13.11      -3.79       1.04      -9.38      398.4       20.0    6.14460     13.573    3.73751
2000  302  80978351      15.23      -3.24       0.57      -2.07      403.1       32.8   10.32702     17.958    0.83310
2000  302  84615562      17.56      -5.66       1.27     -16.25      403.6       21.1    6.65881     24.747    6.55886
2000  303   5374717      17.78      -7.43       1.08     -15.98      412.4        7.7    2.53173     25.932    6.58815
2000  303   9009530      17.53      -6.22       5.13     -15.53      408.1        5.7    1.85111     23.744    6.33920
2000  303  12640664      17.34      -5.17       6.22     -15.30      405.3        3.5    1.12627     22.526    6.20111
2000  303  16171863      16.97      -4.61       6.84     -14.82      408.4        2.6    0.83247     21.331    6.05110
2000  303  19807605      16.62      -4.53       7.66     -14.02      403.3        2.3    0.73144     19.574    5.65493
2000  303  23442421      16.20      -4.32       8.78     -12.87      397.5        1.7    0.51669     17.331    5.11665
2000  303  26974542      15.65      -3.51       9.74     -11.70      390.9        1.9    0.54975     14.924    4.57351
2000  303  30607968      15.02      -4.06       9.89     -10.51      392.5        2.4    0.72767     13.172    4.12429
2000  303  34238925      14.66      -3.91       9.02     -10.85      386.8        1.7    0.49390     12.968    4.19819
2000  303  37774769      14.04      -3.70       8.89     -10.16      387.8        2.9    0.85453     11.704    3.94072
2000  303  41401222      13.64      -3.25       9.39      -9.31      376.0        1.9    0.51296     10.124    3.50169
2000  303  45036890      13.43      -2.65       9.97      -8.54      381.3        1.4    0.39927      9.340    3.25744
2000  303  48563523      12.96      -2.22       9.52      -8.48      382.3        2.4    0.67433      8.868    3.24256
2000  303  52196230      12.46      -0.82       9.16      -8.37      373.6        2.7    0.73807      8.103    3.12644
2000  303  55841082      11.68      -0.70       8.96      -7.34      388.2        5.7    1.66683      7.045    2.84905
2000  303  59373714      11.63       0.40       9.08      -7.21      385.1        6.0    1.72431      6.824    2.77782
2000  303  63009378      11.65       0.83       9.75      -6.29      387.7        4.9    1.41505      6.233    2.43843
2000  303  66645187      11.01       0.77       9.77      -4.99      383.2        7.4    2.10637      4.901    1.91181
2000  303  70187101      10.97      -0.26      10.27      -3.42      385.5        4.7    1.34678      4.006    1.32004
2000  303  73812023      10.79      -1.18      10.58      -1.71      356.9        4.3    1.05380      2.785    0.61000
2000  303  77444624      10.63      -0.75      10.48      -1.54      355.8        5.1    1.25266      2.629    0.54874
2000  303  80980507      10.45      -0.60      10.39      -0.82      344.7        5.4    1.23800      2.183    0.28218
2000  303  84616179       8.65      -0.49       7.82      -1.90      349.3        8.9    2.11754      1.989    0.66295
