                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
2000  260  84595523      14.02      -1.81       1.77       2.98      387.4       27.1    7.88948      0.074    0.00000
2000  261   1820731      13.32      -2.67      10.10      -4.98      406.8        9.4    3.03275      7.485    2.02726
2000  261   5359849       4.21       1.99      -2.54      -0.19      426.1       30.6   10.77836      0.435    0.08287
2000  261   8992591       7.39       4.27      -4.90      -0.29      424.7       19.6    6.84834      1.297    0.12402
2000  261  12622122      12.26       5.81      -9.19      -2.92      427.9        5.2    1.86063      5.433    1.24784
2000  261  16243434      10.98       6.00      -8.00       4.13      452.8        6.7    2.66120      0.797    0.00000
2000  261  19772591      10.87       5.14      -8.79       2.35      457.7        5.6    2.25888      1.483    0.00000
2000  261  23406720       9.44       4.96      -6.67       1.38      481.7        5.4    2.45043      1.362    0.00000
2000  261  27045716       8.61       4.74      -5.53       1.44      490.5        5.6    2.63305      1.014    0.00000
2000  261  30586195       6.74       3.11      -1.04       4.26      509.4        5.1    2.55399      0.001    0.00000
2000  261  34208984       7.27       1.90      -3.50       3.49      504.0        4.5    2.24055      0.115    0.00000
2000  261  37839261       8.11       1.53      -5.38       4.89      521.5        4.3    2.28133      0.184    0.00000
2000  261  41367695       6.44       2.23      -3.78      -2.54      535.3        5.1    2.84851      2.685    1.35792
2000  261  45021929       6.59      -0.44      -3.62      -4.12      558.4        3.6    2.19672      3.704    2.30174
2000  261  48635523       6.61       0.59      -5.32      -1.47      536.0        5.1    2.86450      1.867    0.78584
2000  261  52170679       7.31      -0.63      -0.96       1.49      569.8        5.5    3.46142      0.038    0.00000
2000  261  55815738       6.77      -0.78      -0.77       2.83      557.2        9.6    5.76563      0.002    0.00000
2000  261  59417660      18.56       3.19     -11.83       5.09      638.2       10.2    8.03098      4.006    0.00000
2000  261  63044468      29.98       8.19      -5.80      26.07      714.9       14.0   13.91668      0.018    0.00000
2000  261  66612757      28.94       0.02      -3.92      27.02      690.1       12.0   11.07778      0.003    0.00000
2000  261  70187007      24.70      -7.88      -9.42       5.60      711.2       20.7   20.35392      5.166    0.00000
2000  261  73816671      18.46       1.31      -1.49     -13.12      710.0       26.4   25.79463     47.947    9.31745
2000  261  77363390      30.11     -14.07       1.32     -21.25      717.2       13.8   13.74660    129.388   15.23908
2000  261  81008351      24.14      -2.38      -1.81       4.41      804.1       12.0   15.05840      0.130    0.00000
2000  261  84636515      36.05      23.72       6.67      -1.08      836.9       11.1   15.14737     72.902    0.90322
2000  262   1774019      37.83      30.31      15.62      13.06      857.2       11.6   16.50873      7.858    0.00000
2000  262   5401537      33.03      18.69      -4.44      23.52      803.8       31.5   39.48534      0.013    0.00000
2000  262   9022849      28.16      13.12      -7.00      23.23      790.9       16.8   20.33764      0.057    0.00000
2000  262  16183057      25.81       7.41      -8.95      22.54      796.9       16.7   20.57615      0.132    0.00000
2000  262  19807439      20.70       8.92      -9.43      15.61      803.2        4.2    5.21827      0.356    0.00000
2000  262  23434068      19.84       5.86      -9.58      15.53      799.9        4.5    5.57655      0.348    0.00000
2000  262  26969148      20.11       5.26      -9.14      16.97      766.4        2.8    3.22190      0.221    0.00000
2000  262  30597349      19.76       5.11      -9.48      16.29      788.6        6.3    7.64600      0.282    0.00000
2000  262  34213976      20.45       4.67     -10.36      16.49      760.4        7.1    7.95762      0.372    0.00000
2000  262  37771476      19.11       7.66     -10.20      12.85      778.3        3.7    4.33501      0.666    0.00000
2000  262  41366539      18.59       6.51      -4.17      15.72      760.4        5.9    6.56913      0.015    0.00000
2000  262  45000097      18.63      10.08      -7.33      11.73      763.5        4.8    5.42321      0.304    0.00000
2000  262  48573625      17.96       9.58     -13.25       6.76      702.1        3.1    2.95930      3.357    0.00000
2000  262  52167257      16.93      11.36     -10.02       7.08      732.1        2.5    2.63636      1.867    0.00000
2000  262  55782925      12.87       6.86      -6.33       1.37      770.4       15.6   17.93333      3.960    0.00000
2000  262  59401914      11.49       8.21      -3.76       4.68      721.5        2.4    2.40158      0.231    0.00000
2000  262  63028355      11.62       8.43      -5.24       4.71      729.2        2.5    2.56172      0.542    0.00000
2000  262  66584382       9.82       7.88      -4.68      -0.31      750.3        3.1    3.33711      4.099    0.23197
2000  262  70207859       9.79       8.91      -0.74      -3.81      714.0        2.3    2.22937     13.394    2.72071
2000  262  73772351       8.81       8.41      -1.13      -1.23      694.7        2.7    2.56543      8.098    0.85239
2000  262  77401945       7.98       7.83      -1.11      -0.98      692.0        4.3    4.00847      6.072    0.67689
2000  262  84572179       7.90       5.25      -5.07       0.92      663.1        0.7    0.60502      1.396    0.00000
