                               Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V         Vth         Np        Beta        Va         Ma        Mms    
                           nT         nT         nT         nT        km/s       km/s       cm^3                  km/s                         
2009  200   5727943       3.27      -0.48       2.59       1.94      297.0       17.2        5.4      0.314       30.8       9.65       7.95
2009  200   5824492       3.31      -0.61       2.74       1.74      296.5       16.9        5.2      0.284       31.7       9.36       7.84
2009  200   5911577       3.32      -0.68       2.84       1.58      295.5       18.6        5.4      0.354       31.2       9.47       7.65
2009  200   6023428       3.30      -0.70       2.80       1.59      295.4       17.3        5.2      0.303       31.4       9.40       7.79
2009  200   6118306       3.26      -0.70       2.81       1.49      297.2       17.0        5.3      0.304       30.8       9.65       8.00
2009  200   6216244       3.32      -0.62       2.75       1.75      296.7       17.0        5.2      0.288       31.7       9.35       7.82
2009  200   6314182       3.18      -0.63       2.66       1.61      296.5       17.0        5.3      0.320       30.0       9.89       8.13
2009  200   6412120       3.18      -0.91       2.32       1.97      296.5       17.4        5.4      0.340       29.8       9.96       8.10
2009  200   6510058       3.18      -0.99       2.32       1.93      295.1       17.2        5.6      0.344       29.3      10.08       8.19
2009  200   6607996       3.21      -0.77       2.55       1.76      295.3       16.9        5.5      0.321       29.9       9.87       8.11
2009  200   6705934       3.19      -0.81       1.93       2.37      295.6       16.7        5.4      0.314       29.9       9.89       8.15
2009  200   6803872       3.30      -0.85       1.76       2.66      295.7       17.1        5.3      0.296       31.3       9.44       7.86
2009  200   6890957       3.36      -0.86       1.79       2.70      296.1       18.3        5.5      0.342       31.3       9.45       7.68
2009  200   7002809       3.37      -0.87       1.78       2.73      296.4       16.8        5.3      0.273       32.1       9.23       7.77
2009  200   7097686       3.32      -0.83       2.06       2.47      296.4       16.7        5.2      0.280       31.6       9.38       7.87
2009  200   7195624       3.34      -0.84       2.20       2.36      295.5       17.0        5.1      0.277       32.2       9.17       7.71
2009  200   7293562       3.30      -0.76       2.40       2.13      295.8       17.0        5.4      0.298       31.1       9.52       7.91
2009  200   7391500       3.25      -0.89       2.25       2.17      295.1       17.2        5.5      0.320       30.3       9.73       8.00
2009  200   7489438       3.28      -0.91       2.35       2.10      296.2       16.9        5.4      0.303       30.7       9.64       7.99
2009  200   7587376       3.28      -0.93       2.49       1.92      295.9       16.9        5.4      0.300       30.9       9.59       7.96
2009  200   7682254       3.24      -0.86       2.49       1.88      295.1       17.0        5.6      0.323       30.0       9.85       8.08
2009  200   7780192       3.23      -0.95       2.44       1.90      295.1       16.9        5.5      0.315       30.0       9.83       8.10
2009  200   7867277       3.26      -1.00       2.33       2.03      294.7       18.4        5.6      0.379       29.9       9.85       7.87
2009  200   7978988       3.25      -1.22       2.42       1.78      294.0       16.6        5.4      0.297       30.5       9.65       8.02
2009  200   8073865       3.19      -0.80       2.31       2.04      293.9       16.8        5.7      0.328       29.2      10.05       8.23
2009  200   8171944       3.23      -0.83       2.39       2.01      295.2       16.5        5.5      0.302       30.1       9.81       8.14
2009  200   8269882       3.27      -0.94       2.40       2.01      294.8       16.6        5.5      0.299       30.4       9.70       8.06
2009  200   8367680       3.29      -0.99       2.42       1.99      294.2       16.7        5.5      0.301       30.5       9.64       8.00
2009  200   8465759       3.29      -0.97       2.41       2.01      294.4       16.8        5.5      0.299       30.6       9.61       7.99
2009  200   8563697       3.29      -1.03       2.48       1.89      294.6       16.6        5.6      0.297       30.4       9.68       8.05
2009  200   8661495       3.25      -0.77       2.39       2.06      293.7       17.1        5.6      0.323       30.1       9.75       8.00
2009  200   8759432       3.25      -0.76       2.35       2.10      294.0       17.1        5.5      0.323       30.1       9.77       8.02
2009  200   8846659       3.22      -0.80       2.36       2.03      293.7       18.3        5.7      0.390       29.3      10.03       7.97
2009  200   8958369       3.22      -0.55       2.48       1.97      293.1       17.1        5.6      0.331       29.7       9.85       8.06
2009  200   9053388       3.25      -0.75       2.41       2.04      294.1       16.7        5.5      0.308       30.2       9.75       8.06
2009  200   9151326       3.29      -1.20       2.11       2.20      293.9       16.7        5.4      0.292       30.9       9.50       7.92
2009  200   9249264       3.23      -1.00       2.48       1.80      293.5       17.0        5.5      0.321       30.0       9.78       8.03
2009  200   9347061       3.17      -0.99       2.38       1.82      293.5       17.4        5.6      0.358       29.1      10.07       8.12
2009  200   9445000       3.13      -0.38       2.91       1.07      293.5       17.0        5.7      0.354       28.6      10.27       8.30
2009  200   9542937       3.18      -0.46       2.73       1.42      292.9       17.0        5.7      0.342       29.0      10.09       8.21
2009  200   9640876       3.25      -0.84       2.43       1.98      293.1       17.0        5.8      0.336       29.4       9.97       8.13
2009  200   9738814       3.18      -0.82       2.70       1.46      293.4       17.1        5.8      0.350       28.9      10.16       8.22
2009  200   9826041       3.19      -0.69       2.34       2.04      292.0       18.8        5.7      0.420       29.0      10.06       7.88
2009  200   9937750       3.00      -0.41       2.96       0.22      291.7       17.4        5.9      0.416       26.9      10.82       8.49
2009  200  10032628       2.97      -0.58       2.68       0.53      292.4       17.5        6.0      0.437       26.5      11.04       8.58
2009  200  10130566       3.08      -1.47       1.76       2.06      294.2       16.9        6.0      0.380       27.5      10.70       8.54
2009  200  10228505       3.10      -1.39       1.82       2.09      294.8       16.5        6.0      0.357       27.7      10.66       8.60
2009  200  10326443       3.12      -1.33       1.88       2.11      295.3       16.6        6.1      0.363       27.6      10.69       8.60
2009  200  10424522       3.18      -1.27       1.91       2.19      295.0       16.4        5.9      0.331       28.5      10.37       8.47
