                           Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V          Vx         Vy         Vz    
                           nT         nT         nT         nT        deg        deg        km/s       km/s       km/s       km/s   
2011  252  25681824       1.37       0.13      -1.06      -0.76     -35.67     277.25      323.5     -323.4       -7.1       -0.2
2011  252  25781617       1.57      -0.27      -1.33      -0.70     -27.12     258.52      321.6     -321.5       -5.7       -0.0
2011  252  25881128       1.60       0.20      -1.25      -0.91     -35.76     279.30      325.1     -325.0       -5.6       -1.2
2011  252  25979248       1.62      -0.07      -1.28      -0.95     -36.36     266.74      324.2     -324.1       -6.9        0.1
2011  252  26078900       1.53       0.36      -1.19      -0.85     -34.32     287.02      325.7     -325.6       -7.6        0.1
2011  252  26174093       1.59      -0.22      -1.31      -0.81     -31.53     260.50      322.2     -322.1       -7.0        0.5
2011  252  26272212       1.71      -0.66      -1.39      -0.72     -24.92     244.52      320.7     -320.6       -5.9       -0.7
2011  252  26368798       1.81      -1.06      -1.30      -0.65     -21.07     230.90      318.0     -318.0       -6.3        0.4
2011  252  26466916       1.76      -1.10      -1.27      -0.49     -16.23     229.27      317.0     -316.9       -5.8        0.1
2011  252  26557228       1.59      -0.97      -1.18      -0.37     -13.43     230.77      316.5     -316.4       -6.7       -1.7
2011  252  26666220       1.37      -0.87      -0.95      -0.38     -16.54     227.43      317.8     -317.8       -5.8       -0.9
2011  252  26761132       1.67      -1.28      -0.88      -0.57     -20.31     214.57      315.8     -315.7       -7.3        0.2
2011  252  26859392       1.49      -0.99      -0.88      -0.62     -25.06     221.54      316.9     -316.8       -7.3        0.8
2011  252  26957511       1.33      -0.76      -0.86      -0.67     -30.39     228.34      318.6     -318.5       -7.2        0.5
2011  252  27054097       1.42      -1.12      -0.71      -0.45     -18.82     212.36      315.6     -315.4       -9.0       -1.0
2011  252  27152216       1.41      -1.33      -0.35      -0.22      -9.28     194.92      315.1     -314.9       -9.2       -1.6
2011  252  27251869       1.39      -1.10      -0.55      -0.35     -15.71     206.67      316.8     -316.7       -6.2       -2.2
2011  252  27348455       1.62      -1.17      -0.68      -0.65     -25.73     210.26      315.0     -314.8       -8.3        0.4
2011  252  27447966       1.72      -1.28      -1.00      -0.54     -18.28     217.91      316.4     -316.3       -6.7        0.7
2011  252  27538419       1.76      -1.38      -0.98      -0.45     -14.86     215.27      316.4     -316.3       -7.4       -0.8
2011  252  27647271       1.73      -1.28      -1.09      -0.38     -12.60     220.58      316.2     -316.1       -7.2       -0.4
2011  252  27740931       1.76      -1.36      -1.05      -0.22      -7.21     217.74      314.9     -314.9       -6.8       -0.5
2011  252  27840583       1.74      -1.18      -1.09      -0.41     -14.31     222.70      315.7     -315.6       -6.3       -1.6
2011  252  27938562       1.77      -1.32      -1.08      -0.41     -13.44     219.29      315.2     -315.1       -7.0       -0.6
2011  252  28036681       1.89      -1.32      -1.24      -0.54     -16.74     223.21      315.2     -315.2       -5.3        0.3
2011  252  28133408       1.96      -1.51      -1.06      -0.62     -18.66     215.07      314.0     -313.9       -5.4        1.1
2011  252  28231527       2.01      -1.51      -1.02      -0.85     -24.94     214.06      314.0     -313.9       -5.2        1.8
2011  252  28329646       1.97      -1.53      -0.91      -0.85     -25.70     210.76      315.0     -314.9       -5.6        2.0
2011  252  28429298       1.86      -1.24      -1.07      -0.86     -27.65     220.88      317.4     -317.3       -6.7        1.4
2011  252  28519609       1.83      -1.24      -1.20      -0.62     -19.68     224.08      316.9     -316.8       -6.9        0.2
2011  252  28628601       1.81      -1.21      -1.23      -0.50     -16.31     225.54      316.3     -316.2       -5.9       -0.4
2011  252  28723513       1.85      -1.07      -1.31      -0.76     -24.30     230.80      316.7     -316.6       -5.9        2.1
2011  252  28821632       1.92      -1.00      -1.39      -0.85     -26.42     234.30      316.1     -316.0       -4.6        1.7
2011  252  28918359       2.03      -1.50      -1.22      -0.58     -16.81     219.00      313.2     -313.2       -5.0        0.7
2011  252  29016478       1.97      -1.38      -1.25      -0.59     -17.64     222.26      314.8     -314.7       -6.3        3.6
2011  252  29114599       1.99      -1.20      -1.43      -0.62     -18.20     229.96      314.6     -314.6       -4.4        0.3
2011  252  29212716       2.00      -1.35      -1.26      -0.75     -22.04     223.11      314.0     -314.0       -4.4        1.0
2011  252  29310835       2.03      -1.22      -1.42      -0.76     -22.14     229.29      313.8     -313.7       -3.9        1.4
2011  252  29408955       1.95      -1.23      -1.36      -0.68     -20.28     227.89      313.4     -313.4       -5.1        1.2
2011  252  29500800       1.93      -1.23      -1.33      -0.66     -20.05     227.38      313.6     -313.6       -5.1        1.4
2011  252  29608259       1.92      -1.30      -1.22      -0.70     -21.35     223.33      313.2     -313.1       -5.4        2.3
2011  252  29703312       1.85      -1.24      -1.14      -0.74     -23.79     222.60      312.8     -312.7       -4.6        2.1
2011  252  29801431       1.89      -1.34      -1.11      -0.72     -22.57     219.60      312.0     -312.0       -4.8        2.8
2011  252  29899550       1.99      -1.37      -1.31      -0.59     -17.36     223.52      310.6     -310.6       -3.6        0.2
2011  252  29997669       1.87      -1.07      -1.34      -0.71     -22.54     231.44      311.4     -311.3       -6.1       -1.0
2011  252  30095789       1.76      -0.42      -1.31      -1.07     -37.76     252.29      310.6     -310.5       -5.6       -0.6
2011  252  30195300       1.77       0.16      -1.06      -1.35     -51.45     278.61      314.8     -314.7       -7.3       -0.4
2011  252  30292027       1.83      -0.44      -1.30      -1.10     -38.92     251.25      312.3     -312.2       -7.4       -1.4
2011  252  30390146       2.02      -1.77      -0.78      -0.14      -4.22     203.89      312.1     -312.0       -6.1       -4.1
2011  252  30480599       2.17      -2.06      -0.63       0.08       2.10     196.98      311.4     -311.2       -8.1       -2.6
2011  252  30589451       2.18      -2.15      -0.23       0.25       6.64     186.03      311.0     -310.9       -9.7       -2.9
2011  252  30684503       2.11      -2.01      -0.32       0.53      14.49     188.91      313.5     -313.3       -9.9       -3.8
2011  252  30782623       2.13      -2.08      -0.34       0.19       5.13     189.29      312.1     -312.0       -8.5       -1.3
2011  252  30880742       2.16      -2.05      -0.36       0.48      12.97     190.10      312.9     -312.7      -12.0       -2.4
2011  252  30978861       2.26      -1.90      -0.61       1.04      27.45     197.85      313.4     -313.1      -11.3       -5.9
2011  252  31076980       2.36      -1.68      -1.17       1.03      26.84     214.79      310.5     -310.3      -10.5       -4.9
2011  252  31175099       2.50      -2.20      -0.28       1.05      25.24     187.15      312.2     -311.7      -17.6       -2.1
2011  252  31273216       2.31      -2.02       0.02       1.10      28.69     179.34      311.0     -310.6      -13.0       -6.6
2011  252  31371335       2.21      -1.99      -0.02       0.91      24.52     180.54      311.8     -311.5      -11.4       -4.0
2011  252  31461789       2.18      -2.07      -0.35       0.58      15.57     189.59      313.3     -313.0      -13.5       -6.3
2011  252  31570640       2.08      -1.99      -0.31       0.48      13.40     188.87      313.0     -312.7      -13.2       -4.9
2011  252  31665693       1.86      -1.83      -0.24       0.17       5.41     187.42      313.1     -312.7      -14.9       -5.6
2011  252  31763812       1.92      -1.86      -0.38       0.14       4.19     191.58      313.9     -313.6      -13.3       -4.3
2011  252  31863464       2.02      -1.76      -0.62       0.30       9.03     199.29      314.6     -314.4       -9.3       -7.0
2011  252  31960050       2.07      -1.60      -0.25      -0.24      -8.48     188.87      314.3     -314.0      -13.6       -5.8
2011  252  32058169       1.90      -1.79      -0.33       0.02       0.71     190.31      312.7     -312.3      -13.1       -6.5
2011  252  32156289       1.30      -1.13      -0.53      -0.30     -13.41     205.22      313.2     -312.9      -13.0       -3.5
2011  252  32254408       1.15      -0.97      -0.56      -0.24     -12.04     209.82      313.8     -313.4      -13.9       -5.3
2011  252  32352527       1.55      -1.32      -0.79      -0.06      -2.36     210.96      313.9     -313.5      -15.2       -4.2
2011  252  32442980       1.82      -1.55      -0.93      -0.09      -2.98     210.91      312.9     -312.5      -13.0       -6.7
2011  252  32551832       1.87      -1.46      -1.10      -0.36     -11.10     217.10      312.4     -312.1      -12.0       -5.2
2011  252  32646884       1.81      -1.48      -1.00       0.04       1.42     213.93      312.1     -311.7      -14.8       -5.9
2011  252  32745003       1.87      -1.49      -1.13      -0.06      -1.97     217.16      312.0     -311.7      -12.7       -5.4
2011  252  32843121       1.61      -1.25      -0.99      -0.14      -5.08     218.19      311.7     -311.4      -12.4       -7.7
2011  252  32941242       1.53      -1.17      -0.98      -0.10      -3.82     220.03      311.6     -311.3      -12.5       -5.7
2011  252  33039359       1.68      -1.22      -1.16      -0.01      -0.31     223.47      313.2     -313.0      -11.4       -5.8
2011  252  33137480       1.41      -1.01      -0.76      -0.60     -25.32     216.87      312.2     -312.0      -10.5       -3.7
2011  252  33235597       1.12      -0.82      -0.41      -0.64     -35.07     206.68      311.2     -311.0      -10.9       -4.7
2011  252  33333718       1.42      -1.00      -0.70      -0.69     -29.23     215.10      313.0     -312.7      -13.6       -4.9
2011  252  33726195       1.47      -1.15      -0.53      -0.67     -27.82     204.87      315.0     -314.9       -8.4        0.4
2011  252  33824312       1.59      -1.23      -0.48      -0.84     -32.63     201.41      314.5     -314.3       -9.7       -2.3
2011  252  33922433       1.90      -1.35      -0.44      -1.25     -41.24     197.91      314.7     -314.6       -9.8       -2.6
2011  252  34020550       1.92      -1.38      -0.25      -1.31     -42.92     190.07      316.2     -316.1      -10.9       -1.1
2011  252  34118671       2.00      -1.49      -0.18      -1.32     -41.36     186.98      315.6     -315.4      -10.1       -0.5
2011  252  34216789       1.91      -1.50      -0.55      -1.04     -33.13     200.19      314.7     -314.5      -10.5        0.9
2011  252  34314910       1.93      -1.48      -0.67      -1.02     -32.13     204.41      314.7     -314.6       -9.8        0.9
2011  252  34405363       1.99      -1.39      -1.16      -0.82     -24.28     219.94      314.7     -314.5      -12.0        1.3
2011  252  34514214       1.95      -1.33      -1.16      -0.82     -24.86     220.95      315.8     -315.5      -11.7        1.3
2011  252  34609265       1.93      -1.31      -1.03      -0.93     -29.30     218.20      315.8     -315.6      -11.5        0.6
2011  252  34707382       2.02      -1.47      -0.84      -1.09     -32.81     209.62      316.5     -316.2      -11.8        1.5
2011  252  34805503       2.07      -1.59      -0.57      -1.14     -33.98     199.69      316.3     -316.0      -13.6        1.9
2011  252  34903625       2.03      -1.64      -0.65      -0.99     -29.38     201.77      316.7     -316.5      -11.2        1.6
2011  252  35004808       2.50      -2.05      -1.42      -0.13      -2.89     214.75      315.5     -315.3      -10.9        0.2
2011  252  35102925       2.47      -1.99      -1.43      -0.28      -6.60     215.70      315.7     -315.5       -9.7        1.4
2011  252  35201046       2.52      -1.97      -1.49      -0.49     -11.31     217.03      316.0     -315.8      -10.3        0.8
2011  252  35299164       2.01      -1.58      -1.13      -0.50     -14.38     215.67      317.9     -317.7      -13.0        0.2
2011  252  35391011       1.97      -1.44      -1.20      -0.58     -17.25     219.74      317.2     -316.9      -13.0        0.3
2011  252  35498468       2.02      -1.43      -1.30      -0.58     -16.84     222.19      317.7     -317.5      -13.0        1.2
2011  252  35593523       2.02      -1.43      -1.31      -0.57     -16.32     222.44      318.1     -317.8      -13.6        1.1
2011  252  35693171       2.02      -1.38      -1.35      -0.60     -17.24     224.34      318.3     -318.0      -13.5        0.1
2011  252  35791296       2.04      -1.35      -1.38      -0.64     -18.46     225.47      318.8     -318.5      -13.9        0.3
2011  252  35889414       2.11      -1.46      -1.37      -0.66     -18.18     223.32      319.8     -319.5      -14.6        0.1
2011  252  35987531       2.06      -1.43      -1.38      -0.47     -13.29     224.07      319.6     -319.2      -14.6        0.2
2011  252  36085652       1.92      -1.10      -1.52       0.23       6.93     234.05      318.5     -318.3      -11.7       -0.8
2011  252  36183769       2.06      -1.05      -1.75       0.09       2.61     238.92      320.0     -319.7      -12.6       -0.2
2011  252  36281890       2.06      -1.28      -1.61      -0.09      -2.50     231.37      319.9     -319.6      -13.7        0.2
2011  252  36373738       2.13      -1.47      -1.51      -0.25      -6.78     225.85      319.8     -319.4      -14.4       -2.6
2011  252  36484257       2.09      -1.38      -1.55      -0.02      -0.64     228.25      322.2     -321.8      -14.6       -3.0
2011  252  36579316       2.01      -1.33      -1.45      -0.28      -8.05     227.36      322.4     -322.1      -13.7       -3.2
2011  252  36678964       1.90      -1.35      -1.21      -0.47     -14.57     221.81      323.5     -323.2      -14.1       -1.9
2011  252  36777085       1.94      -1.44      -1.12      -0.61     -18.48     217.87      323.1     -322.7      -15.6       -1.0
2011  252  36873671       2.02      -1.57      -1.14      -0.56     -16.19     215.89      321.3     -320.9      -15.3       -2.0
2011  252  36973324       1.95      -1.34      -1.23      -0.65     -19.60     222.62      323.6     -323.2      -15.9       -2.4
2011  252  37071441       1.91      -1.05      -1.35      -0.83     -26.00     231.96      324.8     -324.5      -14.7        0.3
2011  252  37169562       1.92      -1.15      -1.31      -0.78     -24.01     228.68      325.0     -324.6      -15.7       -0.7
2011  252  37267679       1.93      -1.26      -1.26      -0.73     -22.29     224.91      325.1     -324.7      -15.3       -0.3
2011  252  37357996       1.93      -0.93      -1.24      -1.13     -36.02     233.05      325.8     -325.5      -13.9       -0.7
2011  252  37463777       1.95      -1.45      -1.20      -0.39     -11.79     219.54      327.6     -327.2      -16.1       -2.4
2011  252  37558828       1.96      -1.50      -1.04      -0.65     -19.61     214.78      330.2     -329.9      -15.5       -2.0
2011  252  37657089       1.94      -1.50      -0.94      -0.75     -23.01     212.04      332.0     -331.7      -14.0       -1.0
2011  252  37755207       2.02      -1.73      -0.81      -0.63     -18.37     205.05      331.8     -331.6      -13.6       -0.4
2011  252  37850261       1.98      -1.67      -0.84      -0.60     -17.80     206.59      332.0     -331.8      -12.8       -1.9
2011  252  37951449       2.04      -1.63      -1.02      -0.65     -18.70     211.99      332.9     -332.6      -13.8       -0.7
2011  252  38052492       1.87      -1.64      -0.64      -0.58     -18.13     201.24      331.0     -330.7      -15.0       -0.5
2011  252  38150749       1.64      -1.42      -0.51      -0.59     -21.22     199.64      331.7     -331.4      -14.7       -1.0
2011  252  38248871       1.56      -1.39      -0.35      -0.61     -23.04     194.35      332.1     -331.8      -13.9       -0.3
2011  252  38342390       1.60      -1.30      -0.22      -0.77     -30.28     189.75      329.9     -329.6      -14.4        0.2
2011  252  38448035       1.77      -1.70      -0.39      -0.19      -6.12     192.75      328.6     -328.1      -16.6       -1.5
2011  252  38543085       1.75      -1.58      -0.38      -0.59     -19.82     193.50      330.1     -329.8      -15.9       -0.9
2011  252  38641207       1.84      -1.61      -0.59      -0.54     -17.55     200.28      329.6     -329.2      -15.1        0.2
2011  252  38739324       2.16      -1.67      -1.34      -0.14      -3.64     218.76      328.8     -328.5      -13.9       -0.8
2011  252  38837445       2.31      -1.69      -1.57       0.10       2.41     222.94      328.9     -328.6      -14.1       -1.5
2011  252  38935562       1.96      -1.50      -1.16       0.39      11.51     217.81      330.2     -329.9      -14.7       -0.5
2011  252  39033683       1.82      -1.39      -0.97       0.60      19.30     214.94      329.7     -329.3      -14.1       -2.2
2011  252  39131800       1.87      -1.37      -1.09       0.65      20.33     218.54      329.4     -329.0      -14.2       -2.7
2011  252  39230062       1.89      -1.41      -1.05       0.60      18.69     216.69      330.5     -330.1      -15.3       -2.6
2011  252  39323406       1.75      -1.12      -1.31       0.11       3.79     229.50      331.6     -331.1      -17.1       -5.0
2011  252  39429191       2.02      -1.02      -1.60      -0.62     -18.06     237.43      331.3     -330.8      -16.9       -4.8
2011  252  39524417       2.02      -1.18      -1.53      -0.25      -7.31     232.33      331.3     -330.9      -16.8       -2.7
2011  252  39622539       1.76      -1.11      -1.35       0.05       1.78     230.49      331.6     -331.3      -13.7       -2.1
2011  252  39720656       1.80      -1.15      -1.35       0.28       9.00     229.45      332.3     -332.0      -13.7       -2.5
2011  252  39818777       1.86      -1.14      -1.34       0.57      18.11     229.59      332.2     -331.9      -14.9       -2.3
2011  252  39916894       2.04      -1.38      -1.37       0.54      15.50     224.80      333.4     -333.0      -15.3       -4.1
2011  252  40015015       1.98      -1.53      -1.17       0.30       8.99     217.38      333.0     -332.6      -15.7       -4.4
2011  252  40112957       1.99      -1.70      -0.93       0.39      11.42     208.69      333.4     -333.0      -16.6       -4.7
2011  252  40211253       2.07      -1.90      -0.76       0.24       6.81     201.81      333.5     -333.1      -16.0       -4.6
2011  252  40304773       2.28      -1.92      -1.13       0.13       3.29     210.44      333.6     -333.2      -14.7       -5.3
2011  252  40410558       2.44      -1.75      -1.55       0.61      14.70     221.57      335.1     -334.7      -14.2       -6.4
2011  252  40505609       2.43      -1.89      -1.42       0.49      11.60     216.86      333.0     -332.6      -15.5       -6.2
2011  252  40603730       2.37      -2.04      -1.07       0.47      11.46     207.68      335.0     -334.5      -15.8       -5.4
2011  252  40701847       2.71      -2.18      -1.49       0.59      12.50     214.33      335.5     -335.3      -12.6       -5.7
2011  252  40799968       2.52      -2.05      -1.24       0.74      17.27     211.09      336.9     -336.5      -14.7       -5.6
2011  252  40898085       2.36      -1.90      -1.27       0.55      13.50     213.82      335.2     -334.8      -14.3       -7.1
2011  252  40996207       2.28      -1.64      -1.51       0.47      11.94     222.64      335.3     -335.0      -13.5       -6.6
2011  252  41094324       2.35      -1.71      -1.55       0.34       8.32     222.13      336.7     -336.4      -13.7       -7.4
2011  252  41192445       2.39      -1.92      -1.28       0.58      14.07     213.56      336.4     -336.0      -13.9       -7.9
2011  252  41287355       2.36      -1.90      -0.65       1.12      29.14     198.77      337.9     -337.5      -15.5       -7.7
2011  252  41391750       2.42      -1.88       0.15       1.47      37.85     175.31      340.2     -339.6      -16.9       -9.6
2011  252  41486625       2.55      -1.98       0.59       1.44      34.91     163.43      342.6     -342.1      -15.8       -9.1
2011  252  41587808       3.16      -2.48       0.11       1.76      35.23     177.40      348.8     -348.4      -16.1       -4.1
2011  252  41685929       3.69      -3.19       0.78       1.55      25.29     166.20      348.1     -347.7      -16.0       -3.6
2011  252  41784046       3.92      -3.10       0.21       2.31      36.62     176.21      346.2     -345.6      -16.4      -12.4
2011  252  41882167       3.99      -3.18       0.31       2.25      35.11     174.39      348.3     -347.9      -13.2       -7.5
2011  252  41980289       4.08      -2.84      -0.69       2.72      42.88     193.63      348.5     -348.0      -16.7       -7.5
2011  252  42078441       4.29      -3.06      -0.40       2.92      43.38     187.36      347.4     -346.7      -14.1      -15.8
2011  252  42176558       4.16      -2.90      -0.22       2.93      45.15     184.35      347.8     -347.2      -16.2      -13.5
2011  252  42270046       4.02      -2.73      -0.03       2.86      46.32     180.62      350.5     -349.7      -20.1      -14.1
2011  252  42372761       3.94      -2.41       0.70       2.78      48.00     163.78      355.8     -355.2      -19.6       -6.7
2011  252  42477015       6.98      -2.56       1.27       6.19      65.18     153.54      386.6     -385.4      -28.2      -13.4
2011  252  42569000       7.62      -2.47       1.02       7.00      69.12     157.50      385.0     -383.4      -29.4      -17.9
2011  252  42664089       5.09       0.44       1.80      -3.97     -64.92      76.27      387.9     -386.7      -23.4      -20.9
2011  252  42763707       3.52       0.28       0.99      -2.06     -63.52      74.02      391.5     -390.1      -23.7      -22.1
2011  252  42858042       6.19       0.16       1.81      -5.41     -71.39      84.92      391.4     -389.8      -27.4      -22.4
2011  252  42956878       4.58      -0.52       2.00       3.29      57.93     104.65      393.1     -391.1      -33.6      -20.0
2011  252  43055000       4.44      -0.87      -1.10       4.17      71.35     231.73      393.1     -391.4      -32.0      -17.1
2011  252  43153117       5.37      -0.77      -3.68       3.47      42.71     258.18      391.4     -389.5      -32.2      -19.6
2011  252  43257367       5.21      -0.38      -3.56       3.29      42.58     263.86      393.1     -391.5      -28.9      -21.4
2011  252  43352421       3.50      -1.68      -2.19       0.93      18.55     232.47      392.1     -390.7      -28.4      -18.6
2011  252  43447476       7.47      -2.42       4.12       2.54      27.97     120.38      394.2     -392.7      -29.8      -16.4
2011  252  43545593       7.26       0.24       2.74       4.57      58.91      85.00      395.4     -394.0      -33.4       -6.7
2011  252  43645246      10.04       2.56      -7.00       1.41      10.70     290.06      397.4     -395.4      -36.9      -14.1
2011  252  43741113      16.67       1.62     -14.78      -7.35     -26.31     276.24      397.2     -393.2      -52.2      -19.8
2011  252  43841449      16.56      -0.40     -11.99     -10.84     -42.09     268.07      403.8     -399.3      -52.9      -28.7
2011  252  43938882      21.14      -1.94      -4.03     -20.64     -77.79     244.28      395.2     -392.4      -30.1      -35.8
2011  252  44035472      21.63      -0.91      -2.10     -21.45     -83.90     246.50      394.2     -391.5      -32.6      -31.5
2011  252  44138906      20.32       1.38      -0.28     -19.92     -85.96     348.66      393.7     -393.1      -22.1        2.6
2011  252  44238558      21.28       3.42      -4.32     -20.49     -74.95     308.35      394.1     -392.4      -24.9      -26.8
2011  252  44336851      18.12       0.32     -11.08      -7.60     -34.43     271.63      395.2     -393.3        3.6      -37.8
2011  252  44433265      22.32       0.79     -19.78       7.81      21.54     272.29      407.3     -403.7      -36.2      -39.4
2011  252  44534484      22.49       3.53     -21.59      -4.48     -11.59     279.29      405.7     -405.6       -8.1       -6.5
2011  252  44629539      22.17       2.88     -19.72      -7.97     -21.80     278.32      413.4     -413.1        1.9      -13.9
2011  252  44727691      22.57       3.18     -17.65     -13.41     -36.78     280.20      415.0     -414.1       19.1      -19.7
2011  252  44825917      18.32       2.34     -17.41       0.38       1.25     277.65      411.3     -410.6        5.5       24.3
2011  252  44920828      20.01       3.71     -18.11      -7.56     -22.25     281.59      402.2     -402.1        0.6        5.6
2011  252  45022156      20.34       4.68     -18.62      -6.52     -18.75     284.11      406.4     -406.2       -3.1       13.6
2011  252  45120273      19.65       2.56     -19.17       1.93       5.71     277.61      406.7     -406.1       -9.7       20.4
2011  252  45224527      19.41       3.23     -18.68      -2.91      -8.73     279.81      409.9     -409.6       -1.8       13.8
2011  252  45319578      19.48       2.99     -18.09      -6.51     -19.56     279.39      412.3     -411.9       -5.9       16.2
2011  252  45414632      19.83       3.75     -17.76      -7.76     -23.15     281.91      408.7     -408.3       -7.9       15.9
2011  252  45512749      19.51       3.08     -18.44      -5.47     -16.30     279.48      413.4     -412.7      -11.6       20.3
2011  252  45610867      19.45       4.46     -18.77      -1.26      -3.73     283.38      412.3     -411.4       -9.5       25.4
2011  252  45708988      18.93       5.65     -17.29       4.14      12.81     288.09      411.5     -409.8       -1.6       37.2
2011  252  45806968      20.22       1.83     -19.26      -5.72     -16.47     275.41      423.5     -423.2        1.7      -16.2
2011  252  45905085      19.18       2.44     -18.78      -1.13      -3.40     277.40      428.2     -428.0       -2.1      -12.2
2011  252  46003207      17.07       3.10     -16.20       4.04      13.76     280.85      420.3     -420.3       -6.7        3.1
2011  252  46101464      17.39       5.86      -8.51      13.25      52.07     304.55      419.9     -419.6        4.2       14.9
2011  252  46205578      13.38       4.56      -7.66       9.21      45.94     300.78      432.0     -431.3       23.4       -4.4
2011  252  46300628      16.39       0.71     -12.67      -9.25     -36.10     273.23      429.0     -427.9        6.9      -30.3
2011  252  46395679      18.74       0.73     -11.47     -14.78     -52.11     273.65      430.2     -429.5       -6.5      -24.9
2011  252  46493765      19.61      -0.53     -13.36     -14.29     -46.90     267.74      438.0     -436.6        9.6      -33.2
2011  252  46591917      19.21      -0.01     -13.13     -14.00     -46.85     269.98      434.9     -434.2        4.0      -24.9
2011  252  46690039      17.80       0.74      -9.54     -14.11     -55.84     274.43      424.5     -424.3        5.7      -13.9
2011  252  46778960      16.92       0.02      -5.33     -15.97     -71.52     270.23      427.3     -426.6       11.2      -21.9
2011  252  46886277      16.68       1.54      -9.17     -13.77     -55.97     279.53      431.2     -430.1        9.1      -29.2
2011  252  46984429      15.53       5.71      -9.35      -7.46     -34.23     301.42      436.6     -433.7       37.1      -33.3
2011  252  47082515      14.97       6.53     -12.46      -5.07     -19.80     297.67      422.9     -421.9       11.5      -25.7
2011  252  47186765      15.12       6.93     -12.06      -5.88     -22.89     299.88      416.9     -416.1        9.8      -23.9
2011  252  47281820      16.07       6.20     -12.15      -8.42     -31.68     297.05      423.3     -422.3       11.1      -25.8
2011  252  47376871      16.81       3.85     -12.53     -10.46     -38.59     287.10      421.3     -419.8       18.3      -30.7
2011  252  47474992      16.72       2.71     -10.08     -12.62     -50.39     285.02      425.6     -424.1       17.2      -30.6
2011  252  47573144      15.88      -3.86      -5.88     -14.13     -63.53     236.72      425.0     -423.9       22.0      -22.5
2011  252  47671265      15.38      -2.15      -5.90     -13.99     -65.82     250.03      424.3     -423.5       21.1      -16.6
2011  252  47769382      15.16      -1.64      -4.06     -14.47     -73.15     248.05      427.2     -425.9       32.0        1.6
2011  252  47867503      13.52      -1.31      -3.74     -12.80     -72.80     250.68      427.3     -425.0       40.6      -17.6
2011  252  47965761       5.05      -0.57       0.96      -4.38     -75.67     120.75      434.9     -431.2       55.1       12.8
2011  252  48063777       4.79       1.34       3.44      -2.55     -34.58      68.70      431.5     -427.2       60.6       -5.0
2011  252  48171058       5.05       2.20       1.39      -3.39     -52.46      32.30      433.4     -430.1       52.9        6.6
2011  252  48250921       4.13       2.13       1.06       0.46      10.85      26.43      428.8     -426.1       46.1       11.7
2011  252  48362730       9.80       4.42       6.41       5.14      33.43      55.43      443.2     -439.3       56.2       16.8
2011  252  48647894      17.19       7.46      10.07      11.62      42.84      53.46      444.3     -441.1       52.5        2.8
2011  252  48746152      15.38       7.68       8.07      10.51      43.35      46.41      450.1     -445.9       59.5      -13.9
2011  252  48846445      12.77       0.51       4.68      -0.17      -2.10      83.74      458.5     -455.2       54.2       -6.2
2011  252  48942250      16.25      -3.91     -11.56     -10.02     -39.38     251.33      445.7     -442.9       28.3       41.8
2011  252  49046675      11.08       2.61      -1.02      -8.45     -71.66     338.68      434.2     -424.1       86.0       35.3
2011  252  49152425       8.93       4.49       4.66       2.24      19.09      46.03      435.9     -428.7       68.9       38.5
2011  252  49250546       9.44       0.27       0.65      -6.70     -84.01      67.12      452.1     -431.9      113.2       71.0
2011  252  49345421      17.59      -4.53      -7.90     -15.03     -58.78     240.20      460.1     -458.3       34.9      -22.0
2011  252  49426679      15.36      -4.12      -8.38     -11.99     -52.10     243.83      447.1     -442.0       67.5        2.0
2011  252  49530253      16.05       4.22       5.16      14.57      65.42      50.74      449.3     -439.1       92.2       23.8
2011  252  49621558      19.10       3.95      11.57      14.27      49.41      71.15      434.7     -424.5       80.3       48.5
2011  252  49733542      15.53       0.02      14.90       2.57       9.78      89.93      436.0     -415.6      127.0       34.3
2011  252  49827031      15.31       4.23      13.24       5.53      21.71      72.26      422.8     -412.4       69.3       62.6
2011  252  49925042      16.80       5.65       9.17      12.12      48.38      58.34      430.2     -422.5       34.8       73.3
2011  252  50023234      18.03       5.90      10.77      13.18      47.03      61.30      431.7     -421.5       58.1       73.1
2011  252  50127484      17.64       7.48      11.61      10.75      37.90      57.22      422.7     -410.6       84.8       54.3
2011  252  50222539      17.37       6.48      12.68       9.74      34.37      62.92      434.3     -424.6       75.8       50.6
2011  252  50317589      17.74       6.34      12.89      10.29      35.60      63.79      431.4     -417.5       89.9       61.2
2011  252  50415710      18.62       6.69      12.72      11.78      39.33      62.26      426.6     -415.8       82.1       48.2
2011  252  50513863      18.88       4.74      12.28      13.16      44.98      68.88      421.3     -410.8       89.9       26.3
2011  252  50611949      19.00       5.00      11.66      14.10      48.00      66.81      433.6     -425.1       75.9       39.5
2011  252  50710066      18.74       7.15      12.06      12.10      40.79      59.35      431.0     -423.2       79.9       17.3
2011  252  50808046      18.00       8.47      14.22       6.56      21.63      59.22      433.6     -427.2       74.1        5.0
2011  252  50901566      18.49       6.97      16.44       4.21      13.27      67.02      441.8     -435.0       74.5       19.0
2011  252  51004425      19.58       6.74      17.14       6.33      18.98      68.53      443.1     -437.1       67.4       27.3
2011  252  51114773      17.30       5.67      15.44       4.95      16.75      69.83      453.2     -448.7       58.8       25.0
2011  252  51196746      17.85       6.75      15.63       5.19      16.94      66.64      453.4     -447.0       75.5        7.6
