                           Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V          Vx         Vy         Vz    
                           nT         nT         nT         nT        deg        deg        km/s       km/s       km/s       km/s   
2011  252   6757256       2.16      -1.50       1.38       0.72      19.47     137.31      320.7     -320.4      -13.5       -0.6
2011  252   6853842       2.31      -1.66       1.57      -0.01      -0.20     136.62      319.0     -318.6      -15.9        1.7
2011  252   6945829       2.52      -1.84       1.63      -0.52     -11.91     138.57      320.1     -319.9      -12.9        3.5
2011  252   7053146       2.58      -1.87       1.77      -0.22      -4.78     136.45      319.1     -318.7      -15.1        2.3
2011  252   7149732       2.52      -1.87       1.69      -0.13      -3.01     137.88      319.5     -319.1      -14.5        1.5
2011  252   7247852       2.55      -1.85       1.74      -0.08      -1.84     136.77      320.2     -319.8      -15.7        2.0
2011  252   7347503       2.52      -1.83       1.74       0.05       1.16     136.36      320.1     -319.8      -13.6        2.5
2011  252   7444089       2.54      -1.76       1.81      -0.04      -0.99     134.25      319.4     -319.0      -16.2        0.6
2011  252   7542891       2.57      -1.71       1.88      -0.36      -8.11     132.43      319.3     -318.9      -16.3        2.6
2011  252   7641860       2.11      -1.29       1.67       0.01       0.22     127.68      321.6     -321.3      -13.4        3.1
2011  252   7738447       1.56      -0.97       1.20       0.05       1.82     128.94      325.6     -325.4       -9.3        2.8
2011  252   7833359       1.43      -1.07       0.86      -0.39     -15.94     141.09      324.8     -324.7       -7.4        3.8
2011  252   7922279       1.89      -1.16       1.15       0.87      28.12     135.26      322.4     -322.2      -11.7        0.1
2011  252   8031271       2.14      -1.26       1.27       1.15      32.55     134.77      322.8     -322.6      -11.6        2.0
2011  252   8129249       1.77      -0.85       0.96       1.18      42.61     131.64      326.1     -325.9       -9.1        3.3
2011  252   8225835       1.74      -0.88       0.89       1.20      43.70     134.59      326.0     -325.9       -7.5        4.1
2011  252   8325488       1.40      -0.76       0.39      -0.17     -11.63     152.77      326.5     -326.4       -9.1        2.5
2011  252   8415940       1.41      -0.57      -0.01      -1.29     -66.02     180.97      325.6     -325.5       -7.2        3.0
2011  252   8520333       1.29      -0.51       0.01      -1.18     -66.58     179.29      326.1     -325.9       -9.4        2.9
2011  252   8618451       1.20      -0.55       0.06      -1.06     -62.53     173.64      325.4     -325.2       -8.6        1.6
2011  252   8716571       1.12      -0.39       0.21      -1.02     -66.70     151.93      325.6     -325.4       -9.9        1.1
2011  252   8814549       1.34      -0.26       0.13      -1.30     -77.62     153.27      326.1     -326.0       -7.4        3.9
2011  252   8903469       1.04      -0.26       0.34      -0.91     -64.87     128.05      326.8     -326.7       -6.0       -1.9
2011  252   9009254       1.06      -0.07       0.68      -0.78     -49.03      96.31      326.6     -326.5       -6.2       -0.8
2011  252   9110438       1.19      -0.08       0.56      -1.03     -61.40      97.71      326.6     -326.5       -7.9       -0.1
2011  252   9208558       1.31      -0.00       0.51      -1.20     -67.23      90.12      326.8     -326.7       -8.3        2.8
2011  252   9305144       1.29       0.11       0.47      -1.15     -67.13      77.24      327.3     -327.2       -7.8        2.8
2011  252   9401730       1.05       0.51       0.67      -0.62     -36.68      52.76      327.2     -327.1       -7.2        2.1
2011  252   9496783       1.23       0.74       0.21      -0.95     -50.92      15.94      327.3     -327.2       -7.1        2.8
2011  252   9594900       1.27       0.85      -0.11      -0.92     -47.16     352.38      327.4     -327.3       -6.3        2.0
2011  252   9693020       1.38       0.98      -0.34      -0.90     -41.05     340.67      327.6     -327.6       -6.2        1.5
2011  252   9785006       1.43       1.10      -0.55      -0.72     -30.15     333.40      328.0     -327.9       -6.4        2.1
2011  252   9878526       1.49       1.23      -0.68      -0.49     -19.24     330.93      326.8     -326.7       -5.8        0.8
2011  252   9984311       1.51       1.12      -0.80      -0.61     -23.96     324.43      327.8     -327.7       -5.2        1.3
2011  252  10085497       1.55       1.18      -0.83      -0.01      -0.58     324.84      327.7     -327.6       -6.4       -1.4
2011  252  10177483       1.61       1.20      -1.03       0.22       7.98     319.20      326.9     -326.9       -5.8       -0.6
2011  252  10275601       1.78       1.29      -0.85       0.86      29.20     326.43      326.3     -326.2       -6.3       -3.1
2011  252  10373720       1.85       1.41      -0.70       0.97      31.54     333.68      325.9     -325.8       -7.6       -4.0
2011  252  10471839       2.02       1.62      -0.73       0.95      28.17     335.81      327.7     -327.6       -6.3       -4.5
2011  252  10569958       1.86       1.15      -1.16       0.82      26.67     314.86      327.4     -327.4       -4.1       -2.4
2011  252  10668078       1.80       1.20      -1.09       0.76      24.91     317.72      327.2     -327.2       -2.8       -1.7
2011  252  10772330       1.85       1.28      -1.12       0.70      22.28     318.94      327.1     -327.0       -3.8       -2.0
2011  252  10859716       1.82       1.34      -1.17       0.25       7.92     318.81      326.3     -326.3       -4.3       -1.1
2011  252  10965500       1.86       1.37      -1.23       0.00       0.04     318.01      327.1     -327.0       -5.2        2.6
2011  252  11063620       1.89       1.29      -1.24       0.59      18.09     316.16      328.5     -328.5       -4.2       -0.3
