                                        Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V         Vth         Np        Psw         Pb        Pth        Beta   
                           nT         nT         nT         nT        deg        deg        km/s       km/s       cm^3       nPa        nPa        nPa               
2011  252  44629539      22.17       2.88     -19.72      -7.97     -21.80     278.32      413.4       67.5       20.3    6.73888    0.19552    0.07752      0.396
2011  252  44727691      22.57       3.18     -17.65     -13.41     -36.78     280.20      415.0       64.9       16.3    5.44199    0.20271    0.05744      0.283
2011  252  44825917      18.32       2.34     -17.41       0.38       1.25     277.65      411.3       78.7       21.9    7.19800    0.13349    0.11356      0.851
2011  252  44920828      20.01       3.71     -18.11      -7.56     -22.25     281.59      402.2       79.9       19.7    6.18537    0.15924    0.10528      0.661
2011  252  45022156      20.34       4.68     -18.62      -6.52     -18.75     284.11      406.4       77.3       20.9    6.68172    0.16458    0.10416      0.633
2011  252  45120273      19.65       2.56     -19.17       1.93       5.71     277.61      406.7       86.0       23.8    7.62686    0.15370    0.14710      0.957
2011  252  45224527      19.41       3.23     -18.68      -2.91      -8.73     279.81      409.9       82.1       22.0    7.16339    0.14997    0.12395      0.826
2011  252  45319578      19.48       2.99     -18.09      -6.51     -19.56     279.39      412.3       79.9       21.6    7.11430    0.15094    0.11508      0.762
2011  252  45414632      19.83       3.75     -17.76      -7.76     -23.15     281.91      408.7       81.1       22.0    7.13752    0.15640    0.12109      0.774
2011  252  45512749      19.51       3.08     -18.44      -5.47     -16.30     279.48      413.4       73.4       21.2    7.01233    0.15142    0.09536      0.630
2011  252  45610867      19.45       4.46     -18.77      -1.26      -3.73     283.38      412.3       74.7       21.4    7.06944    0.15050    0.10010      0.665
2011  252  45708988      18.93       5.65     -17.29       4.14      12.81     288.09      411.5       75.8       22.0    7.22957    0.14263    0.10573      0.741
2011  252  45806968      20.22       1.83     -19.26      -5.72     -16.47     275.41      423.5       87.4       21.5    7.48916    0.16265    0.13738      0.845
2011  252  45905085      19.18       2.44     -18.78      -1.13      -3.40     277.40      428.2       76.0       19.8    7.04334    0.14638    0.09567      0.654
2011  252  46003207      17.07       3.10     -16.20       4.04      13.76     280.85      420.3       89.2       24.9    8.54253    0.11593    0.16574      1.430
2011  252  46101464      17.39       5.86      -8.51      13.25      52.07     304.55      419.9       78.5       22.2    7.60177    0.12031    0.11463      0.953
2011  252  46205578      13.38       4.56      -7.66       9.21      45.94     300.78      432.0       87.0       26.5    9.58746    0.07121    0.16755      2.353
2011  252  46300628      16.39       0.71     -12.67      -9.25     -36.10     273.23      429.0       87.5       18.0    6.44088    0.10685    0.11540      1.080
2011  252  46395679      18.74       0.73     -11.47     -14.78     -52.11     273.65      430.2       98.4       20.3    7.29550    0.13973    0.16440      1.177
2011  252  46493765      19.61      -0.53     -13.36     -14.29     -46.90     267.74      438.0       80.2       18.8    6.99234    0.15294    0.10102      0.661
2011  252  46591917      19.21      -0.01     -13.13     -14.00     -46.85     269.98      434.9       79.9       18.8    6.91755    0.14683    0.10051      0.685
2011  252  46690039      17.80       0.74      -9.54     -14.11     -55.84     274.43      424.5       87.0       21.4    7.48164    0.12601    0.13542      1.075
2011  252  46778960      16.92       0.02      -5.33     -15.97     -71.52     270.23      427.3       87.6       20.9    7.42055    0.11393    0.13449      1.180
2011  252  46886277      16.68       1.54      -9.17     -13.77     -55.97     279.53      431.2       88.8       20.9    7.53258    0.11064    0.13763      1.244
2011  252  46984429      15.53       5.71      -9.35      -7.46     -34.23     301.42      436.6       82.5       18.6    6.88749    0.09591    0.10597      1.105
2011  252  47082515      14.97       6.53     -12.46      -5.07     -19.80     297.67      422.9       89.2       23.4    8.10535    0.08914    0.15555      1.745
2011  252  47186765      15.12       6.93     -12.06      -5.88     -22.89     299.88      416.9       92.3       23.5    7.92577    0.09091    0.16730      1.840
2011  252  47281820      16.07       6.20     -12.15      -8.42     -31.68     297.05      423.3       93.5       23.3    8.11420    0.10281    0.17078      1.661
2011  252  47376871      16.81       3.85     -12.53     -10.46     -38.59     287.10      421.3       82.2       20.2    6.94359    0.11237    0.11403      1.015
2011  252  47474992      16.72       2.71     -10.08     -12.62     -50.39     285.02      425.6       95.5       21.8    7.64847    0.11124    0.16606      1.493
