                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
1998  311  84616367      14.46       3.65      10.70      -8.77      477.8       11.3    5.01183     13.289    4.19306
1998  312   5391917      16.04       3.44       8.16     -12.93      469.8        6.1    2.60838     20.515    6.07409
1998  312  12580627      16.08       4.36      10.16     -11.16      476.4        4.7    2.04956     18.567    5.31713
1998  312  16168196      22.15       3.87      12.15     -16.83      452.7        5.4    2.13141     36.298    7.61912
1998  312  23409357      35.52       8.01      32.72     -10.10      630.6        6.4    4.90328     66.511    6.37045
1998  312  27030826      33.04       4.16      32.43      -2.31      651.6        7.5    6.16329     40.657    1.50405
1998  312  34181078      30.28      -2.36      28.91       8.31      602.9        8.3    5.88360     14.428    0.00000
1998  312  37797742      28.05      -1.30      26.48       8.98      590.3       13.3    9.02367     10.668    0.00000
1998  312  41359609      27.45       0.25      25.64       8.18      595.9       15.3   10.53112     10.848    0.00000
1998  312  52235480      26.59      -9.04      -5.68      23.39      547.9       19.0   11.08069      0.015    0.00000
1998  312  55826238      26.41      -8.70     -16.23      18.51      530.3       14.3    7.82640      1.133    0.00000
1998  312  59427250      25.01      -5.05      -5.03      23.27      528.8       31.3   16.99656      0.008    0.00000
1998  312  62998519      23.24      -1.82       0.04      22.72      539.9       15.5    8.75864      0.000    0.00000
1998  312  66610492      22.58       0.66       7.92      20.79      547.6       19.5   11.32827      0.060    0.00000
1998  312  70177062      20.67      -5.20       5.52      19.03      520.3       23.3   12.25931      0.017    0.00000
1998  312  73766414      20.38      -4.54       8.95      17.31      529.4       25.1   13.66111      0.137    0.00000
1998  312  77358031      21.70      -4.82       8.35      19.16      522.5       11.8    6.25841      0.085    0.00000
1998  312  81045859      22.10       0.17      17.28      12.75      506.4        8.2    4.09323      2.035    0.00000
1998  312  84634453      19.78       5.40      16.86       5.38      505.6       17.2    8.51230      4.774    0.00000
1998  313   1833017      20.96       7.30      17.86       3.75      509.4       14.9    7.48071      7.033    0.00000
1998  313   5416124      20.09       6.33      18.23       4.29      500.8        7.5    3.65617      5.985    0.00000
1998  313   9031260      19.42       5.75      18.02       4.00      506.5        8.8    4.39902      5.839    0.00000
1998  313  12599183      18.95       6.80      16.06       1.73      507.9        5.9    2.92965      7.246    0.00000
1998  313  16196422      17.71       7.31       8.37     -13.19      492.2       12.7    5.97702     26.163    6.49088
1998  313  19800484      17.41       6.41       4.79     -15.16      485.8       10.7    4.88104     27.993    7.36516
1998  313  23378878      17.16       7.13       2.60     -15.30      488.8        5.9    2.71839     28.270    7.47666
1998  313  26958716      16.95       6.57       0.95     -15.48      476.8       11.3    4.99665     27.240    7.38255
1998  313  34234328      15.84       7.33      -1.45     -13.87      465.9       11.8    4.95901     23.177    6.46175
1998  313  37831492      15.20       7.02      -3.59     -12.89      468.8       14.5    6.18739     20.815    6.04344
1998  313  41426242      13.63       5.40      -2.88     -12.04      468.7       16.0    6.80927     16.892    5.64365
1998  313  45017863      13.90       4.82      -3.45     -12.39      453.6       10.7    4.25465     16.842    5.62052
1998  313  48612609      13.89       3.48      -3.84     -12.74      441.7        7.7    2.93160     16.273    5.62618
1998  313  52201097      13.93       3.78      -3.59     -12.84      433.9        4.8    1.76199     16.163    5.57180
1998  313  55789582      13.75       3.89      -4.38     -12.36      440.6        5.2    1.94434     15.662    5.44452
1998  313  59376503      13.74       3.28      -7.05     -11.03      453.2        3.0    1.21420     14.471    4.99924
1998  313  62961714      13.59       2.28      -8.20     -10.51      433.1        2.1    0.74667     12.755    4.55285
1998  313  66557749      13.46       3.42      -7.95     -10.17      431.8        3.5    1.26910     12.457    4.39014
1998  313  70237320      13.32       3.16      -7.51     -10.52      411.2        2.9    0.94144     11.970    4.32580
1998  313  73824242      13.20       3.14      -7.78     -10.11      408.7        3.4    1.09402     11.407    4.13149
1998  313  77415859      12.91       1.70      -9.15      -8.51      432.3        3.4    1.22926     10.149    3.68002
1998  314   1817380      11.07      -1.91      -9.62       4.95      433.5        5.4    1.97341      0.779    0.00000
1998  314   5441383      10.16      -2.79      -5.67       7.73      429.9        4.7    1.68020      0.083    0.00000
1998  314   8978326       9.36      -1.06      -6.24       3.66      423.5        3.8    1.30601      0.451    0.00000
1998  314  12609973       8.32      -1.50      -6.51       2.93      437.5        4.5    1.65473      0.523    0.00000
1998  314  16245160       6.70      -2.37      -4.67       3.51      450.7        3.1    1.21833      0.161    0.00000
1998  314  19783062       5.43      -0.77      -4.09       3.08      437.2        3.5    1.28710      0.102    0.00000
1998  314  23417423       4.73      -4.08       2.18      -0.03      449.6        4.0    1.57574      0.517    0.01440
1998  314  26954509       4.79      -3.98       2.42      -1.06      447.0        4.4    1.69366      1.003    0.47464
1998  314  30586156       5.01      -4.42       2.09      -1.06      440.6        3.1    1.17056      1.168    0.46910
1998  314  34218343       5.09      -4.72       1.41      -1.24      440.0        3.0    1.10966      1.561    0.54402
1998  314  37756093       4.85      -4.51       1.20      -1.32      430.3        3.3    1.18988      1.529    0.56707
1998  314  41389082       4.61      -4.37       1.33      -0.55      429.6        4.3    1.55668      0.869    0.23596
1998  314  45031066       4.34      -3.99       1.54      -0.65      427.2        4.6    1.62007      0.772    0.27749
1998  314  48564476       4.11      -4.05       0.68      -0.06      415.6        6.2    2.06298      0.415    0.02543
1998  314  52204292       3.93      -3.73       1.16       0.02      412.7        6.3    2.08081      0.309    0.00000
1998  314  55831164       3.69      -3.42       1.29       0.41      408.8        6.6    2.14294      0.134    0.00000
1998  314  59368250       3.82      -3.60       0.89       0.71      405.2        7.0    2.24023      0.042    0.00000
1998  314  63001257       3.85      -3.54       1.02       1.06      404.0        7.1    2.24810      0.023    0.00000
1998  314  66634265       3.49      -3.35       0.40       0.89      394.5        7.4    2.23266      0.002    0.00000
1998  314  70177343       3.27      -3.11       0.39       0.88      390.2        7.6    2.24708      0.001    0.00000
1998  314  73809671       2.98      -2.76       0.26       1.07      386.2        8.7    2.50994      0.000    0.00000
1998  314  77441851       2.69      -2.32      -0.27       1.27      386.3       10.5    3.03314      0.000    0.00000
1998  314  80980429       2.56      -2.06      -0.29       1.47      381.9       10.7    3.02992      0.000    0.00000
