Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          V         Vth         Np    
                           nT        km/s       km/s       cm^3   
2014    1  12755466       6.17      372.7       35.6        6.9
2014    1  12858393       6.09      370.0       35.8        7.1
2014    1  12955514       6.23      370.8       35.8        6.5
2014    1  13049384       6.33      369.7       34.6        6.5
2014    1  13147695       6.28      367.2       34.6        6.8
2014    1  13250973       6.33      368.1       36.1        6.8
2014    1  13344666       6.36      369.7       32.8        6.4
2014    1  13444043       6.18      368.1       37.1        6.8
2014    1  13544714       6.17      366.1       37.0        7.0
2014    1  13647818       6.19      370.2       36.9        6.9
2014    1  13744764       6.19      369.5       35.5        6.9
2014    1  13844790       6.28      364.7       37.8        7.3
2014    1  13942627       6.51      369.1       35.0        6.9
2014    1  14038682       6.44      366.5       33.4        7.5
2014    1  14137344       6.44      368.3       37.1        7.2
2014    1  14235655       6.45      369.6       36.4        7.6
2014    1  14334139       6.28      369.8       37.0        7.5
2014    1  14435703       6.70      375.1       35.1        7.0
2014    1  14534189       6.66      374.1       34.5        7.1
2014    1  14631135       6.52      372.8       36.9        7.6
2014    1  14731443       6.52      372.6       37.1        7.8
2014    1  14831361       6.78      375.2       39.6        7.5
2014    1  14931209       6.89      374.3       38.6        7.4
2014    1  15026792       7.07      376.1       36.9        7.4
2014    1  15125103       7.03      376.7       32.5        7.0
2014    1  15222050       7.23      370.6       34.9        7.1
2014    1  15322075       7.03      371.5       38.2        7.7
2014    1  15420560       6.92      369.9       38.6        7.4
2014    1  15519046       6.91      372.1       38.0        7.6
2014    1  15617532       6.83      371.8       39.1        7.6
2014    1  15716019       6.80      374.3       36.9        7.4
2014    1  15816041       6.70      373.4       38.5        7.8
2014    1  15916067       6.79      373.6       38.7        7.8
2014    1  16011475       6.76      376.0       40.4        7.5
2014    1  16113038       6.79      378.3       41.4        7.5
2014    1  16208623       6.75      381.4       39.1        7.3
2014    1  16310010       6.81      374.9       38.7        7.6
2014    1  16408496       6.86      377.3       39.6        7.3
2014    1  16506982       6.90      377.5       39.5        7.5
2014    1  16605468       7.03      377.0       37.3        7.2
2014    1  16703955       7.00      376.0       36.2        7.1
2014    1  16803978       6.96      375.4       39.8        7.3
2014    1  16903285       6.71      373.2       38.7        7.6
2014    1  16999410       6.87      378.8       37.5        7.5
2014    1  17100972       6.86      378.2       37.9        7.3
2014    1  17193304       6.72      378.6       39.2        7.6
2014    1  17294869       6.89      380.6       39.9        7.7
2014    1  17390275       6.86      376.2       39.5        7.5
2014    1  17482605       6.78      363.8       38.8        7.8
2014    1  17581091       6.78      365.6       37.0        7.5
2014    1  17682007       6.87      368.3       37.9        7.5
2014    1  17785757       6.67      368.8       37.8        7.8
2014    1  17885783       6.65      374.1       37.5        7.6
2014    1  17981191       6.51      372.5       36.6        7.4
2014    1  18079675       6.53      370.3       39.1        7.5
2014    1  18178162       6.62      372.4       38.5        7.4
2014    1  18273570       6.69      366.9       35.3        7.2
2014    1  18368978       6.67      365.2       35.3        7.6
2014    1  18470541       6.56      366.3       35.4        7.3
2014    1  18565949       6.50      364.0       39.5        8.0
2014    1  18667513       6.44      367.3       37.6        7.9
2014    1  18770615       6.11      366.2       40.5        7.9
2014    1  18869921       5.91      371.5       39.4        8.3
2014    1  18962970       6.13      368.8       38.1        8.0
2014    1  19061455       6.28      368.5       37.6        7.8
2014    1  19159941       6.09      368.5       36.6        7.9
2014    1  19258427       6.27      365.3       35.5        7.4
2014    1  19356265       6.31      366.5       38.7        7.6
2014    1  19452320       6.29      363.6       37.6        7.6
2014    1  19550806       6.18      364.4       37.4        7.8
2014    1  19651722       6.14      363.9       39.6        7.9
2014    1  19753933       6.24      362.7       38.6        7.7
2014    1  19849341       6.33      364.2       37.4        7.5
2014    1  19944925       6.37      364.2       40.3        7.7
2014    1  20043234       6.32      364.2       37.7        7.8
2014    1  20144152       6.24      364.4       39.6        7.8
2014    1  20242638       6.21      364.6       40.1        7.7
2014    1  20338869       6.25      362.6       40.7        7.8
2014    1  20440255       6.48      362.8       36.0        7.2
2014    1  20538742       6.49      363.5       36.9        7.3
2014    1  20646460       5.95      367.7       38.7        8.4
2014    1  20742689       5.83      364.9       38.3        8.6
2014    1  20837277       5.70      367.9       41.1        7.9
2014    1  20932685       5.64      366.1       41.9        8.3
2014    1  21031169       5.84      364.2       34.1        7.2
2014    1  21135812       6.75      374.6       32.7        6.5
2014    1  21234298       6.70      379.8       33.9        7.1
2014    1  21332783       6.71      380.0       32.3        6.9
2014    1  21431269       6.88      377.8       33.8        7.1
2014    1  21529755       6.93      378.3       32.5        7.1
2014    1  21628240       7.03      377.0       32.5        6.9
2014    1  21728265       6.86      377.4       33.6        7.2
2014    1  21828289       6.68      379.9       35.6        7.5
2014    1  21920794       6.39      368.0       38.9        8.1
2014    1  22018458       6.44      370.0       35.8        7.8
2014    1  22119130       6.52      369.6       34.1        7.6
2014    1  22215431       6.66      368.8       36.3        7.7
2014    1  22313916       6.60      368.5       35.9        7.6
2014    1  22414587       6.60      368.3       34.2        7.3
2014    1  22511535       6.64      368.2       36.5        7.7
2014    1  22607119       6.55      366.4       37.0        7.7
2014    1  22713123       6.50      368.3       34.8        7.5
2014    1  22809421       6.35      367.5       37.9        7.9
2014    1  22902400       6.52      365.5       34.4        6.8
2014    1  23005503       6.48      367.6       33.3        6.8
2014    1  23304857       6.09      372.6       27.3        6.9
2014    1  23402523       6.16      370.5       28.2        6.3
2014    1  23502548       5.98      374.5       32.1        7.1
2014    1  23597238       5.91      370.4       32.9        7.6
2014    1  23697980       5.89      372.6       34.7        7.8
2014    1  23796466       6.01      371.1       33.6        7.7
2014    1  23891874       5.95      372.4       34.3        7.9
2014    1  23988820       5.85      370.3       35.6        7.8
2014    1  24088845       6.15      366.2       33.5        7.2
2014    1  24184253       6.13      365.3       34.9        7.1
2014    1  24285818       6.14      367.3       35.1        7.3
2014    1  24384302       6.07      369.5       35.0        7.5
2014    1  24582814       6.06      370.6       34.8        7.4
2014    1  24879810       6.15      371.4       31.6        7.1
2014    1  24978296       6.18      368.2       33.9        7.0
2014    1  25076781       6.39      368.5       33.1        6.8
2014    1  25172189       6.36      371.3       35.1        7.3
2014    1  25272214       6.48      370.2       33.7        7.2
2014    1  25370699       6.83      371.3       37.4        7.7
2014    1  25469185       7.24      376.4       37.3        8.1
2014    1  25570749       7.27      383.0       35.4        8.1
2014    1  25669232       7.41      381.2       41.5        9.7
2014    1  25764642       7.53      386.9       40.7        9.8
2014    1  25860050       7.54      380.9       40.5        9.9
2014    1  25958537       7.53      381.9       35.7        8.5
2014    1  26063175       7.34      378.8       38.4        9.2
2014    1  26161664       7.34      378.4       40.2        9.3
2014    1  26260148       7.37      380.3       39.6        9.2
2014    1  26354841       7.40      376.2       37.6        9.3
2014    1  26452505       7.30      373.9       38.8        9.6
2014    1  26551810       7.30      372.8       37.4        9.8
2014    1  26654093       7.34      374.3       36.7        9.5
2014    1  26754257       7.30      374.9       38.5        9.2
2014    1  26845730       7.36      373.7       36.6       10.0
2014    1  26946648       7.56      377.1       35.4        9.2
2014    1  27042056       7.64      376.3       34.4        9.5
2014    1  27140576       7.43      379.5       34.7        9.2
