                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
1998  315  84569289       5.18       4.53      -2.44      -0.42      347.8        5.6    1.31613      0.636    0.14519
1998  316   1808314       5.14       4.46      -2.35      -0.14      350.6        6.3    1.50753      0.518    0.05015
1998  316   5444097       5.25       3.94      -3.36      -0.58      345.1        5.5    1.27652      0.649    0.19877
1998  316   8980490       5.39       4.01      -3.39      -0.91      342.0        5.8    1.32745      0.783    0.30986
1998  316  12611171       5.53       3.81      -3.88      -0.36      343.4        4.7    1.08483      0.625    0.12525
1998  316  19788732       5.41       2.96      -3.01       0.19      346.9        4.2    0.98420      0.444    0.00000
1998  316  23422531       5.66       2.94      -4.35       1.67      347.1        8.1    1.89691      0.228    0.00000
1998  316  26958777       7.54       4.20      -5.84       0.73      375.1        8.3    2.27642      0.816    0.00000
1998  316  30599476       7.11       4.43      -2.78       3.08      352.8        8.8    2.13523      0.059    0.00000
1998  316  34232406       6.93       2.37      -4.76       3.60      354.0        9.3    2.26140      0.133    0.00000
1998  316  37769480       6.32       2.55      -3.19       4.73      355.6        7.7    1.87771      0.021    0.00000
1998  316  41402476       6.45       0.41      -4.96       3.88      349.3        6.5    1.54198      0.107    0.00000
1998  316  45030898       5.81       4.57       0.34       1.05      329.5        8.6    1.81369      0.001    0.00000
1998  316  48574714       5.93       5.24      -2.20       1.35      320.7        6.9    1.36804      0.128    0.00000
1998  316  52210710       5.74       4.81      -2.49       1.74      322.8        7.6    1.54149      0.097    0.00000
1998  316  55844527       5.79       3.59      -3.55       2.60      329.0        7.9    1.66826      0.092    0.00000
1998  316  59377792       5.50       2.63      -3.80       1.99      330.0        8.9    1.87227      0.142    0.00000
1998  316  63017644       6.44      -0.58      -1.48       5.85      350.2       14.2    3.38804      0.001    0.00000
1998  316  70190539       8.26       4.61      -6.51       1.60      350.0       18.3    4.33941      0.690    0.00000
1998  316  73827429       8.18       4.57      -6.25       0.60      369.9       18.3    4.84939      1.007    0.00000
1998  316  77363617       9.15       6.02      -6.71      -0.47      347.0       14.6    3.40379      1.660    0.16434
1998  316  80999609       8.85       5.52      -6.75      -0.64      349.2       18.3    4.33337      1.633    0.22301
1998  316  84629742       9.07       5.41      -6.81       1.74      348.0       18.8    4.41784      0.806    0.00000
1998  317   1763754      10.59       4.04      -5.89      -0.80      364.2       14.5    3.74118      2.621    0.29180
1998  317   5399746      12.85       2.07      -1.08     -11.37      383.4       12.4    3.54369     12.560    4.35923
1998  317   9034238      11.26       1.08       2.30     -10.70      407.4       33.0   10.63301     10.074    4.36107
1998  317  12577447      13.85       2.26      10.22       7.20      407.8       23.2    7.48072      0.702    0.00000
1998  317  16211797      14.25       2.12      12.57       2.31      411.2       19.2    6.29153      2.793    0.00000
1998  317  30602851      42.11       5.54      -5.18     -37.97      398.3       23.7    7.28508    139.481   15.12273
1998  317  34211468      57.71       5.96     -14.16     -55.00      329.1        9.5    1.99561    211.587   18.09996
1998  317  37829269      57.45       0.88      -2.22     -54.74      276.2        3.1    0.46106    181.569   15.11779
1998  317  66607773     409.55     189.97     184.39     303.12      954.7        1.3    2.37929    169.304    0.00000
1998  317  70233179     185.37      20.84     146.06     106.98       48.1        0.6    0.00250     13.778    0.00000
1998  317  77417070      36.66       4.47      13.75      24.01       56.9        0.6    0.00361      0.067    0.00000
1998  318   1810205      54.56       0.36     -18.92     -49.92      362.5       18.7    4.75563    201.308   18.09350
1998  318   9014858      51.80       8.17     -14.83     -48.58      438.6       20.4    7.62751    224.504   21.30892
1998  318  12593011      26.60       1.75     -14.71     -21.21      382.7       16.3    4.61858     44.788    8.11615
1998  318  16155500      25.05      -1.94     -20.51     -13.23      380.2       20.8    5.82438     28.264    5.03067
1998  318  19796806      18.67      -0.46     -17.15      -4.95      402.7       17.5    5.50390     11.409    1.99411
1998  318  23435052      18.79      -2.51     -18.57      -0.41      376.2       26.7    7.34108      6.917    0.15492
1998  318  26972074      18.70      -3.61     -17.80       2.03      382.6       22.4    6.35646      5.243    0.00000
1998  318  30615517      17.69       1.05       2.16     -13.10      383.4       15.3    4.36526     23.600    5.02322
1998  318  34155484      18.16      -2.68      -8.89     -13.70      414.1       11.3    3.76412     23.005    5.67457
1998  318  37791441      21.63      -8.89     -19.30       0.24      387.0       17.5    5.07102      8.804    0.00000
1998  318  41427406      19.13      -5.83     -12.44      -8.21      412.3       30.0    9.88825     18.086    3.38612
1998  318  44967457      17.57      -3.94     -12.46     -10.61      414.7       39.8   13.29412     17.333    4.40125
1998  318  48601785      19.40      -6.68     -17.32      -5.06      401.7       17.7    5.52653     12.354    2.03397
1998  318  52236257      20.44      -4.82     -18.02      -3.95      399.9       10.3    3.18938     12.282    1.58139
1998  318  55779378      15.90       6.93      -9.39       9.06      407.4       22.8    7.35941      0.480    0.00000
1998  318  59418562      15.40       3.86     -12.45       2.48      440.4        5.1    1.92865      3.371    0.00000
1998  318  63003582      14.98      -0.02     -14.29      -3.41      412.8        4.5    1.50246      7.003    1.40771
1998  318  66587140      13.46      -3.45     -11.46      -4.29      424.8        2.1    0.72450      7.001    1.82413
1998  318  70209593      12.53      -2.00     -11.66      -3.44      389.1        3.6    1.04548      5.012    1.33698
1998  318  73767625      11.60      -1.97     -10.99      -2.87      380.2        3.2    0.91072      4.002    1.09193
1998  318  77415593      11.27      -1.83     -10.83      -2.22      368.2        3.0    0.78434      3.359    0.81783
1998  318  80957015      11.17      -1.86     -10.94      -0.30      357.9        2.6    0.63932      2.347    0.10670
1998  318  84577351      10.41      -1.46     -10.16      -0.27      345.5        2.4    0.56668      1.965    0.09359
1998  319   1802028       9.69      -0.98      -9.30      -1.12      358.5        2.8    0.69532      2.105    0.40200
1998  319   5438022       9.08      -1.64      -8.62      -1.34      366.7        3.0    0.78282      2.006    0.49084
1998  319   9005076       9.51       1.53      -8.51       0.82      366.6        1.9    0.50473      1.349    0.00000
1998  319  12633508       9.31       2.11      -8.67       1.77      385.7        2.8    0.81399      1.067    0.00000
1998  319  16233535       8.24       1.70      -7.32       2.39      419.5        3.8    1.31289      0.674    0.00000
