                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
1997  133  84579374       1.51      -0.42       0.92       0.51      289.8       11.1    1.80303      0.009    0.00000
1997  134   1784444       2.00       0.46      -1.71       0.15      286.7       10.3    1.64789      0.048    0.00000
1997  134   5392910       2.25       1.67      -1.07       0.09      281.4       11.5    1.77263      0.060    0.00000
1997  134   9002791       2.52       2.41      -0.30       0.56      274.6       12.8    1.87973      0.001    0.00000
1997  134  12609559       2.62       2.35       0.34       0.67      275.4       12.2    1.80035      0.001    0.00000
1997  134  16219441       2.74       2.72      -0.00       0.14      278.0       11.3    1.68911      0.000    0.00000
1997  134  19831597       2.86       2.73      -0.51      -0.55      276.1       11.3    1.67629      0.339    0.15186
1997  134  23437505       2.85       2.47      -1.00      -0.96      271.6       11.4    1.63794      0.316    0.26100
1997  134  26963291       2.85       1.93      -1.86       0.25      269.5       12.8    1.80453      0.082    0.00000
1997  134  30571648       3.25       2.67      -1.44      -0.29      268.5       13.3    1.86565      0.202    0.07720
1997  134  34187867       3.63       2.21      -2.17       0.77      278.0       16.8    2.51356      0.082    0.00000
1997  134  37789957       3.97       2.18      -2.54      -0.26      271.3       16.1    2.30432      0.257    0.06920
1997  134  41402812       4.40       2.61      -3.23      -1.19      281.0       12.9    1.97111      0.491    0.33351
1997  134  45012832       4.80       2.65      -1.98      -2.18      289.9       13.6    2.22079      1.006    0.63145
1997  134  48622710       5.47       2.50      -0.72      -4.66      291.6       14.9    2.46273      1.721    1.35964
1997  134  52232550       5.13       3.33      -2.92      -1.51      295.4       18.2    3.07471      0.826    0.44465
1997  134  55842414       7.43       1.95      -3.80      -5.37      304.4       20.2    3.62369      2.761    1.63566
1997  134  62976460       9.27       1.23      -7.53       1.84      316.9       17.4    3.38121      0.790    0.00000
1997  134  66584718       8.17       0.32      -5.29       2.07      322.1       22.0    4.42203      0.433    0.00000
1997  134  70194578       8.10       1.89      -1.81      -5.97      323.5       21.6    4.38236      4.049    1.93004
1997  134  73806046       6.55       1.44      -3.85       1.05      331.3       21.4    4.56525      0.385    0.00000
1997  134  77414374       7.47       2.91      -6.73       0.89      325.4       14.3    2.94187      0.681    0.00000
1997  134  81022703       7.00       2.41      -6.24      -1.10      330.7       15.1    3.19902      1.112    0.36489
1997  134  84631171       6.46       3.04      -4.51      -1.91      326.7       21.7    4.48288      1.313    0.62535
1997  135   1840201       6.06       1.21       2.27      -2.13      324.4       24.6    5.02729      1.680    0.68934
1997  135   5371308      16.77      -5.10      14.65       0.03      397.8       39.0   11.96377      5.549    0.00000
1997  135   8982749      22.36      -6.77      21.10      -1.28      419.6       35.6   12.16726     11.756    0.53536
1997  135  12591216      22.20     -10.65      17.71       4.87      431.4       30.6   11.04165      5.721    0.00000
1997  135  16202658      22.72      -9.92      15.23       9.13      449.6       28.3   11.10470      2.730    0.00000
1997  135  19809287      23.14       4.80       4.28     -15.33      417.2       31.3   10.55626     42.911    6.39362
1997  135  23417822      23.57      10.26      -7.31     -19.29      403.1       27.0    8.50601     41.784    7.77462
1997  135  27023679      23.31      11.46     -18.66      -2.91      398.7       24.7    7.62075     14.381    1.16035
1997  135  30637447      19.03       7.09      -9.92     -12.98      428.6       15.5    5.53286     24.916    5.56353
1997  135  34157039      23.34       3.92      -4.94     -20.38      436.1       12.0    4.41581     46.023    8.88934
1997  135  37765328      25.68      -2.23       7.47     -24.41      423.4        5.2    1.82519     53.243   10.33482
