                                                                                 Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V          Vx         Vy         Vz       Vtheta      Vphi       Vth         Np        Psw         Pb        Pth        Beta        Va         Ma        Mms      Epsilon  
                           nT         nT         nT         nT        deg        deg        km/s       km/s       km/s       km/s       deg        deg        km/s       cm^3       nPa        nPa        nPa                   km/s                           10^11 W  
2014    1   6652255       5.77      -1.68       5.01      -2.31     -23.58     108.49      378.5     -377.5      -11.6      -24.5       -3.7     -178.2       35.0        6.6    1.84276    0.01325    0.00680      0.513       48.9       7.74       5.82      1.263
2014    1   6747838       5.75      -1.81       4.92      -2.33     -23.95     110.19      374.8     -373.5      -25.1      -17.7       -2.7     -176.2       34.1        6.5    1.76045    0.01315    0.00627      0.477       49.3       7.60       5.80      1.258
2014    1   6849226       5.71      -1.86       4.83      -2.37     -24.64     111.08      377.3     -376.4       -8.6      -24.4       -3.7     -178.7       34.1        6.7    1.84211    0.01296    0.00647      0.500       48.2       7.83       5.92      1.272
2014    1   6949251       5.80      -1.58       4.93      -2.60     -26.69     107.77      377.8     -377.1      -12.4      -20.3       -3.1     -178.1       34.9        6.6    1.83177    0.01340    0.00674      0.503       49.2       7.68       5.79      1.364
2014    1   7049275       5.91      -1.24       5.03      -2.83     -28.63     103.88      376.6     -375.6      -21.1      -17.4       -2.6     -176.8       33.6        6.4    1.76915    0.01389    0.00607      0.437       50.8       7.41       5.76      1.454
2014    1   7144683       5.81      -0.97       4.87      -2.99     -31.02     101.28      379.3     -378.6      -13.1      -20.3       -3.1     -178.0       33.1        6.5    1.82435    0.01341    0.00600      0.448       49.5       7.66       5.92      1.478
2014    1   7243169       5.81      -0.93       4.77      -3.18     -33.19     100.98      377.6     -377.0      -10.7      -18.7       -2.8     -178.4       32.9        6.4    1.77042    0.01343    0.00578      0.430       50.1       7.54       5.88      1.534
2014    1   7341654       5.72       0.26       4.47      -3.52     -38.19      86.72      379.9     -379.2       -9.6      -21.2       -3.2     -178.6       34.3        6.4    1.79732    0.01303    0.00633      0.486       49.3       7.71       5.86      1.625
2014    1   7440316       5.67       0.39       4.32      -3.57     -39.47      84.89      381.7     -380.9      -22.8      -12.2       -1.8     -176.6       36.3        6.8    1.92995    0.01278    0.00754      0.590       47.3       8.07       5.88      1.638
2014    1   7538626       5.79      -0.11       4.76      -3.28     -34.53      91.28      380.5     -379.7      -19.5      -16.0       -2.4     -177.1       33.2        6.8    1.91711    0.01336    0.00628      0.470       48.4       7.87       6.02      1.563
2014    1   7637111       5.78       0.11       4.42      -3.70     -39.89      88.61      380.0     -379.2      -21.0      -14.3       -2.2     -176.8       32.9        5.9    1.66573    0.01329    0.00538      0.405       51.7       7.35       5.80      1.704
2014    1   7735772       5.59       0.12       3.79      -4.07     -46.97      88.19      377.8     -377.3      -13.3      -13.2       -2.0     -178.0       34.5        6.3    1.73528    0.01242    0.00625      0.503       48.7       7.76       5.86      1.761
2014    1   7834259       5.57      -0.03       4.21      -3.63     -40.78      90.46      380.9     -380.2      -19.9      -11.0       -1.7     -177.0       35.2        6.5    1.81745    0.01236    0.00670      0.542       47.9       7.96       5.91      1.612
2014    1   7934107       5.22      -0.42       4.43      -2.66     -30.88      95.40      375.1     -374.1      -17.5      -19.9       -3.0     -177.3       35.5        6.7    1.81924    0.01086    0.00704      0.648       44.1       8.50       6.05      1.170
2014    1   8034132       5.24      -1.13       3.96      -3.19     -37.78     105.95      377.3     -376.5      -14.6      -19.3       -2.9     -177.8       35.5        6.4    1.77965    0.01092    0.00678      0.622       45.0       8.38       6.03      1.366
2014    1   8123385       5.32      -1.89       3.35      -3.39     -41.42     119.44      368.6     -368.3      -11.2       -9.7       -1.5     -178.3       39.7        6.7    1.76118    0.01124    0.00880      0.783       44.9       8.22       5.57      1.521
2014    1   8424998       5.44      -0.84       4.58      -2.78     -30.84     100.38      375.3     -374.6      -16.8      -16.0       -2.4     -177.4       35.3        6.0    1.65134    0.01176    0.00629      0.535       48.2       7.78       5.79      1.275
2014    1   8523482       5.49      -0.32       4.84      -2.47     -26.93      93.84      377.6     -375.9      -24.8      -25.5       -3.9     -176.2       33.4        6.4    1.76408    0.01200    0.00595      0.496       47.4       7.96       6.03      1.199
2014    1   8625045       5.66       0.09       5.09      -2.35     -24.73      88.97      379.4     -378.3      -22.3      -18.5       -2.8     -176.6       33.5        6.9    1.92978    0.01276    0.00647      0.507       47.0       8.07       6.08      1.220
2014    1   8717376       5.69      -0.01       5.29      -2.03     -21.03      90.09      377.1     -375.8      -23.6      -20.1       -3.1     -176.4       34.8        6.9    1.90546    0.01289    0.00699      0.542       47.2       7.98       5.93      1.124
2014    1   8822018       5.72       0.21       4.83      -2.84     -30.47      87.50      383.6     -382.8      -19.9      -13.6       -2.0     -177.0       35.2        6.9    1.96181    0.01300    0.00713      0.548       47.6       8.07       5.97      1.419
2014    1   8920502       5.80       0.60       4.96      -2.93     -30.44      83.07      383.4     -382.7      -18.5      -14.5       -2.2     -177.2       34.4        6.8    1.94337    0.01339    0.00674      0.503       48.5       7.91       5.97      1.464
2014    1   9012833       5.77       0.18       4.91      -2.98     -31.27      87.91      378.5     -377.4      -19.5      -22.0       -3.3     -177.0       33.6        6.8    1.89056    0.01326    0.00642      0.484       48.3       7.84       5.97      1.451
2014    1   9117475       5.69       0.04       4.78      -3.05     -32.53      89.53      381.7     -380.3      -25.2      -21.0       -3.2     -176.2       31.0        6.1    1.71966    0.01288    0.00489      0.379       50.3       7.59       6.06      1.456
2014    1   9213057       5.74      -0.69       4.76      -3.10     -32.80      98.26      375.7     -374.7      -18.7      -18.5       -2.8     -177.1       34.3        6.6    1.80966    0.01310    0.00651      0.497       48.7       7.72       5.84      1.472
2014    1   9314622       5.79      -0.25       4.48      -3.64     -39.07      93.17      378.4     -377.8      -16.5      -13.7       -2.1     -177.5       32.8        6.4    1.78740    0.01334    0.00577      0.433       49.8       7.60       5.92      1.681
2014    1   9412931       5.57      -0.11       4.44      -3.31     -36.68      91.36      379.1     -378.2      -19.7      -15.6       -2.4     -177.0       38.5        7.3    2.02406    0.01235    0.00901      0.729       45.1       8.41       5.81      1.496
2014    1   9511416       5.43      -0.20       4.20      -3.36     -38.62      92.72      377.8     -377.3      -15.6      -10.8       -1.6     -177.6       35.3        6.9    1.91008    0.01172    0.00719      0.613       45.1       8.38       6.05      1.464
2014    1   9609904       5.56      -0.40       4.28      -3.47     -38.89      95.31      374.7     -373.9      -20.5      -13.5       -2.1     -176.9       35.5        7.0    1.89354    0.01230    0.00732      0.595       46.0       8.14       5.92      1.533
2014    1   9711465       5.50      -0.42       4.46      -3.00     -33.80      95.35      379.7     -378.2      -26.3      -21.2       -3.2     -176.0       27.4        5.4    1.51537    0.01201    0.00340      0.283       51.5       7.37       6.18      1.387
2014    1   9803796       5.54      -0.89       4.42      -3.19     -35.32     101.32      372.2     -370.9      -25.3      -18.5       -2.8     -176.1       36.4        7.3    1.95359    0.01222    0.00804      0.658       44.8       8.30       5.89      1.432
2014    1   9905361       5.53      -1.13       4.65      -2.60     -28.49     103.63      368.9     -367.2      -26.0      -23.4       -3.6     -176.0       37.1        7.0    1.85233    0.01216    0.00807      0.664       45.5       8.10       5.74      1.243
2014    1  10005384       5.36      -1.45       4.50      -2.48     -27.68     107.84      370.7     -368.4      -34.4      -23.6       -3.6     -174.7       38.6        7.2    1.92282    0.01143    0.00899      0.787       43.5       8.52       5.77      1.166
2014    1  10102331       5.32      -1.01       3.65      -3.71     -44.40     105.47      374.0     -373.2      -19.7      -12.8       -2.0     -177.0       36.0        7.0    1.89332    0.01126    0.00757      0.673       43.9       8.51       6.01      1.547
2014    1  10197916       5.31      -0.87       3.61      -3.76     -45.36     103.52      370.7     -370.1      -18.4      -10.4       -1.6     -177.2       38.7        7.4    1.97249    0.01121    0.00925      0.825       42.6       8.71       5.82      1.542
2014    1  10296225       5.26      -0.66       3.85      -3.51     -41.91      99.79      374.2     -373.3      -20.2      -15.3       -2.4     -176.9       35.5        6.9    1.86679    0.01099    0.00726      0.660       43.7       8.56       6.06      1.442
2014    1  10394710       5.28      -0.47       3.87      -3.55     -42.25      96.95      375.7     -374.9      -21.4      -12.1       -1.8     -176.7       36.8        7.2    1.96343    0.01109    0.00813      0.733       43.0       8.74       6.03      1.464
2014    1  10493197       5.33      -0.41       4.10      -3.37     -39.26      95.65      375.8     -374.9      -21.9      -16.1       -2.5     -176.7       37.1        7.3    1.99413    0.01130    0.00836      0.740       43.1       8.72       6.00      1.422
2014    1  10591683       5.30      -0.36       4.19      -3.22     -37.37      94.96      375.4     -373.9      -27.3      -19.9       -3.0     -175.8       37.8        7.5    2.04700    0.01119    0.00893      0.797       42.3       8.88       5.99      1.361
2014    1  10690167       5.36      -1.12       3.91      -3.46     -40.36     105.95      371.0     -370.0      -22.7      -14.6       -2.3     -176.5       37.9        7.1    1.90862    0.01141    0.00860      0.754       43.7       8.49       5.82      1.465
2014    1  10788654       5.43      -1.02       3.96      -3.56     -41.00     104.49      371.7     -370.7      -22.1      -16.0       -2.5     -176.6       36.7        6.9    1.84353    0.01171    0.00774      0.661       45.1       8.24       5.84      1.517
2014    1  10888678       5.44      -1.04       3.93      -3.61     -41.59     104.89      372.1     -371.3      -21.0      -13.3       -2.0     -176.8       38.0        7.3    1.94913    0.01177    0.00876      0.744       44.0       8.45       5.81      1.541
2014    1  10988703       5.42      -0.74       3.81      -3.77     -44.16     101.03      375.6     -374.8      -21.0      -13.9       -2.1     -176.8       36.5        7.1    1.94781    0.01170    0.00792      0.677       44.3       8.47       5.97      1.597
2014    1  11084112       5.38      -0.60       3.68      -3.84     -45.89      99.23      374.7     -373.9      -19.8      -15.2       -2.3     -177.0       37.2        7.2    1.96695    0.01152    0.00838      0.727       43.7       8.58       5.93      1.604
2014    1  11182595       5.42      -0.92       3.39      -4.09     -49.30     105.25      373.7     -372.7      -20.0      -19.0       -2.9     -176.9       32.9        6.6    1.77527    0.01168    0.00593      0.508       46.2       8.09       6.10      1.712
2014    1  11281257       5.73      -0.50       2.98      -4.83     -57.95      99.44      375.2     -374.6      -12.0      -16.3       -2.5     -178.2       32.2        6.8    1.85827    0.01305    0.00590      0.453       47.9       7.84       6.05      2.100
2014    1  11379569       5.75      -0.51       2.99      -4.88     -58.19      99.70      376.2     -375.4      -12.2      -20.9       -3.2     -178.1       33.3        6.9    1.89145    0.01315    0.00639      0.486       47.8       7.87       5.99      2.127
