                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
1999  315  84563609       4.92      -3.00       2.22       0.40      670.1        1.4    1.21895      0.549    0.00000
1999  317   1834218       6.09       1.88       3.03      -4.86      471.1        2.4    1.02595      2.975    2.29030
1999  317   5381651       6.15      -0.01       1.80      -5.81      446.7        2.5    0.95627      3.220    2.59573
1999  317   9032340       6.15       0.46       2.40      -5.56      444.7        3.1    1.19902      3.079    2.47181
1999  317  12575112       6.02       1.83       3.64      -4.40      447.4        2.4    0.92332      2.531    1.96953
1999  317  16222719       6.16       1.75       4.02      -4.26      446.1        2.4    0.92110      2.512    1.89871
1999  317  19774740       6.06       2.09       3.53      -4.05      442.2        2.6    0.98069      2.492    1.79128
1999  317  23413062       5.90       1.81       3.60      -4.12      429.9        2.7    0.96058      2.288    1.77065
1999  317  26965119       5.93       0.84       3.79      -4.43      420.4        2.4    0.83406      2.282    1.86150
1999  317  30612689       5.89       2.18       3.93      -3.61      424.3        2.3    0.79898      2.061    1.53302
1999  317  37801523       6.35       1.88       4.04      -4.43      416.1        2.1    0.70070      2.531    1.84399
1999  317  44991902       7.23       1.11      -0.51      -6.99      415.4        2.8    0.94664      4.321    2.90418
1999  317  48639683       9.84       1.66       1.75      -9.31      440.8        4.3    1.63466      8.366    4.10501
1999  317  52202316      11.17       2.65       5.56      -9.16      475.2        5.4    2.35981     10.171    4.35344
1999  317  55831414      11.38       3.40       9.66      -4.31      491.2        3.9    1.84725      6.280    2.11554
1999  317  59377265      11.02       3.63       9.01      -4.86      491.6        3.9    1.81154      6.464    2.38815
1999  317  63035800      11.40       0.83       3.77      -9.64      460.8        3.6    1.49176     11.124    4.44039
1999  317  66575492      11.60       0.42       1.86     -11.22      466.3        2.5    1.05155     12.348    5.23426
1999  317  70219187      11.87      -0.25       1.29     -11.43      465.4        2.3    0.95729     12.989    5.31760
1999  317  73768890      11.49      -4.41      -1.04     -10.34      444.4        2.9    1.12144     11.637    4.59503
1999  317  77410437      14.73      -2.75       9.79      -5.89      459.0        7.2    2.95433     11.402    2.70374
1999  317  80968445      11.27      -4.03       7.67       5.96      439.6        5.2    1.95162      0.415    0.00000
1999  317  84613414       9.03      -0.85       4.93       7.06      441.1        4.7    1.75692      0.058    0.00000
1999  318   1765819       9.16       0.03       7.03       4.92      446.2        3.7    1.43652      0.339    0.00000
1999  318   5411236       9.79       1.99       5.66       0.89      448.2        3.1    1.20378      1.527    0.00000
1999  318   8956953      13.02      -1.86       4.26      11.63      446.1        3.5    1.33795      0.014    0.00000
1999  318  12599935      12.63      -0.42      11.34       4.84      442.1        4.7    1.77245      1.297    0.00000
1999  318  19797990       7.84       3.46       6.86      -1.23      454.5        3.9    1.55549      1.928    0.56073
1999  318  23442515       7.50       3.73       6.00      -2.30      444.0        3.8    1.45330      2.295    1.02194
1999  318  26967542      12.80       2.03       8.83      -5.59      275.1        2.6    0.38117      5.299    1.53908
1999  318  30639238       5.85       3.76       3.25      -2.55      429.8        7.2    2.57464      1.915    1.09671
1999  318  34178964       9.69       5.10      -1.19      -5.16      403.4        6.8    2.14089      7.353    2.08128
1999  318  66622656      26.62      -8.81      22.82      10.13     1332.5        0.2    0.86036     16.624    0.00000
1999  318  73800992      25.21      -6.03      24.14       3.38      854.7      138.8  196.69726     20.079    0.00000
1999  318  77420781      30.07     -13.57      26.31       2.18       30.5      224.6    0.40548      1.157    0.00000
