                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
1998  122  84575148      11.58      10.69       1.93      -3.91      536.8       19.5   10.92408     12.902    2.10001
1998  123   1810078      11.53      10.64       1.18      -4.13      525.1       29.1   15.58675     13.393    2.17023
1998  123   5440465      10.34       9.57       1.55      -3.56      513.9       24.6   12.58612     10.062    1.82868
1998  123   8983771       9.70       8.72       1.02      -4.08      508.7       21.4   10.75329      9.258    2.07485
1998  123  12618735       9.86       8.90       0.72      -4.09      503.2       29.0   14.23732      9.603    2.06004
1998  123  16160538       8.60       7.61       1.80      -3.27      498.9       26.3   12.70011      6.471    1.63342
1998  123  19799832       8.88       7.77      -1.88      -3.44      489.2       13.2    6.11423      6.778    1.68128
1998  123  23431898       8.71       7.40      -2.27      -3.93      480.1       13.4    5.98508      6.322    1.88718
1998  123  26970554       7.44       6.01      -1.81      -3.84      476.3       36.9   16.22896      4.758    1.82982
1998  123  30610128       6.47       4.71      -2.16      -3.80      467.9       31.4   13.32311      3.415    1.77919
1998  123  37783835       6.13       4.47      -2.78      -3.05      457.0       12.1    4.90036      2.586    1.39470
1998  123  41409734       6.28       4.63      -2.74      -2.91      453.3       15.6    6.23299      2.657    1.31786
1998  123  48577449       5.61       1.98      -4.96      -0.73      444.8       15.2    5.82566      0.916    0.32528
1998  123  52209374       3.77       1.71      -2.90      -0.73      444.3       21.1    8.07787      0.487    0.32368
1998  123  55835292       3.18       1.79      -1.79      -1.49      432.2        5.9    2.15339      0.586    0.64596
1998  123  59387613       3.37       2.04      -1.76      -1.89      429.5        5.2    1.86571      0.728    0.80972
1998  123  63005882       7.91       1.74      -4.55      -5.64      477.1        5.1    2.25378      4.700    2.69222
1998  123  66635625       6.97       1.12      -3.21      -5.46      481.6        7.9    3.55152      4.041    2.62990
1998  123  70173601       8.47       0.76      -2.45      -7.86      481.8       13.4    6.03562      6.585    3.78482
1998  123  73813039       8.71       2.91      -0.31      -8.00      487.9        8.0    3.71595      7.381    3.90402
1998  123  77444960       9.30      -2.86      -2.94      -7.54      487.5        6.9    3.17730      7.847    3.67355
1998  123  80977898       9.49      -4.18      -2.17      -7.91      463.4        4.7    1.95701      8.021    3.66736
1998  123  84611320       8.42      -3.70      -2.30      -6.43      498.3        4.8    2.30888      6.635    3.20622
1998  124   1838530       8.48      -3.41      -3.21      -6.60      474.6        6.7    2.94611      6.130    3.13217
1998  124   5371320       7.33      -2.73      -2.34      -4.50      502.5        9.2    4.51929      4.787    2.25907
1998  124   9022839      21.77      -4.33     -10.38     -15.14      661.2       26.3   22.27324     51.995   10.00914
