             Wind MFI Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi    
                           nT         nT         nT         nT        deg        deg    
2014  121     30000       8.37      -2.58       6.96       2.99      21.92     110.32
2014  121     90000       8.73      -4.45       7.38      -1.19      -7.85     121.09
2014  121    150000       8.79      -4.74       7.24      -1.38      -9.06     123.24
2014  121    210000       8.80      -4.95       6.97      -1.93     -12.70     125.39
2014  121    270000       8.85      -4.95       6.97      -2.15     -14.11     125.37
2014  121    330000       8.89      -5.20       6.56      -2.92     -19.23     128.42
2014  121    390000       8.95      -5.27       6.12      -3.73     -24.75     130.74
2014  121    450000       8.96      -4.94       5.37      -5.07     -34.78     132.63
2014  121    510000       9.07      -4.00       4.62      -6.59     -47.16     130.90
2014  121    570000       9.02      -4.16       4.23      -6.63     -48.20     134.49
2014  121    630000       8.88      -4.91       4.82      -5.47     -38.46     135.52
2014  121    690000       8.85      -4.99       6.15      -3.76     -25.43     129.05
2014  121    750000       9.05      -5.25       5.73      -4.45     -29.79     132.50
2014  121    810000       8.94      -4.95       6.57      -2.79     -18.70     127.03
2014  121    870000       9.01      -5.41       6.11      -3.65     -24.10     131.54
2014  121    930000       8.75      -5.55       6.41      -1.67     -11.13     130.89
2014  121    990000       8.43      -5.30       6.36       0.37       2.53     129.81
2014  121   1050000       8.50      -5.84       6.08       0.30       2.03     133.83
2014  121   1110000       8.35      -2.55       6.90       2.73      20.35     110.29
2014  121   1170000       8.41      -5.72       5.06       3.20      22.70     138.50
2014  121   1230000       8.35      -5.36       4.86       4.07      29.36     137.83
2014  121   1290000       8.43      -2.97       7.29      -1.20      -8.68     112.18
2014  121   1350000       9.08      -2.84       8.17      -2.74     -17.61     109.17
2014  121   1410000       9.12      -2.91       8.09      -3.00     -19.25     109.80
2014  121   1470000       9.14      -2.74       7.97      -3.51     -22.59     109.00
2014  121   1530000       9.13      -3.03       8.00      -3.17     -20.34     110.74
2014  121   1590000       9.18      -3.29       8.25      -2.26     -14.28     111.74
2014  121   1650000       9.18      -2.79       8.32      -2.67     -16.93     108.51
2014  121   1710000       9.19      -3.09       8.07      -3.08     -19.59     110.95
2014  121   1770000       9.13      -1.25       8.64      -1.24      -8.08      98.21
2014  121   1830000       9.13      -0.50       9.02      -0.92      -5.81      93.16
2014  121   1890000       9.19      -1.06       9.01      -1.38      -8.68      96.73
2014  121   1950000       9.14      -0.83       9.01      -1.15      -7.25      95.27
2014  121   2010000       9.14      -0.96       8.79      -2.19     -13.91      96.25
2014  121   2070000       9.06      -1.81       8.28      -3.13     -20.29     102.32
2014  121   2130000       9.20      -2.33       8.49      -2.60     -16.45     105.32
2014  121   2190000       9.21      -2.30       8.36      -3.04     -19.30     105.36
2014  121   2250000       9.23      -2.53       8.52      -2.44     -15.35     106.56
2014  121   2310000       9.22      -2.36       8.55      -2.47     -15.58     105.44
2014  121   2370000       9.21      -2.30       8.69      -1.97     -12.37     104.84
2014  121   2430000       9.13      -1.84       8.87      -1.03      -6.46     101.72
2014  121   2490000       9.15      -0.92       9.02      -0.90      -5.65      95.83
2014  121   2550000       9.19      -0.82       9.08      -0.85      -5.35      95.19
2014  121   2610000       9.19      -1.61       8.72      -2.36     -14.92     100.44
2014  121   2670000       9.30      -1.86       8.73      -2.59     -16.15     102.05
2014  121   2730000       9.33      -1.90       8.78      -2.51     -15.59     102.18
2014  121   2790000       9.32      -1.80       8.74      -2.66     -16.59     101.66
2014  121   2850000       9.33      -1.14       9.15      -1.34      -8.24      97.09
2014  121   2910000       9.32      -1.69       8.88      -2.19     -13.64     100.80
2014  121   2970000       9.32      -1.88       8.73      -2.67     -16.67     102.16
2014  121   3030000       9.35      -2.34       8.47      -3.03     -19.00     105.47
2014  121   3090000       9.41      -1.24       9.06      -2.18     -13.39      97.80
2014  121   3150000       9.37      -1.57       8.88      -2.39     -14.86     100.04
2014  121   3210000       9.39      -1.16       9.13      -1.84     -11.32      97.26
2014  121   3270000       9.29      -1.32       8.93      -2.12     -13.23      98.39
2014  121   3330000       9.32      -1.36       9.00      -1.73     -10.76      98.62
2014  121   3390000       9.36      -0.59       9.29      -0.70      -4.28      93.65
2014  121   3450000       9.37      -0.55       9.29      -0.97      -5.94      93.39
2014  121   3510000       9.33      -0.94       9.25      -0.69      -4.27      95.80
2014  121   3570000       9.33       0.07       9.30      -0.46      -2.81      89.59
2014  121   3630000       9.32      -0.86       9.05      -1.98     -12.30      95.41
2014  121   3690000       9.29      -1.68       8.62      -2.98     -18.75     101.02
2014  121   3750000       9.29      -2.18       8.33      -3.44     -21.80     104.66
2014  121   3810000       9.38      -2.70       8.36      -3.24     -20.25     107.92
