    Wind MFI and SWE Data, 1 minute resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz      Epsilon  
                           nT         nT         nT         nT      10^11 W  
2013   76    250852       4.14      -4.01       0.66       0.37      0.092
2013   76    350681       4.13      -3.90       1.20       0.54      0.122
2013   76    447577       4.14      -4.03       0.71       0.57      0.049
2013   76    545729       4.22      -4.12       0.81       0.23      0.191
2013   76    644773       4.31      -4.24       0.75      -0.07      0.449
2013   76    745524       4.38      -4.37       0.18      -0.08      0.807
2013   76    845211       4.36      -4.29      -0.18       0.66      0.000
2013   76    945039       4.43      -3.99       0.67       1.41      0.004
2013   76   1046402       4.49      -3.88       1.53       1.59      0.033
2013   76   1143158       4.57      -3.41       2.38       1.70      0.077
2013   76   1236983       4.58      -3.58       2.40       1.50      0.096
2013   76   1337494       4.54      -3.49       2.65       1.06      0.169
2013   76   1436639       4.56      -3.01       3.14       1.30      0.166
2013   76   1533219       4.43      -3.40       2.33       1.45      0.091
2013   76   1632298       4.44      -3.24       2.54       1.09      0.152
2013   76   1731373       4.38      -3.52       1.78       1.40      0.059
2013   76   1828130       4.52      -3.42       2.86       0.75      0.237
2013   76   1927244       4.43      -3.27       2.90       0.04      0.397
2013   76   2027961       4.33      -3.57       2.23       0.67      0.196
2013   76   2125364       4.34      -4.00       1.35      -0.42      0.648
2013   76   2225905       4.21      -3.75       0.59      -1.33      1.357
2013   76   2322801       4.32      -3.45       1.83      -1.71      1.092
2013   76   2424878       4.34      -3.12       2.35      -1.85      1.027
2013   76   2518602       4.37      -3.73       1.73      -1.37      1.044
2013   76   2618358       4.36      -4.21       0.99      -0.36      0.702
2013   76   2720576       4.23      -3.37       1.66      -1.48      1.032
2013   76   2821798       4.09      -1.02       1.17       3.44      0.001
2013   76   2910876       4.02      -2.70       2.72       0.80      0.176
2013   76   3016847       3.78      -3.12       1.68       1.19      0.053
2013   76   3114356       3.81      -2.84       1.59      -0.90      0.672
2013   76   3218142       3.62      -1.14       3.35       0.26      0.243
2013   76   3307220       3.55      -0.26       3.07       1.41      0.095
2013   76   3409301       4.36       0.65       4.10       1.19      0.223
2013   76   3499056       4.41       0.75       4.31       0.46      0.351
2013   76   3605885       4.50       1.42       4.23       0.00      0.463
2013   76   3701783       4.41       0.46       4.34       0.40      0.359
2013   76   3800074       4.49       0.82       4.35      -0.48      0.562
2013   76   3898366       4.54       0.65       4.41       0.39      0.384
2013   76   4004513       4.54       0.69       4.37      -0.91      0.676
2013   76   4090483       4.56       0.18       4.47       0.31      0.402
2013   76   4388431       4.51      -0.20       4.47       0.04      0.440
2013   76   4486722       4.46      -0.41       4.40      -0.33      0.510
2013   76   4581942       4.48      -0.10       4.26      -1.24      0.730
2013   76   4687772       4.57       1.77       3.54      -1.84      1.034
2013   76   4774635       4.52       1.76       4.09      -0.57      0.614
2013   76   4872928       4.46       0.31       4.24      -0.86      0.644
2013   76   4983467       4.24      -0.95       3.93      -0.29      0.455
2013   76   5079580       4.41       0.70       3.95      -1.65      0.849
2013   76   5165410       4.43      -1.67       3.08       1.22      0.168
2013   76   5266772       4.38      -2.26       2.38       2.85      0.022
2013   76   5362028       4.34      -2.75       2.13       2.59      0.021
2013   76   5463356       4.30      -2.05       2.81       2.37      0.050
2013   76   5561648       4.36      -1.09       3.20       2.33      0.070
2013   76   5659940       4.45      -1.65       1.67       3.64      0.004
2013   76   5762192       4.39      -1.15       0.22       4.09      0.000
2013   76   5856559       4.51      -1.11      -0.00       4.36      0.000
2013   76   5964918       4.52      -0.75      -0.63       4.39      0.000
2013   76   6050036       4.54      -1.95       0.72       3.84      0.000
2013   76   6150682       4.50      -2.11       0.41       3.87      0.000
2013   76   6252798       4.43      -1.51      -0.42       3.82      0.000
2013   76   6347983       4.35      -0.52      -0.64       4.01      0.000
2013   76   6453307       4.28       1.24      -1.59       3.73      0.003
2013   76   6544743       4.12       0.60      -1.68       3.67      0.003
2013   76   6642211       4.14       0.43      -1.06       3.96      0.000
2013   76   6744398       4.15       1.14      -0.44       3.92      0.000
2013   76   6839442       4.15       0.53       0.35       4.06      0.000
2013   76   6951556       4.10       0.30       1.27       3.82      0.001
2013   76   7042169       4.19       0.85       1.70       3.68      0.003
2013   76   7132782       4.19       0.00       2.09       3.56      0.007
2013   76   7239642       4.11      -0.27       0.63       4.01      0.000
2013   76   7331042       4.08      -2.17       3.13      -0.77      0.550
2013   76   7433976       3.77      -1.97       0.50       1.77      0.000
2013   76   7539807       4.17      -1.44      -1.02       3.68      0.001
2013   76   7631956       4.20      -1.12      -0.15       3.99      0.000
2013   76   7727141       4.23      -1.46      -1.33       3.66      0.001
2013   76   7828539       3.89      -0.57      -2.25       2.53      0.021
2013   76   7936899       4.15      -0.69      -0.75       4.01      0.000
2013   76   8025123       4.16      -0.68      -0.46       4.02      0.000
2013   76   8118125       4.04      -2.33       0.52       2.68      0.000
2013   76   8222530       4.07      -2.39       1.84       1.92      0.027
2013   76   8316245       4.24      -2.35       3.03      -1.62      0.834
2013   76   8424398       4.22      -2.57       2.86       1.63      0.096
2013   76   8517405       4.17      -2.12       3.22       1.32      0.145
2013   76   8614838       4.15      -2.09       2.99       1.95      0.076
2013   76   8713989       4.11      -2.17       3.12       1.48      0.119
2013   76   8806991       4.09      -3.02       1.99       1.57      0.051
2013   76   8915892       4.09      -3.65      -0.91       1.40      0.009
2013   76   9006505       4.14      -3.80      -1.35       0.33      0.208
2013   76   9107869       4.30      -4.02      -1.12      -0.59      0.830
2013   76   9210909       4.43      -3.33       0.47      -2.28      1.627
2013   76   9306128       4.40      -3.17       1.02      -2.67      1.523
2013   76   9404210       4.24      -2.67       2.63       1.02      0.155
2013   76   9496429       4.16      -2.32       2.85       1.30      0.127
2013   76   9595503       4.14      -2.39       1.80       1.50      0.047
2013   76   9692330       4.14      -2.45       1.63       0.19      0.284
2013   76   9806627       4.17      -1.55       2.45       2.80      0.023
2013   76   9898059       4.13      -2.74       2.92      -0.29      0.436
2013   76   9996420       4.13      -3.03       2.75       0.15      0.323
2013   76  10096218       4.28      -1.85       3.56       1.40      0.159
2013   76  10181576       4.27      -2.61       3.09       1.19      0.157
2013   76  10298086       4.22       1.25       2.72       2.75      0.034
2013   76  10392628       4.30       0.49       3.07       2.67      0.050
2013   76  10480847       4.45       0.08       2.55       3.62      0.015
2013   76  10582210       4.33       0.64       0.75       4.21      0.000
2013   76  10675896       4.23       0.18       1.85       3.44      0.006
2013   76  10769580       4.23      -0.85       2.75       3.07      0.026
2013   76  10875551       4.22      -1.04       2.87       2.86      0.034
2013   76  11462230       4.26      -2.20      -2.28       0.74      0.184
2013   76  11560592       4.23      -1.83      -3.74       0.10      0.364
2013   76  11661955       4.14      -1.77      -3.70       0.34      0.306
2013   76  11757176       4.07      -2.53      -3.08       0.31      0.282
2013   76  11855468       4.08      -2.91      -2.79       0.57      0.223
2013   76  11953760       4.05      -2.82      -2.80       0.64      0.206
2013   76  12052051       3.98      -2.92      -2.37       1.11      0.109
2013   76  12150308       3.88      -2.98      -1.90       1.53      0.044
2013   76  12248600       3.81      -2.81      -1.69       1.88      0.020
2013   76  12548083       3.67      -3.39      -0.94       0.78      0.036
2013   76  12646374       3.75      -3.55       0.46       0.73      0.007
2013   76  12744667       3.92      -3.45       1.60       0.91      0.081
2013   76  12850637       3.89      -2.75      -0.86       1.55      0.005
2013   76  12936643       3.72      -3.14      -1.01       1.70      0.006
2013   76  13034935       3.79      -3.19      -1.65       1.10      0.059
2013   76  13131690       3.91      -3.55      -1.57       0.16      0.255
2013   76  13240768       3.87      -2.75      -2.43       0.90      0.136
2013   76  13339025       3.74      -3.03      -0.81       1.88      0.002
2013   76  13431174       3.83      -2.75      -1.83       1.08      0.073
2013   76  13527930       3.88      -2.52      -2.92       0.06      0.305
2013   76  13633936       3.92      -2.22      -2.97       1.04      0.149
2013   76  13726190       3.93      -3.03      -2.21      -0.76      0.571
2013   76  13833591       3.99      -3.05      -2.06      -1.29      0.776
2013   76  14223827       3.85      -3.06      -1.18      -1.95      1.068
2013   76  14325191       3.89      -3.43      -0.90      -1.47      1.072
2013   76  14421876       3.88      -3.59      -0.88      -1.12      0.983
2013   76  14519351       3.79      -3.48      -1.07      -0.90      0.798
2013   76  14616136       4.09      -3.39      -1.40      -1.69      1.079
2013   76  14712862       4.44      -4.13      -0.98      -1.19      1.263
2013   76  14810471       4.35      -4.09      -0.28      -1.21      1.506
2013   76  14913371       4.38      -4.20       0.13      -1.08      1.553
2013   76  15011663       4.24      -3.97       0.45      -1.30      1.394
2013   76  15107595       3.95      -3.52       1.57      -0.81      0.677
2013   76  15206709       3.80      -3.50       1.36      -0.45      0.513
2013   76  15503804       4.19      -3.64       2.04       0.16      0.307
2013   76  15597489       3.98      -3.39       1.42       1.45      0.027
2013   76  15696458       3.80      -3.13       1.70       1.09      0.064
2013   76  15795608       3.78      -3.11       1.96       0.34      0.202
2013   76  15893217       4.07      -3.37       1.29      -1.57      1.068
2013   76  15991333       4.15      -3.59       1.26      -0.91      0.886
2013   76  16090483       4.00      -3.45       1.85      -0.60      0.565
2013   76  16186522       4.02      -3.13       2.35      -0.77      0.580
2013   76  16287097       3.88      -2.82       1.51      -2.07      1.004
2013   76  16383752       3.88      -3.33       1.40      -1.07      0.812
2013   76  16484503       3.97      -2.96       0.54      -1.48      1.236
2013   76  16576654       4.21      -3.85       1.05      -1.18      1.121
2013   76  16683306       4.29      -3.57       1.01      -1.50      1.272
2013   76  16776273       4.34      -3.78       1.95      -0.78      0.740
2013   76  16872923       4.09      -3.82       1.20      -0.11      0.414
2013   76  17168652       3.77      -3.20       0.60       0.45      0.047
2013   76  17272339       3.82      -2.87       1.02      -1.34      0.998
