                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
1998  290  84596124       6.57      -6.24       1.66       0.11      361.0        8.2    2.08515      0.674    0.00000
1998  291   1781463       6.64      -4.92       4.26      -0.21      360.5        8.7    2.19634      0.875    0.07741
1998  291   5377050       7.15      -5.29       4.52      -1.46      362.2        8.7    2.20171      1.577    0.52880
1998  291   8977901       6.81      -5.11       3.94      -1.19      363.8        9.5    2.44672      1.397    0.43160
1998  291  12563376       5.13      -3.00       3.02      -1.02      367.0        8.9    2.33421      0.839    0.37426
1998  291  19844347       6.64      -1.77       1.57      -2.68      365.0        8.4    2.17489      2.787    0.97829
1998  291  23431248       6.37      -3.85      -0.99      -2.40      367.9       11.5    3.01863      2.756    0.88138
1998  291  27019710       5.91      -3.91      -0.49      -4.06      347.2       11.7    2.73026      2.401    1.40974
1998  291  30608890       6.05      -1.79       1.58      -5.03      343.4       10.4    2.37574      2.394    1.72730
1998  291  34203796       5.85      -1.56       0.53      -5.27      352.1        9.6    2.29775      2.389    1.85368
1998  291  37785820       5.36      -0.25       2.54      -3.93      354.6       10.7    2.60670      1.722    1.39332
1998  291  41373566       5.75      -1.94       1.95      -3.87      353.0       10.3    2.47964      2.082    1.36800
1998  291  44959613       5.01      -3.00      -1.17      -2.59      335.9       14.8    3.24211      1.536    0.87123
1998  291  48645144       5.83      -1.27       3.56      -3.99      334.1       12.9    2.80020      1.725    1.33233
1998  291  52236738       5.43      -1.95       3.10      -3.43      331.1       13.9    2.95011      1.476    1.13548
1998  291  55823632       5.45      -3.65       1.60      -3.44      320.2       14.2    2.83066      1.722    1.10052
1998  291  59416792       3.47       0.27       2.55      -1.46      329.1       15.8    3.32124      0.441    0.47953
1998  291  63002125       4.04       3.54       1.10       1.31      315.1       13.4    2.58467      0.014    0.00000
1998  291  66582749       4.88       4.53      -0.92       1.26      310.1       11.6    2.16976      0.014    0.00000
1998  291  70184578       7.29       6.33      -2.18      -1.05      357.6       37.6    9.32300      1.944    0.37495
1998  291  73764484       7.76       1.77       2.47      -1.97      371.5       44.6   11.93286      2.937    0.73075
1998  291  77354374      10.27       0.42      -4.09      -1.30      392.4       33.9   10.11768      3.501    0.51062
1998  291  84640898      11.96      -7.56       5.93      -0.54      394.4       51.4   15.49450      3.347    0.21435
1998  292   1818541      13.08      -8.36       6.44       0.38      381.2       47.7   13.45381      2.883    0.00000
1998  292   5407004      10.01       0.40       1.07      -5.18      411.5       56.4   18.51549      8.046    2.13303
1998  292   9001589      17.34       1.50       3.48      -4.70      415.7       50.4   16.89966     20.275    1.95541
1998  292  12581446      20.32       5.19      10.49     -15.40      424.5       68.7   24.03151     29.128    6.53725
1998  292  16176949      23.68       4.66     -14.20     -15.74      415.5        2.1    0.71080     35.234    6.53856
1998  292  19760005      25.86       5.20     -20.15     -15.25      407.4        2.1    0.66445     34.903    6.21162
1998  292  27043384      23.06       7.67     -15.48     -15.26      414.8        4.4    1.47913     31.844    6.33138
1998  292  30627865      22.07       8.09     -13.39     -15.55      416.1        4.6    1.54833     31.209    6.46906
1998  292  34210921      21.13       7.22     -11.78     -15.97      405.6        4.2    1.34871     29.395    6.47774
1998  292  37799378      20.33       6.65     -10.22     -16.24      396.0        4.1    1.26148     27.797    6.43081
1998  292  41387839      19.51       7.14      -7.16     -16.66      407.6        3.2    1.04107     28.473    6.79185
1998  292  44983410      18.86       6.24      -5.77     -16.73      407.0        5.2    1.66281     27.289    6.80752
1998  292  48565468      18.21       4.31      -5.73     -16.73      400.9        5.5    1.70325     25.084    6.70733
1998  292  55841007      17.18       1.95      15.67      -6.64      384.9        6.8    1.94119     10.944    2.55669
